Paper: 0005
KeyVar: ln_at_adj
Mechanism: MCAR
Proportion: 5pct
Method: Reg
Iteration: 1
---
FocalIV: ad_law2
Coef: -0.010866
SE: 0.003415
pval: 0.001493
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.010866    0.003415  ... -0.017565 -0.004167
ln_at_adj             0.001812    0.001454  ... -0.001039  0.004664
ppent_at             -0.137278    0.020446  ... -0.177381 -0.097175
div_payer             0.026301    0.004589  ...  0.017300  0.035302
state_inc_growth      0.002004    0.000387  ...  0.001244  0.002764
state_id::1.0:fyear   0.001604    0.001121  ... -0.000595  0.003804
state_id::3.0:fyear   0.005744    0.007967  ... -0.009882  0.021370
state_id::4.0:fyear   0.001128    0.004837  ... -0.008358  0.010615
state_id::5.0:fyear   0.003263    0.001536  ...  0.000250  0.006275
state_id::6.0:fyear   0.001553    0.002712  ... -0.003766  0.006873
state_id::7.0:fyear   0.001600    0.001599  ... -0.001536  0.004737
state_id::10.0:fyear  0.004003    0.001948  ...  0.000182  0.007823
state_id::11.0:fyear  0.002477    0.001950  ... -0.001347  0.006301
state_id::12.0:fyear  0.023391    0.011197  ...  0.001428  0.045353
state_id::14.0:fyear  0.001593    0.001122  ... -0.000608  0.003795
state_id::15.0:fyear  0.002439    0.001710  ... -0.000916  0.005793
state_id::17.0:fyear  0.007635    0.003121  ...  0.001513  0.013757
state_id::18.0:fyear  0.001928    0.003721  ... -0.005370  0.009226
state_id::19.0:fyear -0.005839    0.004487  ... -0.014640  0.002961
state_id::21.0:fyear  0.006715    0.001702  ...  0.003377  0.010053
state_id::22.0:fyear  0.001582    0.001123  ... -0.000620  0.003784
state_id::23.0:fyear  0.002230    0.001785  ... -0.001272  0.005732
state_id::24.0:fyear  0.003358    0.001884  ... -0.000337  0.007053
state_id::25.0:fyear -0.009544    0.008550  ... -0.026315  0.007227
state_id::26.0:fyear  0.004662    0.001387  ...  0.001942  0.007383
state_id::28.0:fyear  0.057885    0.011792  ...  0.034755  0.081015
state_id::29.0:fyear -0.017425    0.003163  ... -0.023629 -0.011222
state_id::30.0:fyear  0.005805    0.002668  ...  0.000571  0.011038
state_id::31.0:fyear  0.001609    0.001122  ... -0.000591  0.003810
state_id::32.0:fyear -0.067622    0.008219  ... -0.083744 -0.051501
state_id::33.0:fyear  0.001649    0.001122  ... -0.000552  0.003849
state_id::34.0:fyear  0.000860    0.002245  ... -0.003543  0.005264
state_id::36.0:fyear  0.001557    0.001122  ... -0.000643  0.003757
state_id::38.0:fyear -0.002838    0.004004  ... -0.010691  0.005015
state_id::39.0:fyear  0.001608    0.001123  ... -0.000594  0.003810
state_id::40.0:fyear  0.009848    0.001478  ...  0.006948  0.012748
state_id::41.0:fyear  0.001006    0.001772  ... -0.002470  0.004483
state_id::43.0:fyear  0.002013    0.003411  ... -0.004678  0.008704
state_id::44.0:fyear -0.000641    0.001677  ... -0.003931  0.002649
state_id::45.0:fyear  0.008026    0.002047  ...  0.004012  0.012040
state_id::47.0:fyear  0.001047    0.002102  ... -0.003077  0.005170
state_id::48.0:fyear -0.000255    0.001444  ... -0.003086  0.002577

[42 rows x 6 columns]
