Paper: 0005
KeyVar: ppent_at
Mechanism: MCAR
Proportion: 5pct
Method: Reg
Iteration: 11
---
FocalIV: ad_law2
Coef: -0.012034
SE: 0.003343
pval: 0.000328
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.012034     0.003343  ...    -0.018591    -0.005477
ln_at_adj             0.005098     0.004152  ...    -0.003045     0.013241
ppent_at             -0.068991     0.010543  ...    -0.089669    -0.048312
div_payer             0.026608     0.005377  ...     0.016063     0.037154
state_inc_growth      0.002016     0.000390  ...     0.001252     0.002780
state_id::1.0:fyear   0.043862  1516.519411  ... -2974.515750  2974.603473
state_id::3.0:fyear   0.047754  1518.574415  ... -2978.542621  2978.638128
state_id::4.0:fyear   0.043686  1533.491315  ... -3007.805271  3007.892643
state_id::5.0:fyear   0.045500  1484.032445  ... -2910.792925  2910.883924
state_id::6.0:fyear   0.043610  1500.238761  ... -2942.582507  2942.669727
state_id::7.0:fyear   0.043777  1529.564228  ... -3000.102440  3000.189994
state_id::10.0:fyear  0.045951  1503.984264  ... -2949.926740  2950.018641
state_id::11.0:fyear  0.044063  1516.756477  ... -2974.980537  2975.068664
state_id::12.0:fyear  0.070532  1494.399526  ... -2931.102283  2931.243348
state_id::14.0:fyear  0.043843  1499.184001  ... -2940.513427  2940.601114
state_id::15.0:fyear  0.044790  1508.513402  ... -2958.811525  2958.901106
state_id::17.0:fyear  0.049999  1520.815366  ... -2982.935864  2983.035862
state_id::18.0:fyear  0.043838  1520.730218  ... -2982.775011  2982.862688
state_id::19.0:fyear  0.036519  1502.564385  ... -2947.151166  2947.224204
state_id::21.0:fyear  0.048602  1510.996401  ... -2963.677964  2963.775169
state_id::22.0:fyear  0.043832  1505.627102  ... -2953.151185  2953.238849
state_id::23.0:fyear  0.044646  1516.191566  ... -2973.871918  2973.961210
state_id::24.0:fyear  0.046117  1492.534956  ... -2927.469459  2927.561692
state_id::25.0:fyear  0.033612  1502.992310  ... -2947.993422  2948.060646
state_id::26.0:fyear  0.047106  1497.736088  ... -2937.670170  2937.764383
state_id::28.0:fyear  0.096023  1492.616491  ... -2927.579480  2927.771525
state_id::29.0:fyear  0.026961  1479.516628  ... -2901.953965  2902.007887
state_id::30.0:fyear  0.047734  1526.528080  ... -2994.143265  2994.238734
state_id::31.0:fyear  0.043868  1492.729041  ... -2927.852395  2927.940131
state_id::32.0:fyear -0.046913  1470.111222  ... -2883.579713  2883.485887
state_id::33.0:fyear  0.043903  1497.171119  ... -2936.565223  2936.653029
state_id::34.0:fyear  0.043364  1535.344024  ... -3011.439569  3011.526297
state_id::36.0:fyear  0.043809  1495.166558  ... -2932.633494  2932.721111
state_id::38.0:fyear  0.040495  1516.713360  ... -2974.899535  2974.980525
state_id::39.0:fyear  0.043859  1498.947506  ... -2940.049541  2940.137258
state_id::40.0:fyear  0.052416  1483.856099  ... -2910.440117  2910.544949
state_id::41.0:fyear  0.043433  1513.033867  ... -2967.679497  2967.766363
state_id::43.0:fyear  0.043876  1524.383618  ... -2989.940893  2990.028645
state_id::44.0:fyear  0.041395  1500.312380  ... -2942.729122  2942.811911
state_id::45.0:fyear  0.050389  1502.510643  ... -2947.031884  2947.132662
state_id::47.0:fyear  0.043120  1503.574198  ... -2949.125250  2949.211490
state_id::48.0:fyear  0.041853  1510.130638  ... -2961.986572  2962.070279
state_id::50.0:fyear  0.042565  1507.585807  ... -2956.994330  2957.079460

[43 rows x 6 columns]
