Paper: 0005
KeyVar: state_inc_growth
Mechanism: MCAR
Proportion: 5pct
Method: Mean
Iteration: 10
---
FocalIV: ad_law2
Coef: -0.011015
SE: 0.003413
pval: 0.001275
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.011015    0.003413  ... -0.017710 -0.004320
ln_at_adj             0.005215    0.004141  ... -0.002907  0.013337
ppent_at             -0.138557    0.020535  ... -0.178836 -0.098278
div_payer             0.025856    0.004566  ...  0.016900  0.034813
state_inc_growth      0.001984    0.000368  ...  0.001263  0.002705
state_id::1.0:fyear   0.001570    0.001121  ... -0.000630  0.003769
state_id::3.0:fyear   0.005724    0.007845  ... -0.009664  0.021112
state_id::4.0:fyear   0.000882    0.004918  ... -0.008765  0.010530
state_id::5.0:fyear   0.003083    0.001537  ...  0.000068  0.006099
state_id::6.0:fyear   0.001519    0.002721  ... -0.003818  0.006855
state_id::7.0:fyear   0.001490    0.001589  ... -0.001628  0.004607
state_id::10.0:fyear  0.003894    0.001958  ...  0.000053  0.007736
state_id::11.0:fyear  0.002290    0.001959  ... -0.001552  0.006131
state_id::12.0:fyear  0.023349    0.011206  ...  0.001369  0.045329
state_id::14.0:fyear  0.001559    0.001122  ... -0.000642  0.003761
state_id::15.0:fyear  0.002398    0.001706  ... -0.000949  0.005744
state_id::17.0:fyear  0.007357    0.003184  ...  0.001112  0.013602
state_id::18.0:fyear  0.002012    0.003667  ... -0.005181  0.009205
state_id::19.0:fyear -0.005974    0.004564  ... -0.014927  0.002978
state_id::21.0:fyear  0.006612    0.001691  ...  0.003295  0.009929
state_id::22.0:fyear  0.001549    0.001123  ... -0.000653  0.003751
state_id::23.0:fyear  0.002198    0.001780  ... -0.001293  0.005688
state_id::24.0:fyear  0.003276    0.001877  ... -0.000405  0.006957
state_id::25.0:fyear -0.009296    0.008597  ... -0.026159  0.007566
state_id::26.0:fyear  0.004674    0.001388  ...  0.001952  0.007395
state_id::28.0:fyear  0.056391    0.011310  ...  0.034207  0.078575
state_id::29.0:fyear -0.017114    0.003023  ... -0.023043 -0.011185
state_id::30.0:fyear  0.005659    0.002569  ...  0.000620  0.010698
state_id::31.0:fyear  0.001575    0.001122  ... -0.000625  0.003776
state_id::32.0:fyear -0.067781    0.008198  ... -0.083861 -0.051702
state_id::33.0:fyear  0.001614    0.001122  ... -0.000587  0.003814
state_id::34.0:fyear  0.000957    0.002295  ... -0.003544  0.005457
state_id::36.0:fyear  0.001521    0.001122  ... -0.000679  0.003721
state_id::38.0:fyear -0.003730    0.004011  ... -0.011597  0.004137
state_id::39.0:fyear  0.001572    0.001123  ... -0.000630  0.003774
state_id::40.0:fyear  0.009863    0.001490  ...  0.006940  0.012786
state_id::41.0:fyear  0.000912    0.001826  ... -0.002670  0.004494
state_id::43.0:fyear  0.001696    0.003527  ... -0.005222  0.008614
state_id::44.0:fyear -0.000736    0.001677  ... -0.004026  0.002554
state_id::45.0:fyear  0.008071    0.001988  ...  0.004171  0.011970
state_id::47.0:fyear  0.000851    0.002117  ... -0.003301  0.005002
state_id::48.0:fyear -0.000287    0.001450  ... -0.003131  0.002556

[42 rows x 6 columns]
