Paper: 0005
KeyVar: ln_at_adj
Mechanism: NMAR
Proportion: 10pct
Method: LD
Iteration: 28
---
FocalIV: ad_law2
Coef: -0.011010
SE: 0.003577
pval: 0.002121
Nobs: 11871
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.011010    0.003577  ...    -0.018027    -0.003994
ln_at_adj             0.006001    0.004336  ...    -0.002505     0.014506
ppent_at             -0.145288    0.022587  ...    -0.189591    -0.100985
div_payer             0.025101    0.004497  ...     0.016280     0.033921
state_inc_growth      0.001903    0.000411  ...     0.001097     0.002708
state_id::1.0:fyear   0.081009  892.767416  ... -1751.047339  1751.209358
state_id::3.0:fyear   0.086098  906.131260  ... -1777.254906  1777.427102
state_id::4.0:fyear   0.080477  905.893069  ... -1776.793325  1776.954278
state_id::5.0:fyear   0.083083  893.254489  ... -1752.000640  1752.166806
state_id::6.0:fyear   0.080351  887.566080  ... -1740.845779  1741.006481
state_id::7.0:fyear   0.081352  892.102360  ... -1749.742514  1749.905218
state_id::10.0:fyear  0.083199  879.270395  ... -1724.571271  1724.737669
state_id::11.0:fyear  0.082000  876.280592  ... -1718.708087  1718.872088
state_id::12.0:fyear  0.103486  896.670609  ... -1758.680821  1758.887793
state_id::14.0:fyear  0.080987  900.914692  ... -1767.027925  1767.189898
state_id::15.0:fyear  0.081504  881.790111  ... -1729.515289  1729.678298
state_id::17.0:fyear  0.087177  917.810201  ... -1800.161613  1800.335967
state_id::18.0:fyear  0.081618  898.779310  ... -1762.838825  1763.002061
state_id::19.0:fyear  0.073988  891.915614  ... -1749.383583  1749.531559
state_id::21.0:fyear  0.086291  907.259920  ... -1779.468536  1779.641119
state_id::22.0:fyear  0.080976  892.305994  ... -1750.142311  1750.304264
state_id::23.0:fyear  0.082015  895.109418  ... -1755.640078  1755.804108
state_id::24.0:fyear  0.082748  906.874086  ... -1778.715281  1778.880776
state_id::25.0:fyear  0.070540  888.768971  ... -1743.215013  1743.356094
state_id::26.0:fyear  0.084403  892.144681  ... -1749.822475  1749.991281
state_id::28.0:fyear  0.136772  903.295622  ... -1771.642239  1771.915784
state_id::29.0:fyear  0.062554  892.793659  ... -1751.117269  1751.242377
state_id::30.0:fyear  0.085251  904.687090  ... -1774.423072  1774.593573
state_id::31.0:fyear  0.081011  892.008052  ... -1749.557875  1749.719896
state_id::32.0:fyear  0.013405  884.984910  ... -1735.849860  1735.876671
state_id::33.0:fyear  0.081043  895.093156  ... -1755.609153  1755.771239
state_id::34.0:fyear  0.080944  888.181994  ... -1742.053279  1742.215167
state_id::36.0:fyear  0.080951  895.362529  ... -1756.137610  1756.299512
state_id::38.0:fyear  0.075655  881.068305  ... -1728.105344  1728.256655
state_id::39.0:fyear  0.080998  894.298773  ... -1754.051047  1754.213042
state_id::40.0:fyear  0.089290  887.066924  ... -1739.857765  1740.036345
state_id::41.0:fyear  0.081415  904.032461  ... -1773.142878  1773.305708
state_id::43.0:fyear  0.082054  877.759862  ... -1721.609563  1721.773671
state_id::44.0:fyear  0.078781  887.704904  ... -1741.119647  1741.277210
state_id::45.0:fyear  0.088566  901.366853  ... -1767.907240  1768.084372
state_id::47.0:fyear  0.081177  892.723970  ... -1750.961953  1751.124307
state_id::48.0:fyear  0.079722  904.983060  ... -1775.009132  1775.168577
state_id::50.0:fyear  0.079900  895.742439  ... -1756.883840  1757.043639

[43 rows x 6 columns]
