Paper: 0005
KeyVar: state_inc_growth
Mechanism: NMAR
Proportion: 10pct
Method: LD
Iteration: 2
---
FocalIV: ad_law2
Coef: -0.011301
SE: 0.001838
pval: 0.000000
Nobs: 11894
Sign: -1
Significant: True
---
                      Estimate    Std. Error  ...          2.5%         97.5%
Coefficient                                   ...                            
ad_law2              -0.011301      0.001838  ...     -0.014907     -0.007695
ln_at_adj             0.003626      0.004970  ...     -0.006123      0.013375
ppent_at             -0.133476      0.019909  ...     -0.172527     -0.094425
div_payer             0.025886      0.004957  ...      0.016164      0.035609
state_inc_growth      0.001998      0.000433  ...      0.001149      0.002848
state_id::1.0:fyear   0.044673  12194.879520  ... -23919.768874  23919.858221
state_id::3.0:fyear   0.047721  12059.198093  ... -23653.631632  23653.727075
state_id::4.0:fyear   0.042404  12206.413559  ... -23942.394744  23942.479551
state_id::5.0:fyear   0.046497  12022.855276  ... -23582.347740  23582.440734
state_id::6.0:fyear   0.044895  11966.387477  ... -23471.589805  23471.679595
state_id::7.0:fyear   0.044776  12132.685692  ... -23797.777836  23797.867388
state_id::10.0:fyear  0.047671  11940.328537  ... -23420.473363  23420.568704
state_id::11.0:fyear  0.046688  11997.277569  ... -23532.177804  23532.271181
state_id::12.0:fyear  0.072327  12134.525070  ... -23801.358158  23801.502812
state_id::14.0:fyear  0.044662  12016.353400  ... -23569.596382  23569.685706
state_id::15.0:fyear  0.046061  12223.542562  ... -23975.989003  23976.081125
state_id::17.0:fyear  0.048093  11999.594678  ... -23536.721325  23536.817511
state_id::18.0:fyear  0.044692  12132.727504  ... -23797.859933  23797.949316
state_id::19.0:fyear  0.036952  12112.327326  ... -23757.853465  23757.927368
state_id::21.0:fyear  0.049419  12252.704816  ... -24033.186349  24033.285187
state_id::22.0:fyear  0.044652  11992.508904  ... -23522.826278  23522.915582
state_id::23.0:fyear  0.045439  12229.306603  ... -23987.295582  23987.386460
state_id::24.0:fyear  0.046948  12231.711915  ... -23992.012007  23992.105903
state_id::25.0:fyear  0.029879  12394.607817  ... -24311.543474  24311.603233
state_id::26.0:fyear  0.048276  12062.267020  ... -23659.650667  23659.747219
state_id::28.0:fyear  0.100439  12088.130377  ... -23710.328539  23710.529417
state_id::29.0:fyear  0.028244  12119.747769  ... -23772.417102  23772.473590
state_id::30.0:fyear  0.049033  12280.167210  ... -24087.053222  24087.151289
state_id::31.0:fyear  0.044680  12169.842194  ... -23870.659063  23870.748422
state_id::32.0:fyear -0.026270  12131.606535  ... -23795.732155  23795.679615
state_id::33.0:fyear  0.044720  12111.293195  ... -23755.817287  23755.906726
state_id::34.0:fyear  0.043036  12120.392368  ... -23773.666667  23773.752738
state_id::36.0:fyear  0.044630  12062.798986  ... -23660.697744  23660.787004
state_id::38.0:fyear  0.038372  12005.507532  ... -23548.328894  23548.405639
state_id::39.0:fyear  0.044679  12002.286091  ... -23542.003848  23542.093205
state_id::40.0:fyear  0.053591  12144.133477  ... -23820.223436  23820.330617
state_id::41.0:fyear  0.042722  12057.230714  ... -23649.777690  23649.863134
state_id::43.0:fyear  0.046105  12150.749520  ... -23833.208049  23833.300259
state_id::44.0:fyear  0.042264  12132.558180  ... -23797.530239  23797.614766
state_id::45.0:fyear  0.050993  12077.005194  ... -23688.556344  23688.658330
state_id::47.0:fyear  0.044429  12144.786554  ... -23821.513584  23821.602442
state_id::48.0:fyear  0.042549  12255.148433  ... -24037.986284  24038.071382
state_id::50.0:fyear  0.043095  12099.961528  ... -23733.592258  23733.678448

[43 rows x 6 columns]
