Paper: 0005
KeyVar: ln_at_adj
Mechanism: NMAR
Proportion: 1pct
Method: DL
Iteration: 8
---
FocalIV: ad_law2
Coef: -0.010877
SE: 0.003255
pval: 0.000852
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.010877    0.003255  ...    -0.017261    -0.004493
ln_at_adj             0.002205    0.002549  ...    -0.002794     0.007204
ppent_at             -0.137290    0.022731  ...    -0.181876    -0.092704
div_payer             0.026363    0.004882  ...     0.016787     0.035939
state_inc_growth      0.002008    0.000384  ...     0.001255     0.002760
state_id::1.0:fyear   0.052750  769.607830  ... -1509.487116  1509.592617
state_id::3.0:fyear   0.056873  845.476796  ... -1658.295446  1658.409193
state_id::4.0:fyear   0.052247  891.071316  ... -1747.731006  1747.835499
state_id::5.0:fyear   0.054392  867.931348  ... -1702.341193  1702.449976
state_id::6.0:fyear   0.052703  863.035917  ... -1692.740785  1692.846190
state_id::7.0:fyear   0.052727  798.680077  ... -1566.510618  1566.616072
state_id::10.0:fyear  0.055127  806.639691  ... -1582.120527  1582.230780
state_id::11.0:fyear  0.053588  827.340439  ... -1622.725349  1622.832525
state_id::12.0:fyear  0.074571  843.049237  ... -1653.516235  1653.665377
state_id::14.0:fyear  0.052740  836.547062  ... -1640.784438  1640.889918
state_id::15.0:fyear  0.053568  849.883080  ... -1666.941414  1667.048550
state_id::17.0:fyear  0.058771  827.921867  ... -1623.860602  1623.978144
state_id::18.0:fyear  0.053078  794.857108  ... -1559.011742  1559.117897
state_id::19.0:fyear  0.045302  862.743318  ... -1692.174270  1692.264874
state_id::21.0:fyear  0.057814  891.174167  ... -1747.927173  1748.042802
state_id::22.0:fyear  0.052729  809.768929  ... -1588.260740  1588.366197
state_id::23.0:fyear  0.053384  840.799489  ... -1649.124676  1649.231444
state_id::24.0:fyear  0.054501  860.750772  ... -1688.256812  1688.365813
state_id::25.0:fyear  0.041669  885.593341  ... -1736.996860  1737.080199
state_id::26.0:fyear  0.055816  816.699688  ... -1601.851923  1601.963555
state_id::28.0:fyear  0.108931  907.311264  ... -1779.528010  1779.745873
state_id::29.0:fyear  0.033984  878.880556  ... -1723.837818  1723.905786
state_id::30.0:fyear  0.056921  784.034367  ... -1537.779738  1537.893581
state_id::31.0:fyear  0.052756  822.361834  ... -1612.960945  1613.066456
state_id::32.0:fyear -0.016410  928.701190  ... -1821.608415  1821.575596
state_id::33.0:fyear  0.052795  815.940954  ... -1600.366732  1600.472323
state_id::34.0:fyear  0.052051  872.846093  ... -1711.983512  1712.087614
state_id::36.0:fyear  0.052703  877.268430  ... -1720.657011  1720.762417
state_id::38.0:fyear  0.047625  978.971990  ... -1920.147557  1920.242807
state_id::39.0:fyear  0.052754  852.412439  ... -1671.903416  1672.008924
state_id::40.0:fyear  0.061007  865.606194  ... -1697.773926  1697.895940
state_id::41.0:fyear  0.052197  870.889575  ... -1708.145773  1708.250167
state_id::43.0:fyear  0.053144  821.336409  ... -1610.949246  1611.055535
state_id::44.0:fyear  0.050492  853.970222  ... -1674.961175  1675.062159
state_id::45.0:fyear  0.059178  837.276489  ... -1642.208728  1642.327084
state_id::47.0:fyear  0.052157  865.679160  ... -1697.925895  1698.030209
state_id::48.0:fyear  0.050889  831.423541  ... -1630.736810  1630.838587
state_id::50.0:fyear  0.051131  841.198661  ... -1649.909881  1650.012143

[43 rows x 6 columns]
