Paper: 0005
KeyVar: ln_at_adj
Mechanism: NMAR
Proportion: 1pct
Method: Mean
Iteration: 27
---
FocalIV: ad_law2
Coef: -0.010835
SE: 0.003415
pval: 0.001538
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.010835    0.003415  ... -0.017533 -0.004137
ln_at_adj             0.002119    0.002168  ... -0.002133  0.006370
ppent_at             -0.137208    0.020463  ... -0.177345 -0.097071
div_payer             0.026392    0.004594  ...  0.017381  0.035403
state_inc_growth      0.002001    0.000387  ...  0.001242  0.002760
state_id::1.0:fyear   0.001627    0.001125  ... -0.000579  0.003833
state_id::3.0:fyear   0.005765    0.007956  ... -0.009840  0.021370
state_id::4.0:fyear   0.001125    0.004845  ... -0.008379  0.010629
state_id::5.0:fyear   0.003263    0.001538  ...  0.000247  0.006279
state_id::6.0:fyear   0.001577    0.002717  ... -0.003752  0.006906
state_id::7.0:fyear   0.001613    0.001601  ... -0.001528  0.004754
state_id::10.0:fyear  0.004006    0.001950  ...  0.000182  0.007830
state_id::11.0:fyear  0.002461    0.001958  ... -0.001380  0.006302
state_id::12.0:fyear  0.023422    0.011207  ...  0.001439  0.045404
state_id::14.0:fyear  0.001616    0.001126  ... -0.000592  0.003824
state_id::15.0:fyear  0.002470    0.001714  ... -0.000891  0.005832
state_id::17.0:fyear  0.007646    0.003117  ...  0.001532  0.013760
state_id::18.0:fyear  0.001952    0.003740  ... -0.005382  0.009287
state_id::19.0:fyear -0.005836    0.004492  ... -0.014648  0.002975
state_id::21.0:fyear  0.006692    0.001688  ...  0.003382  0.010003
state_id::22.0:fyear  0.001605    0.001126  ... -0.000604  0.003813
state_id::23.0:fyear  0.002254    0.001789  ... -0.001255  0.005763
state_id::24.0:fyear  0.003378    0.001885  ... -0.000320  0.007076
state_id::25.0:fyear -0.009460    0.008553  ... -0.026235  0.007315
state_id::26.0:fyear  0.004701    0.001391  ...  0.001973  0.007430
state_id::28.0:fyear  0.057824    0.011768  ...  0.034742  0.080906
state_id::29.0:fyear -0.017162    0.003050  ... -0.023143 -0.011180
state_id::30.0:fyear  0.005799    0.002652  ...  0.000596  0.011002
state_id::31.0:fyear  0.001632    0.001125  ... -0.000575  0.003839
state_id::32.0:fyear -0.067457    0.008236  ... -0.083611 -0.051302
state_id::33.0:fyear  0.001672    0.001125  ... -0.000535  0.003878
state_id::34.0:fyear  0.000931    0.002265  ... -0.003511  0.005372
state_id::36.0:fyear  0.001579    0.001125  ... -0.000627  0.003786
state_id::38.0:fyear -0.003491    0.003977  ... -0.011292  0.004310
state_id::39.0:fyear  0.001630    0.001126  ... -0.000578  0.003839
state_id::40.0:fyear  0.009893    0.001489  ...  0.006972  0.012813
state_id::41.0:fyear  0.001033    0.001756  ... -0.002412  0.004478
state_id::43.0:fyear  0.002020    0.003423  ... -0.004694  0.008735
state_id::44.0:fyear -0.000632    0.001679  ... -0.003925  0.002662
state_id::45.0:fyear  0.008053    0.002052  ...  0.004028  0.012077
state_id::47.0:fyear  0.001027    0.002111  ... -0.003114  0.005167
state_id::48.0:fyear -0.000206    0.001459  ... -0.003068  0.002657

[42 rows x 6 columns]
