Paper: 0005
KeyVar: ppent_at
Mechanism: NMAR
Proportion: 1pct
Method: DL
Iteration: 13
---
FocalIV: ad_law2
Coef: -0.011475
SE: 0.003231
pval: 0.000394
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...        2.5%       97.5%
Coefficient                                 ...                        
ad_law2              -0.011475    0.003231  ...   -0.017813   -0.005137
ln_at_adj             0.005213    0.004081  ...   -0.002793    0.013218
ppent_at             -0.082501    0.018508  ...   -0.118804   -0.046198
div_payer             0.026203    0.004843  ...    0.016705    0.035702
state_inc_growth      0.002060    0.000389  ...    0.001297    0.002823
state_id::1.0:fyear   0.056020  197.635197  ... -387.593271  387.705311
state_id::3.0:fyear   0.060016  268.054734  ... -525.712869  525.832902
state_id::4.0:fyear   0.055432  375.270710  ... -736.014999  736.125862
state_id::5.0:fyear   0.057645         NaN  ...         NaN         NaN
state_id::6.0:fyear   0.056118  293.513159  ... -575.651901  575.764138
state_id::7.0:fyear   0.056042  279.903091  ... -548.956666  549.068749
state_id::10.0:fyear  0.058032         NaN  ...         NaN         NaN
state_id::11.0:fyear  0.056278         NaN  ...         NaN         NaN
state_id::12.0:fyear  0.077552  421.124235  ... -825.931751  826.086854
state_id::14.0:fyear  0.056003  272.584052  ... -534.600860  534.712865
state_id::15.0:fyear  0.056850         NaN  ...         NaN         NaN
state_id::17.0:fyear  0.062208  171.596525  ... -336.513829  336.638245
state_id::18.0:fyear  0.056043  140.391891  ... -275.314022  275.426109
state_id::19.0:fyear  0.048564  234.281083  ... -459.479379  459.576507
state_id::21.0:fyear  0.060700  121.956506  ... -239.149490  239.270891
state_id::22.0:fyear  0.055991  242.493070  ... -475.579261  475.691243
state_id::23.0:fyear  0.056830  177.674880  ... -348.441527  348.555187
state_id::24.0:fyear  0.058249  217.844247  ... -427.229852  427.346350
state_id::25.0:fyear  0.045750  385.024077  ... -755.155312  755.246812
state_id::26.0:fyear  0.059248  292.731782  ... -574.116148  574.234645
state_id::28.0:fyear  0.108801  436.195755  ... -855.462361  855.679963
state_id::29.0:fyear  0.038264  390.899563  ... -766.687201  766.763730
state_id::30.0:fyear  0.059944  343.159977  ... -673.027258  673.147146
state_id::31.0:fyear  0.056026  229.079555  ... -449.269440  449.381491
state_id::32.0:fyear -0.030847         NaN  ...         NaN         NaN
state_id::33.0:fyear  0.056061  113.508228  ... -222.583351  222.695473
state_id::34.0:fyear  0.055615  357.302785  ... -700.771837  700.883066
state_id::36.0:fyear  0.055967  251.234876  ... -492.725799  492.837734
state_id::38.0:fyear  0.048741  349.814943  ... -686.091768  686.189250
state_id::39.0:fyear  0.056017  312.304769  ... -612.510592  612.622626
state_id::40.0:fyear  0.064583  280.737591  ... -550.584945  550.714112
state_id::41.0:fyear  0.055606  285.365190  ... -559.670674  559.781886
state_id::43.0:fyear  0.055538  189.967250  ... -372.553546  372.664621
state_id::44.0:fyear  0.053644  197.712810  ... -387.747881  387.855169
state_id::45.0:fyear  0.062514  354.123863  ... -694.529678  694.654705
state_id::47.0:fyear  0.055262  250.421396  ... -491.130913  491.241437
state_id::48.0:fyear  0.054066  268.787283  ... -527.155669  527.263802
state_id::50.0:fyear  0.054619         NaN  ...         NaN         NaN

[43 rows x 6 columns]
