Paper: 0005
KeyVar: ppent_at
Mechanism: NMAR
Proportion: 1pct
Method: Iter
Iteration: 26
---
FocalIV: ad_law2
Coef: -0.010602
SE: 0.003375
pval: 0.001711
Nobs: 13633
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.010602    0.003375  ... -0.017222 -0.003983
ln_at_adj             0.004453    0.004001  ... -0.003396  0.012301
ppent_at             -0.088263    0.015471  ... -0.118609 -0.057918
div_payer             0.030096    0.004691  ...  0.020896  0.039297
state_inc_growth      0.001959    0.000390  ...  0.001194  0.002725
state_id::1.0:fyear   0.001850    0.001092  ... -0.000292  0.003993
state_id::3.0:fyear   0.005803    0.007710  ... -0.009319  0.020926
state_id::4.0:fyear   0.001165    0.005172  ... -0.008980  0.011310
state_id::5.0:fyear   0.003736    0.001547  ...  0.000703  0.006770
state_id::6.0:fyear   0.002172    0.002767  ... -0.003254  0.007599
state_id::7.0:fyear   0.002252    0.001587  ... -0.000860  0.005364
state_id::10.0:fyear  0.003926    0.001933  ...  0.000135  0.007718
state_id::11.0:fyear  0.002074    0.001959  ... -0.001768  0.005916
state_id::12.0:fyear  0.023273    0.011325  ...  0.001060  0.045486
state_id::14.0:fyear  0.001833    0.001093  ... -0.000311  0.003976
state_id::15.0:fyear  0.002245    0.001696  ... -0.001081  0.005571
state_id::17.0:fyear  0.007910    0.002956  ...  0.002113  0.013707
state_id::18.0:fyear  0.001545    0.003892  ... -0.006089  0.009179
state_id::19.0:fyear -0.004772    0.004265  ... -0.013137  0.003592
state_id::21.0:fyear  0.007159    0.001705  ...  0.003814  0.010505
state_id::22.0:fyear  0.001821    0.001093  ... -0.000323  0.003965
state_id::23.0:fyear  0.002563    0.001751  ... -0.000870  0.005997
state_id::24.0:fyear  0.003841    0.001807  ...  0.000297  0.007385
state_id::25.0:fyear -0.007588    0.008489  ... -0.024238  0.009062
state_id::26.0:fyear  0.005096    0.001332  ...  0.002483  0.007709
state_id::28.0:fyear  0.055159    0.011484  ...  0.032633  0.077684
state_id::29.0:fyear -0.016266    0.003340  ... -0.022817 -0.009714
state_id::30.0:fyear  0.005594    0.002547  ...  0.000598  0.010590
state_id::31.0:fyear  0.001855    0.001093  ... -0.000288  0.003998
state_id::32.0:fyear -0.078983    0.007158  ... -0.093023 -0.064942
state_id::33.0:fyear  0.001890    0.001092  ... -0.000253  0.004033
state_id::34.0:fyear  0.001481    0.002261  ... -0.002953  0.005916
state_id::36.0:fyear  0.001825    0.001093  ... -0.000319  0.003968
state_id::38.0:fyear  0.021693    0.005229  ...  0.011436  0.031949
state_id::39.0:fyear  0.001852    0.001093  ... -0.000293  0.003996
state_id::40.0:fyear  0.010297    0.001478  ...  0.007399  0.013195
state_id::41.0:fyear  0.001306    0.001924  ... -0.002469  0.005080
state_id::43.0:fyear  0.001828    0.003469  ... -0.004975  0.008632
state_id::44.0:fyear -0.000388    0.001624  ... -0.003574  0.002797
state_id::45.0:fyear  0.008088    0.002034  ...  0.004098  0.012079
state_id::47.0:fyear  0.000974    0.002097  ... -0.003139  0.005087
state_id::48.0:fyear  0.000040    0.001438  ... -0.002780  0.002860

[42 rows x 6 columns]
