Paper: 0005
KeyVar: state_inc_growth
Mechanism: NMAR
Proportion: 1pct
Method: LD
Iteration: 17
---
FocalIV: ad_law2
Coef: -0.010864
SE: 0.003420
pval: 0.001516
Nobs: 13099
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.010864    0.003420  ... -0.017572 -0.004157
ln_at_adj             0.004869    0.004177  ... -0.003324  0.013061
ppent_at             -0.140002    0.020554  ... -0.180319 -0.099686
div_payer             0.025780    0.004533  ...  0.016888  0.034672
state_inc_growth      0.001914    0.000388  ...  0.001153  0.002675
state_id::1.0:fyear   0.001678    0.001157  ... -0.000591  0.003947
state_id::3.0:fyear   0.005147    0.007506  ... -0.009576  0.019869
state_id::4.0:fyear   0.001044    0.004882  ... -0.008533  0.010620
state_id::5.0:fyear   0.003156    0.001569  ...  0.000080  0.006233
state_id::6.0:fyear   0.001768    0.002745  ... -0.003615  0.007152
state_id::7.0:fyear   0.001718    0.001597  ... -0.001415  0.004851
state_id::10.0:fyear  0.003888    0.001964  ...  0.000036  0.007739
state_id::11.0:fyear  0.002161    0.001967  ... -0.001697  0.006020
state_id::12.0:fyear  0.023572    0.011277  ...  0.001453  0.045692
state_id::14.0:fyear  0.001668    0.001157  ... -0.000602  0.003939
state_id::15.0:fyear  0.002499    0.001748  ... -0.000931  0.005928
state_id::17.0:fyear  0.007406    0.003111  ...  0.001305  0.013508
state_id::18.0:fyear  0.002022    0.003756  ... -0.005345  0.009389
state_id::19.0:fyear -0.005826    0.004584  ... -0.014817  0.003165
state_id::21.0:fyear  0.006615    0.001790  ...  0.003104  0.010127
state_id::22.0:fyear  0.001659    0.001158  ... -0.000612  0.003929
state_id::23.0:fyear  0.002731    0.001830  ... -0.000858  0.006320
state_id::24.0:fyear  0.003345    0.001907  ... -0.000394  0.007085
state_id::25.0:fyear -0.009179    0.008587  ... -0.026022  0.007663
state_id::26.0:fyear  0.004747    0.001418  ...  0.001965  0.007529
state_id::28.0:fyear  0.057090    0.011604  ...  0.034331  0.079850
state_id::29.0:fyear -0.017149    0.003046  ... -0.023124 -0.011174
state_id::30.0:fyear  0.005713    0.002594  ...  0.000624  0.010802
state_id::31.0:fyear  0.001683    0.001157  ... -0.000586  0.003953
state_id::32.0:fyear -0.067154    0.008177  ... -0.083193 -0.051116
state_id::33.0:fyear  0.001723    0.001157  ... -0.000546  0.003992
state_id::34.0:fyear  0.000879    0.002320  ... -0.003672  0.005430
state_id::36.0:fyear  0.001630    0.001157  ... -0.000639  0.003900
state_id::38.0:fyear -0.003626    0.004020  ... -0.011511  0.004259
state_id::39.0:fyear  0.001681    0.001158  ... -0.000590  0.003952
state_id::40.0:fyear  0.009935    0.001517  ...  0.006960  0.012910
state_id::41.0:fyear  0.001054    0.001808  ... -0.002493  0.004601
state_id::43.0:fyear  0.002161    0.003524  ... -0.004750  0.009073
state_id::44.0:fyear -0.000595    0.001705  ... -0.003939  0.002748
state_id::45.0:fyear  0.008156    0.002084  ...  0.004068  0.012243
state_id::47.0:fyear  0.000836    0.002119  ... -0.003322  0.004993
state_id::48.0:fyear -0.000207    0.001470  ... -0.003090  0.002676

[42 rows x 6 columns]
