Paper: 0005
KeyVar: ppent_at
Mechanism: NMAR
Proportion: 20pct
Method: Iter
Iteration: 24
---
FocalIV: ad_law2
Coef: -0.012032
SE: 0.003080
pval: 0.000098
Nobs: 13633
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.012032     0.003080  ...    -0.018074    -0.005991
ln_at_adj             0.004532     0.005440  ...    -0.006138     0.015203
ppent_at             -0.017716     0.005103  ...    -0.027724    -0.007707
div_payer             0.029882     0.005311  ...     0.019465     0.040298
state_inc_growth      0.002061     0.000396  ...     0.001284     0.002839
state_id::1.0:fyear   0.058214  1409.460137  ... -2764.459563  2764.575990
state_id::3.0:fyear   0.061860  1534.567734  ... -3009.842194  3009.965914
state_id::4.0:fyear   0.057834  1473.061393  ... -2889.207567  2889.323234
state_id::5.0:fyear   0.059960  1537.757996  ... -3016.101478  3016.221399
state_id::6.0:fyear   0.058298  1591.158723  ... -3120.843429  3120.960025
state_id::7.0:fyear   0.058574  1435.648720  ... -2815.825538  2815.942686
state_id::10.0:fyear  0.060318  1557.204034  ... -3054.242617  3054.363253
state_id::11.0:fyear  0.057681  1613.070608  ... -3163.822058  3163.937421
state_id::12.0:fyear  0.078955  1423.542055  ... -2792.059122  2792.217032
state_id::14.0:fyear  0.058187  1376.466615  ... -2699.746033  2699.862407
state_id::15.0:fyear  0.058788  1539.382434  ... -3019.288828  3019.406404
state_id::17.0:fyear  0.064564  1463.540315  ... -2870.526177  2870.655304
state_id::18.0:fyear  0.057750  1502.302909  ... -2946.562015  2946.677516
state_id::19.0:fyear  0.050898  1513.550024  ... -2968.628979  2968.730774
state_id::21.0:fyear  0.062523  1634.217826  ... -3205.295409  3205.420455
state_id::22.0:fyear  0.058174  1525.400107  ... -2991.864478  2991.980826
state_id::23.0:fyear  0.059228  1513.531726  ... -2968.584759  2968.703216
state_id::24.0:fyear  0.060587  1412.593708  ... -2770.603381  2770.724556
state_id::25.0:fyear  0.050820  1472.702024  ... -2888.509713  2888.611353
state_id::26.0:fyear  0.061594  1449.245990  ... -2842.492229  2842.615418
state_id::28.0:fyear  0.108335  1456.086249  ... -2855.861986  2856.078656
state_id::29.0:fyear  0.041302  1383.441046  ... -2713.442581  2713.525184
state_id::30.0:fyear  0.061860  1622.758167  ... -3182.819075  3182.942795
state_id::31.0:fyear  0.058220  1463.347371  ... -2870.154080  2870.270520
state_id::32.0:fyear -0.045792  1496.086593  ... -2934.472863  2934.381280
state_id::33.0:fyear  0.058250  1516.704706  ... -2974.809227  2974.925727
state_id::34.0:fyear  0.057988  1502.566941  ... -2947.079650  2947.195626
state_id::36.0:fyear  0.058162  1471.480020  ... -2886.105530  2886.221855
state_id::38.0:fyear  0.064603  1488.671908  ... -2919.819292  2919.948497
state_id::39.0:fyear  0.058209  1501.194137  ... -2944.386808  2944.503225
state_id::40.0:fyear  0.066989  1452.541378  ... -2848.950415  2849.084394
state_id::41.0:fyear  0.057789  1546.066707  ... -3032.400373  3032.515950
state_id::43.0:fyear  0.058079  1577.990991  ... -3095.016433  3095.132590
state_id::44.0:fyear  0.055974  1600.525416  ... -3139.217601  3139.329549
state_id::45.0:fyear  0.064378  1427.111650  ... -2799.075109  2799.203865
state_id::47.0:fyear  0.057242  1572.990160  ... -3085.208630  3085.323115
state_id::48.0:fyear  0.056697  1544.430681  ... -3029.192559  3029.305954
state_id::50.0:fyear  0.056370  1562.882341  ... -3065.384007  3065.496747

[43 rows x 6 columns]
