Paper: 0005
KeyVar: ppent_at
Mechanism: NMAR
Proportion: 20pct
Method: LD
Iteration: 20
---
FocalIV: ad_law2
Coef: -0.011078
SE: 0.003872
pval: 0.004286
Nobs: 10504
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...          2.5%     97.5%
Coefficient                                 ...                        
ad_law2              -0.011078    0.003872  ... -1.867434e-02 -0.003482
ln_at_adj             0.005755    0.004599  ... -3.267620e-03  0.014777
ppent_at             -0.135605    0.024793  ... -1.842389e-01 -0.086971
div_payer             0.024282    0.004969  ...  1.453563e-02  0.034028
state_inc_growth      0.002105    0.000457  ...  1.207328e-03  0.003002
state_id::1.0:fyear   0.001639    0.001190  ... -6.963114e-04  0.003974
state_id::3.0:fyear   0.008243    0.009854  ... -1.108607e-02  0.027571
state_id::4.0:fyear   0.004409    0.005082  ... -5.560156e-03  0.014378
state_id::5.0:fyear   0.004732    0.001693  ...  1.411314e-03  0.008052
state_id::6.0:fyear  -0.001324    0.003312  ... -7.822038e-03  0.005173
state_id::7.0:fyear   0.002169    0.001701  ... -1.167095e-03  0.005505
state_id::10.0:fyear  0.005480    0.001921  ...  1.712429e-03  0.009248
state_id::11.0:fyear  0.001089    0.002000  ... -2.834497e-03  0.005012
state_id::12.0:fyear  0.035903    0.029178  ... -2.133235e-02  0.093138
state_id::14.0:fyear  0.001650    0.001192  ... -6.879709e-04  0.003987
state_id::15.0:fyear  0.003568    0.001911  ... -1.813921e-04  0.007317
state_id::17.0:fyear  0.007763    0.002969  ...  1.939650e-03  0.013586
state_id::18.0:fyear  0.005138    0.002619  ...  9.898999e-07  0.010276
state_id::19.0:fyear -0.005213    0.004483  ... -1.400618e-02  0.003581
state_id::21.0:fyear  0.006875    0.001634  ...  3.668641e-03  0.010081
state_id::22.0:fyear  0.001634    0.001192  ... -7.035806e-04  0.003973
state_id::23.0:fyear  0.003420    0.001806  ... -1.232763e-04  0.006963
state_id::24.0:fyear  0.003591    0.001911  ... -1.584775e-04  0.007341
state_id::25.0:fyear  0.028316    0.001696  ...  2.498925e-02  0.031643
state_id::26.0:fyear  0.004800    0.001504  ...  1.848976e-03  0.007751
state_id::28.0:fyear  0.061402    0.013209  ...  3.549097e-02  0.087313
state_id::29.0:fyear -0.019503    0.001575  ... -2.259182e-02 -0.016414
state_id::30.0:fyear  0.007563    0.003691  ...  3.238134e-04  0.014803
state_id::31.0:fyear  0.001655    0.001191  ... -6.808106e-04  0.003992
state_id::32.0:fyear -0.069030    0.009884  ... -8.841839e-02 -0.049641
state_id::33.0:fyear  0.001703    0.001191  ... -6.330950e-04  0.004040
state_id::34.0:fyear  0.001026    0.002715  ... -4.300723e-03  0.006353
state_id::36.0:fyear  0.001610    0.001191  ... -7.262556e-04  0.003946
state_id::38.0:fyear -0.002087    0.004544  ... -1.100104e-02  0.006827
state_id::39.0:fyear  0.001663    0.001192  ... -6.746685e-04  0.004001
state_id::40.0:fyear  0.010347    0.001555  ...  7.295541e-03  0.013398
state_id::41.0:fyear  0.004261    0.001728  ...  8.721749e-04  0.007650
state_id::43.0:fyear  0.004423    0.004808  ... -5.009137e-03  0.013855
state_id::44.0:fyear -0.000322    0.001869  ... -3.987277e-03  0.003343
state_id::45.0:fyear  0.008082    0.002074  ...  4.013823e-03  0.012150
state_id::47.0:fyear  0.000624    0.002588  ... -4.452910e-03  0.005702
state_id::48.0:fyear -0.000226    0.002047  ... -4.242278e-03  0.003790

[42 rows x 6 columns]
