Paper: 0005
KeyVar: ppent_at
Mechanism: NMAR
Proportion: 20pct
Method: Mean
Iteration: 3
---
FocalIV: ad_law2
Coef: -0.011856
SE: 0.003527
pval: 0.000794
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate    Std. Error  ...          2.5%         97.5%
Coefficient                                   ...                            
ad_law2              -0.011856      0.003527  ...     -0.018775     -0.004937
ln_at_adj             0.004040      0.005171  ...     -0.006102      0.014183
ppent_at             -0.033117      0.005838  ...     -0.044568     -0.021667
div_payer             0.026965      0.004471  ...      0.018196      0.035734
state_inc_growth      0.002097      0.000419  ...      0.001276      0.002918
state_id::1.0:fyear   0.064154  14243.261604  ... -27937.218012  27937.346320
state_id::3.0:fyear   0.068087  14206.327857  ... -27864.770805  27864.906979
state_id::4.0:fyear   0.064165  14056.909407  ... -27571.699621  27571.827951
state_id::5.0:fyear   0.065729  14248.587486  ... -27947.662827  27947.794285
state_id::6.0:fyear   0.063760  14298.145187  ... -28044.869182  28044.996702
state_id::7.0:fyear   0.064203  14308.588417  ... -28065.352490  28065.480896
state_id::10.0:fyear  0.065975  14373.030180  ... -28191.749276  28191.881227
state_id::11.0:fyear  0.063756  14182.676978  ... -27818.385391  27818.512903
state_id::12.0:fyear  0.083770  14324.698484  ... -28096.931831  28097.099370
state_id::14.0:fyear  0.064131  14259.488624  ... -27969.046337  27969.174599
state_id::15.0:fyear  0.064861  14320.017551  ... -28087.769376  28087.899099
state_id::17.0:fyear  0.070605  14117.938851  ... -27691.398685  27691.539896
state_id::18.0:fyear  0.063575  14178.439734  ... -27810.074477  27810.201627
state_id::19.0:fyear  0.057127  14186.135103  ... -27825.174919  27825.289173
state_id::21.0:fyear  0.068626  14119.973875  ... -27695.392237  27695.529490
state_id::22.0:fyear  0.064117  14188.226968  ... -27829.270993  27829.399228
state_id::23.0:fyear  0.065057  14279.526004  ... -28008.347500  28008.477615
state_id::24.0:fyear  0.066611  14259.200015  ... -27968.477767  27968.610990
state_id::25.0:fyear  0.056120  14348.355081  ... -28143.360440  28143.472681
state_id::26.0:fyear  0.067461  14241.633816  ... -27934.021898  27934.156821
state_id::28.0:fyear  0.114933  14213.224839  ... -27878.251965  27878.481832
state_id::29.0:fyear  0.047377  14108.784113  ... -27673.465457  27673.560211
state_id::30.0:fyear  0.068078  14120.266069  ... -27695.965906  27696.102062
state_id::31.0:fyear  0.064163  14183.163455  ... -27819.339179  27819.467504
state_id::32.0:fyear -0.043002  14169.382766  ... -27792.416369  27792.330365
state_id::33.0:fyear  0.064194  14191.407117  ... -27835.508583  27835.636971
state_id::34.0:fyear  0.064012  14211.318655  ... -27874.564023  27874.692047
state_id::36.0:fyear  0.064099  14191.081604  ... -27834.870204  27834.998403
state_id::38.0:fyear  0.061562  14297.022070  ... -28042.668453  28042.791577
state_id::39.0:fyear  0.064147  14165.225089  ... -27784.154193  27784.282486
state_id::40.0:fyear  0.072985  13993.153414  ... -27446.637338  27446.783309
state_id::41.0:fyear  0.063658  14193.324239  ... -27839.269436  27839.396751
state_id::43.0:fyear  0.064205  14286.868177  ... -28022.749575  28022.877984
state_id::44.0:fyear  0.061697  14319.769376  ... -28087.285761  28087.409155
state_id::45.0:fyear  0.070624  14030.192760  ... -27519.290101  27519.431349
state_id::47.0:fyear  0.063342  14124.241359  ... -27703.767928  27703.894613
state_id::48.0:fyear  0.062235  14155.994410  ... -27766.050694  27766.175164
state_id::50.0:fyear  0.062919  14233.385463  ... -27917.847802  27917.973641

[43 rows x 6 columns]
