Paper: 0005
KeyVar: ppent_at
Mechanism: NMAR
Proportion: 20pct
Method: Reg
Iteration: 20
---
FocalIV: ad_law2
Coef: -0.011818
SE: 0.003072
pval: 0.000124
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011818     0.003072  ...    -0.017844    -0.005792
ln_at_adj             0.004008     0.004267  ...    -0.004361     0.012378
ppent_at             -0.016070     0.006819  ...    -0.029445    -0.002695
div_payer             0.026979     0.003923  ...     0.019283     0.034674
state_inc_growth      0.002054     0.000392  ...     0.001285     0.002822
state_id::1.0:fyear   0.067602  1222.506999  ... -2397.804735  2397.939939
state_id::3.0:fyear   0.071444  1195.759817  ... -2345.337939  2345.480827
state_id::4.0:fyear   0.067956  1198.084014  ... -2349.900197  2350.036108
state_id::5.0:fyear   0.069212  1211.611870  ... -2376.433000  2376.571423
state_id::6.0:fyear   0.067399  1200.712239  ... -2355.055855  2355.190654
state_id::7.0:fyear   0.067656  1217.824604  ... -2388.620451  2388.755763
state_id::10.0:fyear  0.069502  1204.242807  ... -2361.978745  2362.117749
state_id::11.0:fyear  0.067222  1181.352784  ... -2317.083652  2317.218096
state_id::12.0:fyear  0.088271  1189.903766  ... -2333.834827  2334.011369
state_id::14.0:fyear  0.067574  1213.815533  ... -2380.756985  2380.892133
state_id::15.0:fyear  0.068391  1201.444020  ... -2356.490207  2356.626989
state_id::17.0:fyear  0.074171  1204.454264  ... -2362.388836  2362.537177
state_id::18.0:fyear  0.067051  1198.536818  ... -2350.789249  2350.923351
state_id::19.0:fyear  0.060663  1205.148558  ... -2363.764158  2363.885483
state_id::21.0:fyear  0.071995  1173.286190  ... -2301.256750  2301.400740
state_id::22.0:fyear  0.067560  1229.943060  ... -2412.390153  2412.525273
state_id::23.0:fyear  0.068562  1203.214383  ... -2359.962493  2360.099618
state_id::24.0:fyear  0.070143  1204.506038  ... -2362.494415  2362.634700
state_id::25.0:fyear  0.059097  1227.724840  ... -2408.047713  2408.165908
state_id::26.0:fyear  0.070971  1191.503038  ... -2336.989002  2337.130943
state_id::28.0:fyear  0.117461  1167.908399  ... -2290.663077  2290.898000
state_id::29.0:fyear  0.050675  1194.765073  ... -2343.407580  2343.508929
state_id::30.0:fyear  0.071445  1182.130358  ... -2318.604592  2318.747482
state_id::31.0:fyear  0.067608  1221.704332  ... -2396.230347  2396.365563
state_id::32.0:fyear -0.039989  1167.893499  ... -2290.791302  2290.711324
state_id::33.0:fyear  0.067638  1225.839757  ... -2404.341698  2404.476973
state_id::34.0:fyear  0.067473  1212.498907  ... -2378.174606  2378.309552
state_id::36.0:fyear  0.067543  1210.841759  ... -2374.924141  2375.059227
state_id::38.0:fyear  0.065595  1149.808555  ... -2255.213212  2255.344402
state_id::39.0:fyear  0.067590  1201.667523  ... -2356.929394  2357.064575
state_id::40.0:fyear  0.076521  1191.467781  ... -2336.914297  2337.067338
state_id::41.0:fyear  0.067425  1207.421023  ... -2368.214698  2368.349547
state_id::43.0:fyear  0.067648  1194.044613  ... -2341.977468  2342.112763
state_id::44.0:fyear  0.065199  1191.243031  ... -2336.484785  2336.615183
state_id::45.0:fyear  0.074143  1196.224450  ... -2346.246588  2346.394874
state_id::47.0:fyear  0.066913  1207.542384  ... -2368.453251  2368.587076
state_id::48.0:fyear  0.065620  1188.889418  ... -2331.867898  2331.999139
state_id::50.0:fyear  0.066460  1186.019279  ... -2326.237456  2326.370375

[43 rows x 6 columns]
