Paper: 0005
KeyVar: state_inc_growth
Mechanism: NMAR
Proportion: 20pct
Method: DL
Iteration: 6
---
FocalIV: ad_law2
Coef: -0.011470
SE: 0.003388
pval: 0.000728
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011470     0.003388  ...    -0.018116    -0.004825
ln_at_adj             0.005243     0.004157  ...    -0.002911     0.013398
ppent_at             -0.138430     0.022504  ...    -0.182571    -0.094290
div_payer             0.026015     0.004645  ...     0.016905     0.035126
state_inc_growth      0.000841     0.000281  ...     0.000290     0.001391
state_id::1.0:fyear   0.039332  2010.697925  ... -3943.824749  3943.903413
state_id::3.0:fyear   0.043291  1980.812514  ... -3885.202338  3885.288921
state_id::4.0:fyear   0.038289  1976.907166  ... -3877.547234  3877.623812
state_id::5.0:fyear   0.040892  1972.295444  ... -3868.499014  3868.580798
state_id::6.0:fyear   0.039068  2010.424789  ... -3943.289273  3943.367408
state_id::7.0:fyear   0.038913  1989.015894  ... -3901.297159  3901.374984
state_id::10.0:fyear  0.041744  1982.464723  ... -3888.444595  3888.528083
state_id::11.0:fyear  0.039961  2011.877821  ... -3946.138416  3946.218338
state_id::12.0:fyear  0.059885  1953.368736  ... -3831.356411  3831.476181
state_id::14.0:fyear  0.039321  2003.348868  ... -3929.410023  3929.488666
state_id::15.0:fyear  0.039983  2025.874571  ... -3973.592186  3973.672151
state_id::17.0:fyear  0.045111  1983.180606  ... -3889.845390  3889.935613
state_id::18.0:fyear  0.039625  1986.154089  ... -3895.683185  3895.762435
state_id::19.0:fyear  0.031907  1994.877345  ... -3912.801050  3912.864863
state_id::21.0:fyear  0.044111  1981.226776  ... -3886.014069  3886.102290
state_id::22.0:fyear  0.039311  2012.028820  ... -3946.435241  3946.513864
state_id::23.0:fyear  0.039995  2003.305807  ... -3929.324888  3929.404878
state_id::24.0:fyear  0.041093  2000.639829  ... -3924.094633  3924.176818
state_id::25.0:fyear  0.029389  1961.450172  ... -3847.238163  3847.296940
state_id::26.0:fyear  0.042502  1977.855257  ... -3879.402646  3879.487649
state_id::28.0:fyear  0.092573  1950.441526  ... -3825.582174  3825.767321
state_id::29.0:fyear  0.018674  1973.320784  ... -3870.532375  3870.569723
state_id::30.0:fyear  0.043303  2005.781608  ... -3934.177716  3934.264321
state_id::31.0:fyear  0.039337  1992.631382  ... -3908.388297  3908.466972
state_id::32.0:fyear -0.031419  1997.687247  ... -3918.375831  3918.312993
state_id::33.0:fyear  0.039376  1996.687507  ... -3916.344106  3916.422859
state_id::34.0:fyear  0.038847  1984.707190  ... -3892.845958  3892.923653
state_id::36.0:fyear  0.039286  2001.489554  ... -3925.763125  3925.841696
state_id::38.0:fyear  0.034125  1963.186802  ... -3850.639722  3850.707972
state_id::39.0:fyear  0.039335  1996.737666  ... -3916.442531  3916.521202
state_id::40.0:fyear  0.047579  1991.940499  ... -3907.024930  3907.120087
state_id::41.0:fyear  0.038815  2005.778083  ... -3934.175289  3934.252919
state_id::43.0:fyear  0.039634  1992.544838  ... -3908.218251  3908.297518
state_id::44.0:fyear  0.037226  2004.630917  ... -3931.926782  3932.001234
state_id::45.0:fyear  0.045928  2007.895767  ... -3938.321887  3938.413744
state_id::47.0:fyear  0.038684  1999.859969  ... -3922.567393  3922.644761
state_id::48.0:fyear  0.037595  1998.925812  ... -3920.736189  3920.811380
state_id::50.0:fyear  0.037745  1950.676072  ... -3826.097052  3826.172541

[43 rows x 6 columns]
