Paper: 0005
KeyVar: state_inc_growth
Mechanism: NMAR
Proportion: 20pct
Method: Iter
Iteration: 18
---
FocalIV: ad_law2
Coef: -0.011727
SE: 0.003408
pval: 0.000595
Nobs: 13633
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.011727    0.003408  ... -0.018412 -0.005042
ln_at_adj             0.006696    0.004023  ... -0.001194  0.014587
ppent_at             -0.125918    0.019724  ... -0.164604 -0.087231
div_payer             0.031806    0.004625  ...  0.022735  0.040876
state_inc_growth      0.001165    0.000291  ...  0.000594  0.001737
state_id::1.0:fyear   0.002273    0.001128  ...  0.000061  0.004485
state_id::3.0:fyear   0.006014    0.007791  ... -0.009266  0.021295
state_id::4.0:fyear   0.001053    0.004972  ... -0.008698  0.010805
state_id::5.0:fyear   0.003889    0.001530  ...  0.000888  0.006891
state_id::6.0:fyear   0.002551    0.002709  ... -0.002762  0.007864
state_id::7.0:fyear   0.001823    0.001612  ... -0.001338  0.004984
state_id::10.0:fyear  0.005051    0.001832  ...  0.001457  0.008645
state_id::11.0:fyear  0.002528    0.001989  ... -0.001373  0.006430
state_id::12.0:fyear  0.022799    0.010495  ...  0.002214  0.043384
state_id::14.0:fyear  0.002264    0.001129  ...  0.000051  0.004478
state_id::15.0:fyear  0.002938    0.001727  ... -0.000450  0.006325
state_id::17.0:fyear  0.007860    0.003042  ...  0.001894  0.013826
state_id::18.0:fyear  0.002637    0.003637  ... -0.004497  0.009771
state_id::19.0:fyear -0.005012    0.004616  ... -0.014065  0.004042
state_id::21.0:fyear  0.007588    0.001706  ...  0.004243  0.010934
state_id::22.0:fyear  0.002256    0.001129  ...  0.000042  0.004470
state_id::23.0:fyear  0.002786    0.001758  ... -0.000663  0.006235
state_id::24.0:fyear  0.004281    0.001866  ...  0.000622  0.007940
state_id::25.0:fyear -0.006312    0.008155  ... -0.022306  0.009683
state_id::26.0:fyear  0.005342    0.001359  ...  0.002676  0.008008
state_id::28.0:fyear  0.055446    0.012295  ...  0.031330  0.079562
state_id::29.0:fyear -0.017973    0.003125  ... -0.024102 -0.011844
state_id::30.0:fyear  0.005928    0.002434  ...  0.001154  0.010703
state_id::31.0:fyear  0.002279    0.001128  ...  0.000067  0.004492
state_id::32.0:fyear -0.066256    0.008017  ... -0.081980 -0.050531
state_id::33.0:fyear  0.002318    0.001128  ...  0.000105  0.004531
state_id::34.0:fyear  0.001721    0.002314  ... -0.002818  0.006261
state_id::36.0:fyear  0.002254    0.001128  ...  0.000041  0.004468
state_id::38.0:fyear  0.014697    0.003762  ...  0.007317  0.022076
state_id::39.0:fyear  0.002283    0.001129  ...  0.000068  0.004497
state_id::40.0:fyear  0.010386    0.001460  ...  0.007522  0.013250
state_id::41.0:fyear  0.001482    0.001847  ... -0.002142  0.005105
state_id::43.0:fyear  0.002177    0.003610  ... -0.004904  0.009258
state_id::44.0:fyear -0.000316    0.001659  ... -0.003569  0.002938
state_id::45.0:fyear  0.008396    0.002124  ...  0.004231  0.012561
state_id::47.0:fyear  0.001157    0.002119  ... -0.002999  0.005313
state_id::48.0:fyear  0.000074    0.001310  ... -0.002496  0.002644

[42 rows x 6 columns]
