Paper: 0005
KeyVar: state_inc_growth
Mechanism: NMAR
Proportion: 20pct
Method: Reg
Iteration: 5
---
FocalIV: ad_law2
Coef: -0.011510
SE: 0.003613
pval: 0.001470
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...        2.5%       97.5%
Coefficient                                 ...                        
ad_law2              -0.011510    0.003613  ...   -0.018596   -0.004424
ln_at_adj             0.005065    0.004135  ...   -0.003046    0.013176
ppent_at             -0.138793    0.021936  ...   -0.181819   -0.095768
div_payer             0.025969    0.004356  ...    0.017425    0.034512
state_inc_growth      0.000884    0.000303  ...    0.000289    0.001479
state_id::1.0:fyear   0.049228  262.392176  ... -514.617378  514.715835
state_id::3.0:fyear   0.053198  286.327444  ... -561.561011  561.667406
state_id::4.0:fyear   0.048379  292.958809  ... -574.572856  574.669614
state_id::5.0:fyear   0.050771  297.301737  ... -583.088857  583.190399
state_id::6.0:fyear   0.049097  281.648575  ... -552.387787  552.485982
state_id::7.0:fyear   0.048824  253.078861  ... -496.350271  496.447918
state_id::10.0:fyear  0.051585  297.099315  ... -582.691004  582.794175
state_id::11.0:fyear  0.049888  251.654452  ... -493.555314  493.655090
state_id::12.0:fyear  0.069711  235.478862  ... -461.808035  461.947456
state_id::14.0:fyear  0.049217  268.925896  ... -527.432891  527.531326
state_id::15.0:fyear  0.049901  271.269280  ... -532.028615  532.128417
state_id::17.0:fyear  0.054872  255.302969  ... -500.706678  500.816421
state_id::18.0:fyear  0.049574  289.495490  ... -567.778566  567.877714
state_id::19.0:fyear  0.041850  240.079871  ... -470.860501  470.944201
state_id::21.0:fyear  0.054067  249.134726  ... -488.608841  488.716976
state_id::22.0:fyear  0.049207  292.636071  ... -573.938996  574.037411
state_id::23.0:fyear  0.049910  280.471345  ... -550.077909  550.177728
state_id::24.0:fyear  0.051068  268.407679  ... -526.414590  526.516725
state_id::25.0:fyear  0.039707  286.563327  ... -562.037172  562.116585
state_id::26.0:fyear  0.052408  254.383291  ... -498.905248  499.010064
state_id::28.0:fyear  0.102886  257.936201  ... -505.823591  506.029363
state_id::29.0:fyear  0.028381  268.152973  ... -525.937685  525.994448
state_id::30.0:fyear  0.053244  268.612160  ... -526.813490  526.919977
state_id::31.0:fyear  0.049233  231.042401  ... -453.126660  453.225125
state_id::32.0:fyear -0.020185  283.529096  ... -556.145601  556.105230
state_id::33.0:fyear  0.049272  273.827948  ... -537.047920  537.146464
state_id::34.0:fyear  0.048698  284.821890  ... -558.612455  558.709851
state_id::36.0:fyear  0.049180  264.715890  ... -519.175253  519.273613
state_id::38.0:fyear  0.043972  306.807281  ... -601.740215  601.828159
state_id::39.0:fyear  0.049230  268.207644  ... -526.024070  526.122531
state_id::40.0:fyear  0.057421  274.690035  ... -538.730703  538.845545
state_id::41.0:fyear  0.048712  285.899397  ... -560.725907  560.823330
state_id::43.0:fyear  0.049630  253.970977  ... -498.099298  498.198558
state_id::44.0:fyear  0.047118  297.552024  ... -583.583435  583.677671
state_id::45.0:fyear  0.055759  295.212896  ... -578.986732  579.098251
state_id::47.0:fyear  0.048596  293.816034  ... -576.254034  576.351226
state_id::48.0:fyear  0.047495  294.661352  ... -577.913177  578.008166
state_id::50.0:fyear  0.047657  255.065601  ... -500.248309  500.343623

[43 rows x 6 columns]
