Paper: 0005
KeyVar: ln_at_adj
Mechanism: NMAR
Proportion: 30pct
Method: RF
Iteration: 17
---
FocalIV: ad_law2
Coef: -0.010817
SE: 0.003416
pval: 0.001571
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.010817    0.003416  ... -0.017517 -0.004117
ln_at_adj            -0.000338    0.000608  ... -0.001531  0.000855
ppent_at             -0.136520    0.020455  ... -0.176642 -0.096398
div_payer             0.026824    0.004620  ...  0.017763  0.035885
state_inc_growth      0.001996    0.000388  ...  0.001236  0.002756
state_id::1.0:fyear   0.001616    0.001125  ... -0.000590  0.003823
state_id::3.0:fyear   0.005776    0.008029  ... -0.009972  0.021525
state_id::4.0:fyear   0.001248    0.004803  ... -0.008172  0.010668
state_id::5.0:fyear   0.003362    0.001541  ...  0.000341  0.006384
state_id::6.0:fyear   0.001560    0.002710  ... -0.003755  0.006875
state_id::7.0:fyear   0.001623    0.001608  ... -0.001531  0.004776
state_id::10.0:fyear  0.004081    0.001947  ...  0.000262  0.007900
state_id::11.0:fyear  0.002522    0.001952  ... -0.001308  0.006351
state_id::12.0:fyear  0.023218    0.011118  ...  0.001412  0.045025
state_id::14.0:fyear  0.001605    0.001126  ... -0.000603  0.003812
state_id::15.0:fyear  0.002470    0.001715  ... -0.000895  0.005834
state_id::17.0:fyear  0.007707    0.003146  ...  0.001536  0.013878
state_id::18.0:fyear  0.001928    0.003721  ... -0.005371  0.009228
state_id::19.0:fyear -0.005757    0.004448  ... -0.014482  0.002968
state_id::21.0:fyear  0.006779    0.001703  ...  0.003439  0.010120
state_id::22.0:fyear  0.001593    0.001126  ... -0.000616  0.003801
state_id::23.0:fyear  0.002231    0.001799  ... -0.001298  0.005760
state_id::24.0:fyear  0.003390    0.001891  ... -0.000318  0.007099
state_id::25.0:fyear -0.009667    0.008519  ... -0.026377  0.007043
state_id::26.0:fyear  0.004645    0.001394  ...  0.001912  0.007379
state_id::28.0:fyear  0.058446    0.011984  ...  0.034941  0.081951
state_id::29.0:fyear -0.017385    0.003106  ... -0.023476 -0.011294
state_id::30.0:fyear  0.005917    0.002725  ...  0.000572  0.011261
state_id::31.0:fyear  0.001622    0.001125  ... -0.000585  0.003828
state_id::32.0:fyear -0.067416    0.008246  ... -0.083590 -0.051242
state_id::33.0:fyear  0.001661    0.001125  ... -0.000546  0.003868
state_id::34.0:fyear  0.000861    0.002245  ... -0.003542  0.005264
state_id::36.0:fyear  0.001569    0.001125  ... -0.000637  0.003776
state_id::38.0:fyear -0.003382    0.003962  ... -0.011153  0.004388
state_id::39.0:fyear  0.001620    0.001126  ... -0.000588  0.003829
state_id::40.0:fyear  0.009845    0.001486  ...  0.006930  0.012760
state_id::41.0:fyear  0.001044    0.001727  ... -0.002344  0.004432
state_id::43.0:fyear  0.002091    0.003347  ... -0.004475  0.008656
state_id::44.0:fyear -0.000603    0.001681  ... -0.003901  0.002694
state_id::45.0:fyear  0.008006    0.002033  ...  0.004020  0.011993
state_id::47.0:fyear  0.001119    0.002116  ... -0.003032  0.005270
state_id::48.0:fyear -0.000240    0.001442  ... -0.003069  0.002589

[42 rows x 6 columns]
