Paper: 0005
KeyVar: ln_at_adj
Mechanism: NMAR
Proportion: 40pct
Method: Reg
Iteration: 24
---
FocalIV: ad_law2
Coef: -0.010777
SE: 0.003996
pval: 0.007069
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.010777    0.003996  ...    -0.018614    -0.002939
ln_at_adj            -0.000714    0.000659  ...    -0.002007     0.000579
ppent_at             -0.136356    0.021307  ...    -0.178150    -0.094563
div_payer             0.027024    0.004261  ...     0.018667     0.035382
state_inc_growth      0.001995    0.000388  ...     0.001234     0.002755
state_id::1.0:fyear   0.103513  480.884581  ...  -943.122918   943.329943
state_id::3.0:fyear   0.107667  550.943204  ... -1080.534574  1080.749909
state_id::4.0:fyear   0.103168  521.179496  ... -1022.159334  1022.365671
state_id::5.0:fyear   0.105272  580.240876  ... -1138.002607  1138.213150
state_id::6.0:fyear   0.103483  562.835947  ... -1103.865666  1104.072632
state_id::7.0:fyear   0.103519  543.053454  ... -1065.063449  1065.270488
state_id::10.0:fyear  0.105978  534.076434  ... -1047.453101  1047.665056
state_id::11.0:fyear  0.104426  551.454635  ... -1081.540958  1081.749809
state_id::12.0:fyear  0.125060  603.109926  ... -1182.839096  1183.089217
state_id::14.0:fyear  0.103501  548.348538  ... -1075.449459  1075.656461
state_id::15.0:fyear  0.104352  459.002638  ...  -900.201951   900.410655
state_id::17.0:fyear  0.109599  581.937129  ... -1141.325378  1141.544576
state_id::18.0:fyear  0.103857  536.936579  ... -1053.065226  1053.272939
state_id::19.0:fyear  0.096105  503.497018  ...  -987.483273   987.675482
state_id::21.0:fyear  0.108692  476.588041  ...  -934.690332   934.907715
state_id::22.0:fyear  0.103489  529.707216  ... -1038.885628  1039.092606
state_id::23.0:fyear  0.104136  497.381832  ...  -975.480670   975.688941
state_id::24.0:fyear  0.105285  528.022171  ... -1035.578717  1035.789286
state_id::25.0:fyear  0.092234  553.859315  ... -1086.269787  1086.454254
state_id::26.0:fyear  0.106539  520.829648  ... -1021.469759  1021.682837
state_id::28.0:fyear  0.160441  477.127682  ...  -935.697057   936.017939
state_id::29.0:fyear  0.084707  566.791680  ... -1111.643375  1111.812790
state_id::30.0:fyear  0.107830  525.610216  ... -1030.845267  1031.060927
state_id::31.0:fyear  0.103518  550.146235  ... -1078.975516  1079.182552
state_id::32.0:fyear  0.034643  592.806860  ... -1162.720663  1162.789949
state_id::33.0:fyear  0.103557  546.605095  ... -1072.029743  1072.236857
state_id::34.0:fyear  0.102737  547.614130  ... -1074.009725  1074.215198
state_id::36.0:fyear  0.103465  573.529543  ... -1124.840534  1125.047465
state_id::38.0:fyear  0.098407  535.467747  ... -1050.189648  1050.386462
state_id::39.0:fyear  0.103517  567.488701  ... -1112.991730  1113.198763
state_id::40.0:fyear  0.111733  463.998512  ...  -909.993679   910.217145
state_id::41.0:fyear  0.102919  499.085804  ...  -978.824126   979.029963
state_id::43.0:fyear  0.103932  554.941150  ... -1088.380041  1088.587906
state_id::44.0:fyear  0.101296  566.463253  ... -1110.982597  1111.185189
state_id::45.0:fyear  0.109856  542.384116  ... -1063.744245  1063.963958
state_id::47.0:fyear  0.103033  478.349215  ...  -938.150427   938.356494
state_id::48.0:fyear  0.101705  506.945333  ...  -994.241336   994.444745
state_id::50.0:fyear  0.101883  513.567056  ... -1007.229274  1007.433040

[43 rows x 6 columns]
