Paper: 0005
KeyVar: ppent_at
Mechanism: NMAR
Proportion: 40pct
Method: RF
Iteration: 21
---
FocalIV: ad_law2
Coef: -0.011900
SE: 0.003447
pval: 0.000571
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.011900    0.003447  ... -0.018661 -0.005138
ln_at_adj             0.003978    0.004124  ... -0.004112  0.012067
ppent_at             -0.003392    0.006457  ... -0.016057  0.009273
div_payer             0.027034    0.004652  ...  0.017910  0.036158
state_inc_growth      0.002070    0.000393  ...  0.001299  0.002841
state_id::1.0:fyear   0.001147    0.001176  ... -0.001159  0.003454
state_id::3.0:fyear   0.004946    0.007463  ... -0.009693  0.019584
state_id::4.0:fyear   0.001110    0.005488  ... -0.009654  0.011875
state_id::5.0:fyear   0.002758    0.001586  ... -0.000353  0.005870
state_id::6.0:fyear   0.000871    0.002918  ... -0.004852  0.006595
state_id::7.0:fyear   0.001214    0.001626  ... -0.001975  0.004402
state_id::10.0:fyear  0.003078    0.002124  ... -0.001088  0.007244
state_id::11.0:fyear  0.000747    0.002040  ... -0.003255  0.004748
state_id::12.0:fyear  0.021937    0.011431  ... -0.000484  0.044358
state_id::14.0:fyear  0.001118    0.001177  ... -0.001190  0.003426
state_id::15.0:fyear  0.001905    0.001820  ... -0.001665  0.005474
state_id::17.0:fyear  0.007708    0.002803  ...  0.002210  0.013206
state_id::18.0:fyear  0.000701    0.004372  ... -0.007875  0.009276
state_id::19.0:fyear -0.005883    0.004048  ... -0.013823  0.002056
state_id::21.0:fyear  0.005492    0.001747  ...  0.002065  0.008919
state_id::22.0:fyear  0.001104    0.001177  ... -0.001204  0.003413
state_id::23.0:fyear  0.002085    0.001817  ... -0.001479  0.005648
state_id::24.0:fyear  0.003729    0.001801  ...  0.000196  0.007262
state_id::25.0:fyear -0.007957    0.008725  ... -0.025071  0.009158
state_id::26.0:fyear  0.004537    0.001469  ...  0.001656  0.007418
state_id::28.0:fyear  0.050606    0.011153  ...  0.028731  0.072482
state_id::29.0:fyear -0.015425    0.003464  ... -0.022220 -0.008630
state_id::30.0:fyear  0.004983    0.002779  ... -0.000468  0.010434
state_id::31.0:fyear  0.001154    0.001176  ... -0.001153  0.003461
state_id::32.0:fyear -0.110489    0.005614  ... -0.121501 -0.099478
state_id::33.0:fyear  0.001183    0.001176  ... -0.001124  0.003490
state_id::34.0:fyear  0.001028    0.002294  ... -0.003472  0.005528
state_id::36.0:fyear  0.001088    0.001176  ... -0.001219  0.003395
state_id::38.0:fyear -0.000931    0.003678  ... -0.008144  0.006283
state_id::39.0:fyear  0.001135    0.001177  ... -0.001174  0.003444
state_id::40.0:fyear  0.010114    0.001662  ...  0.006854  0.013373
state_id::41.0:fyear  0.000958    0.002247  ... -0.003450  0.005366
state_id::43.0:fyear  0.001202    0.003397  ... -0.005460  0.007864
state_id::44.0:fyear -0.001232    0.001709  ... -0.004584  0.002119
state_id::45.0:fyear  0.007637    0.001997  ...  0.003720  0.011554
state_id::47.0:fyear  0.000425    0.002149  ... -0.003791  0.004641
state_id::48.0:fyear -0.000908    0.001394  ... -0.003643  0.001827

[42 rows x 6 columns]
