Paper: 0005
KeyVar: state_inc_growth
Mechanism: NMAR
Proportion: 40pct
Method: Reg
Iteration: 3
---
FocalIV: ad_law2
Coef: -0.011333
SE: 0.003511
pval: 0.001274
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011333     0.003511  ...    -0.018221    -0.004446
ln_at_adj             0.005083     0.004083  ...    -0.002926     0.013091
ppent_at             -0.138789     0.019744  ...    -0.177515    -0.100063
div_payer             0.025982     0.003673  ...     0.018778     0.033186
state_inc_growth      0.000325     0.000242  ...    -0.000150     0.000800
state_id::1.0:fyear   0.094406  1269.487844  ... -2489.930299  2490.119112
state_id::3.0:fyear   0.098343  1246.548424  ... -2444.932059  2445.128744
state_id::4.0:fyear   0.093717  1282.844492  ... -2516.129258  2516.316692
state_id::5.0:fyear   0.095950  1287.182283  ... -2524.635344  2524.827244
state_id::6.0:fyear   0.094191  1269.382896  ... -2489.724666  2489.913047
state_id::7.0:fyear   0.093939  1282.116977  ... -2514.702059  2514.889937
state_id::10.0:fyear  0.096807  1268.085294  ... -2487.176881  2487.370495
state_id::11.0:fyear  0.095125  1249.484214  ... -2450.693653  2450.883904
state_id::12.0:fyear  0.115184  1254.380563  ... -2460.277491  2460.507860
state_id::14.0:fyear  0.094395  1291.683669  ... -2533.466098  2533.654889
state_id::15.0:fyear  0.095091  1254.632488  ... -2460.791719  2460.981901
state_id::17.0:fyear  0.100217  1259.032902  ... -2469.417743  2469.618177
state_id::18.0:fyear  0.094661  1277.125902  ... -2504.911640  2505.100962
state_id::19.0:fyear  0.086984  1255.830864  ... -2463.150370  2463.324338
state_id::21.0:fyear  0.099235  1255.008454  ... -2461.525011  2461.723482
state_id::22.0:fyear  0.094386  1284.331660  ... -2519.045580  2519.234352
state_id::23.0:fyear  0.095109  1286.220564  ... -2522.749829  2522.940048
state_id::24.0:fyear  0.096200  1279.698856  ... -2509.956798  2510.149198
state_id::25.0:fyear  0.084478  1253.874661  ... -2459.315901  2459.484856
state_id::26.0:fyear  0.097519  1297.975751  ... -2545.804518  2545.999555
state_id::28.0:fyear  0.147030  1295.522723  ... -2540.943539  2541.237598
state_id::29.0:fyear  0.072897  1270.793604  ... -2492.512980  2492.658774
state_id::30.0:fyear  0.098319  1283.003562  ... -2516.436662  2516.633301
state_id::31.0:fyear  0.094411  1282.712718  ... -2515.870097  2516.058919
state_id::32.0:fyear  0.023662  1257.370213  ... -2466.233033  2466.280357
state_id::33.0:fyear  0.094450  1284.541888  ... -2519.457865  2519.646765
state_id::34.0:fyear  0.093951  1274.923023  ... -2500.591534  2500.779436
state_id::36.0:fyear  0.094359  1278.550132  ... -2507.705484  2507.894203
state_id::38.0:fyear  0.089170  1273.106236  ... -2497.032797  2497.211136
state_id::39.0:fyear  0.094409  1278.949542  ... -2508.488853  2508.677671
state_id::40.0:fyear  0.102742  1273.878695  ... -2498.534356  2498.739840
state_id::41.0:fyear  0.093888  1277.167256  ... -2504.993526  2505.181303
state_id::43.0:fyear  0.094832  1251.791600  ... -2455.219746  2455.409411
state_id::44.0:fyear  0.092302  1286.504654  ... -2523.309863  2523.494466
state_id::45.0:fyear  0.100922  1278.333296  ... -2507.273611  2507.475454
state_id::47.0:fyear  0.093781  1283.793693  ... -2517.990995  2518.178558
state_id::48.0:fyear  0.092615  1253.825670  ... -2459.211671  2459.396901
state_id::50.0:fyear  0.092777  1268.142775  ... -2487.293657  2487.479211

[43 rows x 6 columns]
