Paper: 0005
KeyVar: ln_at_adj
Mechanism: NMAR
Proportion: 50pct
Method: LD
Iteration: 28
---
FocalIV: ad_law2
Coef: -0.008013
SE: 0.005633
pval: 0.155123
Nobs: 6411
Sign: -1
Significant: False
---
                      Estimate  Std. Error  ...        2.5%       97.5%
Coefficient                                 ...                        
ad_law2              -0.008013    0.005633  ...   -0.019065    0.003038
ln_at_adj             0.008410    0.005534  ...   -0.002447    0.019267
ppent_at             -0.166188    0.024804  ...   -0.214850   -0.117526
div_payer             0.028057    0.005527  ...    0.017214    0.038899
state_inc_growth      0.001786    0.000675  ...    0.000463    0.003110
state_id::1.0:fyear  -0.092703  209.315249  ... -410.731649  410.546242
state_id::3.0:fyear  -0.077765  207.424764  ... -407.007918  406.852388
state_id::4.0:fyear  -0.085200  206.039891  ... -404.298482  404.128082
state_id::5.0:fyear  -0.089898  209.112856  ... -410.331786  410.151989
state_id::6.0:fyear  -0.097391  209.525405  ... -411.148624  410.953842
state_id::7.0:fyear  -0.089276  208.708416  ... -409.537725  409.359173
state_id::10.0:fyear -0.087504  208.501378  ... -409.129780  408.954773
state_id::11.0:fyear -0.090579  207.698904  ... -407.558547  407.377388
state_id::12.0:fyear -0.055963  206.694664  ... -405.553791  405.441865
state_id::14.0:fyear -0.090353  208.540922  ... -409.210209  409.029503
state_id::15.0:fyear -0.089243  208.943961  ... -409.999787  409.821302
state_id::17.0:fyear -0.088771  207.444249  ... -407.057150  406.879608
state_id::18.0:fyear -0.098464  207.876629  ... -407.915095  407.718168
state_id::19.0:fyear -0.102135  209.814214  ... -411.719961  411.515690
state_id::21.0:fyear -0.086591  208.648638  ... -409.417766  409.244585
state_id::22.0:fyear -0.090355  208.679832  ... -409.482727  409.302016
state_id::23.0:fyear -0.091077  208.770664  ... -409.661645  409.479491
state_id::24.0:fyear -0.091945  208.457468  ... -409.048078  408.864188
state_id::25.0:fyear -0.100364  208.197797  ... -408.547070  408.346342
state_id::26.0:fyear -0.088370  207.448680  ... -407.065444  406.888703
state_id::28.0:fyear -0.069363  206.616814  ... -405.414463  405.275738
state_id::29.0:fyear -0.103632  207.878234  ... -407.923412  407.716148
state_id::30.0:fyear -0.083459  208.518640  ... -409.159600  408.992683
state_id::31.0:fyear -0.092691  208.825111  ... -409.770073  409.584692
state_id::32.0:fyear -0.147976  206.583242  ... -405.427215  405.131262
state_id::33.0:fyear -0.092665  207.800185  ... -407.759327  407.573996
state_id::34.0:fyear -0.091569  210.716509  ... -413.479535  413.296397
state_id::36.0:fyear -0.092746  208.199527  ... -408.542846  408.357354
state_id::38.0:fyear -0.101158  206.442428  ... -405.104145  404.901829
state_id::39.0:fyear -0.092722  207.868156  ... -407.892730  407.707287
state_id::40.0:fyear -0.079795  209.010068  ... -410.120031  409.960441
state_id::41.0:fyear -0.090487  207.906260  ... -407.965250  407.784275
state_id::43.0:fyear -0.086377  209.332724  ... -410.759607  410.586852
state_id::44.0:fyear -0.091761  209.391418  ... -410.880136  410.696614
state_id::45.0:fyear -0.082928  206.936340  ... -406.054881  405.889024
state_id::47.0:fyear -0.091669  209.488172  ... -411.069858  410.886521
state_id::48.0:fyear -0.096082  208.984237  ... -410.085641  409.893478
state_id::50.0:fyear -0.093691  208.855957  ... -409.831589  409.644207

[43 rows x 6 columns]
