Paper: 0005
KeyVar: ln_at_adj
Mechanism: NMAR
Proportion: 50pct
Method: Reg
Iteration: 13
---
FocalIV: ad_law2
Coef: -0.010823
SE: 0.003505
pval: 0.002051
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.010823     0.003505  ...    -0.017698    -0.003948
ln_at_adj            -0.000503     0.000566  ...    -0.001613     0.000606
ppent_at             -0.136264     0.022495  ...    -0.180386    -0.092141
div_payer             0.026988     0.004485  ...     0.018192     0.035784
state_inc_growth      0.001996     0.000386  ...     0.001238     0.002753
state_id::1.0:fyear   0.075021  1467.227226  ... -2877.803691  2877.953733
state_id::3.0:fyear   0.079166  1496.522627  ... -2935.260730  2935.419061
state_id::4.0:fyear   0.074644  1491.324232  ... -2925.068908  2925.218196
state_id::5.0:fyear   0.076766  1488.407407  ... -2919.345609  2919.499141
state_id::6.0:fyear   0.075000  1484.614910  ... -2911.908618  2912.058618
state_id::7.0:fyear   0.075026  1501.781953  ... -2945.580722  2945.730774
state_id::10.0:fyear  0.077490  1477.823412  ... -2898.585009  2898.739989
state_id::11.0:fyear  0.075927  1493.337649  ... -2929.016824  2929.168677
state_id::12.0:fyear  0.096517  1455.182269  ... -2854.156731  2854.349764
state_id::14.0:fyear  0.075009  1476.841247  ... -2896.661033  2896.811052
state_id::15.0:fyear  0.075863  1483.464078  ... -2909.650467  2909.802193
state_id::17.0:fyear  0.081133  1484.066767  ... -2910.827335  2910.989600
state_id::18.0:fyear  0.075305  1468.145645  ... -2879.604832  2879.755442
state_id::19.0:fyear  0.067604  1502.903939  ... -2947.788853  2947.924062
state_id::21.0:fyear  0.080186  1499.971744  ... -2942.024945  2942.185318
state_id::22.0:fyear  0.074997  1487.716005  ... -2917.991233  2918.141228
state_id::23.0:fyear  0.075644  1494.044529  ... -2930.403610  2930.554898
state_id::24.0:fyear  0.076823  1497.185384  ... -2936.563029  2936.716676
state_id::25.0:fyear  0.063764  1457.828902  ... -2859.380697  2859.508225
state_id::26.0:fyear  0.078053  1491.545640  ... -2925.499779  2925.655885
state_id::28.0:fyear  0.131910  1468.447367  ... -2880.140037  2880.403857
state_id::29.0:fyear  0.056012  1470.250065  ... -2883.751819  2883.863843
state_id::30.0:fyear  0.079328  1482.202813  ... -2907.173106  2907.331761
state_id::31.0:fyear  0.075026  1484.761552  ... -2912.196221  2912.346274
state_id::32.0:fyear  0.006093  1502.396280  ... -2946.854622  2946.866809
state_id::33.0:fyear  0.075065  1475.311308  ... -2893.660091  2893.810222
state_id::34.0:fyear  0.074253  1498.289769  ... -2938.731786  2938.880293
state_id::36.0:fyear  0.074974  1469.746095  ... -2882.744351  2882.894299
state_id::38.0:fyear  0.070123  1492.246559  ... -2926.882520  2927.022767
state_id::39.0:fyear  0.075025  1477.738841  ... -2898.421593  2898.571643
state_id::40.0:fyear  0.083236  1496.952413  ... -2936.099659  2936.266131
state_id::41.0:fyear  0.074456  1500.828348  ... -2943.710853  2943.859765
state_id::43.0:fyear  0.075481  1486.736469  ... -2916.069449  2916.220410
state_id::44.0:fyear  0.072797  1508.991275  ... -2959.723607  2959.869201
state_id::45.0:fyear  0.081358  1473.427562  ... -2889.958944  2890.121659
state_id::47.0:fyear  0.074528  1500.367267  ... -2942.806398  2942.955454
state_id::48.0:fyear  0.073157  1493.991445  ... -2930.301975  2930.448289
state_id::50.0:fyear  0.073399  1498.637375  ... -2939.414448  2939.561246

[43 rows x 6 columns]
