Paper: 0005
KeyVar: ppent_at
Mechanism: NMAR
Proportion: 50pct
Method: DL
Iteration: 19
---
FocalIV: ad_law2
Coef: -0.011898
SE: 0.003536
pval: 0.000782
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.011898    0.003536  ...    -0.018833    -0.004964
ln_at_adj             0.003993    0.004026  ...    -0.003904     0.011890
ppent_at              0.000780    0.006894  ...    -0.012742     0.014302
div_payer             0.027047    0.004666  ...     0.017894     0.036199
state_inc_growth      0.002067    0.000398  ...     0.001287     0.002848
state_id::1.0:fyear   0.052681  950.487287  ... -1864.269710  1864.375073
state_id::3.0:fyear   0.056499  961.637534  ... -1886.136416  1886.249414
state_id::4.0:fyear   0.052680  933.971877  ... -1831.875750  1831.981111
state_id::5.0:fyear   0.054291  952.571667  ... -1868.356483  1868.465065
state_id::6.0:fyear   0.052421  988.465610  ... -1938.762117  1938.866959
state_id::7.0:fyear   0.052749  960.770273  ... -1884.439086  1884.544585
state_id::10.0:fyear  0.054626  963.179005  ... -1889.161790  1889.271041
state_id::11.0:fyear  0.052286  975.704117  ... -1913.731368  1913.835939
state_id::12.0:fyear  0.073361  953.235629  ... -1869.639735  1869.786457
state_id::14.0:fyear  0.052652  928.319835  ... -1820.789644  1820.894947
state_id::15.0:fyear  0.053436  969.268209  ... -1901.106579  1901.213451
state_id::17.0:fyear  0.059255  950.630802  ... -1864.544631  1864.663142
state_id::18.0:fyear  0.052234  944.926918  ... -1853.363834  1853.468303
state_id::19.0:fyear  0.045617  982.103835  ... -1926.290689  1926.381923
state_id::21.0:fyear  0.057003  922.594849  ... -1809.556085  1809.670091
state_id::22.0:fyear  0.052638  934.411602  ... -1832.738285  1832.843561
state_id::23.0:fyear  0.053614  964.909293  ... -1892.556654  1892.663883
state_id::24.0:fyear  0.055273  931.031349  ... -1826.105493  1826.216039
state_id::25.0:fyear  0.043283  992.473991  ... -1946.633448  1946.720014
state_id::26.0:fyear  0.056080  950.375989  ... -1864.048006  1864.160167
state_id::28.0:fyear  0.101833  935.658411  ... -1835.134629  1835.338295
state_id::29.0:fyear  0.036124  931.509938  ... -1827.063362  1827.135611
state_id::30.0:fyear  0.056527  967.915599  ... -1898.450428  1898.563481
state_id::31.0:fyear  0.052688  943.176203  ... -1849.929461  1850.034837
state_id::32.0:fyear -0.060133  941.475516  ... -1846.706489  1846.586224
state_id::33.0:fyear  0.052716  943.142633  ... -1849.863587  1849.969019
state_id::34.0:fyear  0.052558  948.751012  ... -1860.864237  1860.969352
state_id::36.0:fyear  0.052621  943.214504  ... -1850.004652  1850.109895
state_id::38.0:fyear  0.050649  974.877935  ... -1912.112498  1912.213797
state_id::39.0:fyear  0.052668  938.866629  ... -1841.476516  1841.581852
state_id::40.0:fyear  0.061669  939.590710  ... -1842.887756  1843.011094
state_id::41.0:fyear  0.052491  957.880753  ... -1878.771729  1878.876712
state_id::43.0:fyear  0.052719  958.066106  ... -1879.135060  1879.240498
state_id::44.0:fyear  0.050310  959.916814  ... -1882.767519  1882.868138
state_id::45.0:fyear  0.059164  943.151866  ... -1849.875249  1849.993578
state_id::47.0:fyear  0.051962  947.737898  ... -1858.877672  1858.981597
state_id::48.0:fyear  0.050634  959.036219  ... -1881.039962  1881.141231
state_id::50.0:fyear  0.051537  958.117427  ... -1879.236904  1879.339979

[43 rows x 6 columns]
