Paper: 0005
KeyVar: ppent_at
Mechanism: NMAR
Proportion: 50pct
Method: RF
Iteration: 4
---
FocalIV: ad_law2
Coef: -0.011890
SE: 0.003439
pval: 0.000560
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011890     0.003439  ...    -0.018635    -0.005145
ln_at_adj             0.004004     0.004295  ...    -0.004421     0.012430
ppent_at              0.004064     0.006042  ...    -0.007787     0.015915
div_payer             0.027075     0.004372  ...     0.018500     0.035650
state_inc_growth      0.002068     0.000394  ...     0.001295     0.002842
state_id::1.0:fyear   0.039070  2364.697306  ... -4638.169348  4638.247488
state_id::3.0:fyear   0.042870  2319.287696  ... -4549.097389  4549.183129
state_id::4.0:fyear   0.039080  2340.151196  ... -4590.023651  4590.101812
state_id::5.0:fyear   0.040674  2337.682004  ... -4585.178890  4585.260238
state_id::6.0:fyear   0.038807  2347.282562  ... -4604.011661  4604.089274
state_id::7.0:fyear   0.039135  2303.908095  ... -4518.934983  4519.013252
state_id::10.0:fyear  0.041019  2382.318098  ... -4672.729499  4672.811537
state_id::11.0:fyear  0.038677  2337.714194  ... -4585.244025  4585.321379
state_id::12.0:fyear  0.059927  2379.455243  ... -4667.095277  4667.215132
state_id::14.0:fyear  0.039040  2351.624113  ... -4612.527114  4612.605193
state_id::15.0:fyear  0.039810  2323.420945  ... -4557.207563  4557.287183
state_id::17.0:fyear  0.045643  2383.559009  ... -4675.158846  4675.250131
state_id::18.0:fyear  0.038630  2357.570450  ... -4624.190899  4624.268158
state_id::19.0:fyear  0.031993  2341.745090  ... -4593.157064  4593.221051
state_id::21.0:fyear  0.043367  2331.802036  ... -4573.643001  4573.729734
state_id::22.0:fyear  0.039025  2377.117123  ... -4662.530100  4662.608151
state_id::23.0:fyear  0.040002  2365.673070  ... -4640.082317  4640.162322
state_id::24.0:fyear  0.041673  2371.864035  ... -4652.223843  4652.307189
state_id::25.0:fyear  0.029760  2346.698522  ... -4602.875149  4602.934670
state_id::26.0:fyear  0.042470  2333.729241  ... -4577.423992  4577.508932
state_id::28.0:fyear  0.088474  2327.965135  ... -4566.072049  4566.248997
state_id::29.0:fyear  0.022560  2337.011122  ... -4583.881109  4583.926230
state_id::30.0:fyear  0.042912  2326.104954  ... -4562.468979  4562.554803
state_id::31.0:fyear  0.039076  2390.666599  ... -4689.106515  4689.184667
state_id::32.0:fyear -0.074103  2376.416654  ... -4661.269302  4661.121096
state_id::33.0:fyear  0.039104  2375.838549  ... -4660.022178  4660.100387
state_id::34.0:fyear  0.038946  2414.839413  ... -4736.520133  4736.598025
state_id::36.0:fyear  0.039009  2341.668639  ... -4593.000094  4593.078113
state_id::38.0:fyear  0.037032  2388.358067  ... -4684.580514  4684.654578
state_id::39.0:fyear  0.039056  2334.300133  ... -4578.547175  4578.625288
state_id::40.0:fyear  0.048069  2392.677619  ... -4693.042013  4693.138151
state_id::41.0:fyear  0.038881  2326.256331  ... -4562.769927  4562.847690
state_id::43.0:fyear  0.039104  2289.156383  ... -4490.000437  4490.078644
state_id::44.0:fyear  0.036703  2362.783238  ... -4634.417388  4634.490795
state_id::45.0:fyear  0.045528  2356.383378  ... -4621.855631  4621.946688
state_id::47.0:fyear  0.038369  2333.019671  ... -4576.036315  4576.113054
state_id::48.0:fyear  0.037026  2324.044792  ... -4558.433986  4558.508037
state_id::50.0:fyear  0.037932  2342.125887  ... -4593.898035  4593.973898

[43 rows x 6 columns]
