Paper: 0005
KeyVar: state_inc_growth
Mechanism: NMAR
Proportion: 50pct
Method: RF
Iteration: 16
---
FocalIV: ad_law2
Coef: -0.011810
SE: 0.003645
pval: 0.001220
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011810     0.003645  ...    -0.018961    -0.004660
ln_at_adj             0.005142     0.004408  ...    -0.003504     0.013788
ppent_at             -0.138493     0.019924  ...    -0.177572    -0.099414
div_payer             0.025983     0.004450  ...     0.017254     0.034711
state_inc_growth      0.000659     0.000249  ...     0.000171     0.001146
state_id::1.0:fyear   0.101937  1507.232567  ... -2956.244867  2956.448742
state_id::3.0:fyear   0.105895  1526.230950  ... -2993.505103  2993.716894
state_id::4.0:fyear   0.101184  1493.374289  ... -2929.063434  2929.265802
state_id::5.0:fyear   0.103467  1511.128753  ... -2963.885473  2964.092408
state_id::6.0:fyear   0.101678  1518.809682  ... -2978.952947  2979.156303
state_id::7.0:fyear   0.101484  1500.375822  ... -2942.796223  2942.999192
state_id::10.0:fyear  0.104279  1506.564981  ... -2954.933095  2955.141652
state_id::11.0:fyear  0.102660  1510.772828  ... -2963.188153  2963.393473
state_id::12.0:fyear  0.122555  1519.795588  ... -2980.865867  2981.110976
state_id::14.0:fyear  0.101927  1486.482547  ... -2915.544949  2915.748803
state_id::15.0:fyear  0.102642  1517.516818  ... -2976.416107  2976.621391
state_id::17.0:fyear  0.107724  1501.854886  ... -2945.691079  2945.906527
state_id::18.0:fyear  0.102285  1519.342871  ... -2979.998157  2980.202727
state_id::19.0:fyear  0.094533  1497.437204  ... -2937.039250  2937.228316
state_id::21.0:fyear  0.106874  1503.492161  ... -2948.903345  2949.117094
state_id::22.0:fyear  0.101918  1490.291602  ... -2923.016193  2923.220029
state_id::23.0:fyear  0.102704  1509.244866  ... -2960.191104  2960.396512
state_id::24.0:fyear  0.103797  1517.917485  ... -2977.200837  2977.408430
state_id::25.0:fyear  0.091839  1478.486104  ... -2899.870491  2900.054170
state_id::26.0:fyear  0.105095  1520.246794  ... -2981.768338  2981.978528
state_id::28.0:fyear  0.154274  1475.387119  ... -2893.729583  2894.038131
state_id::29.0:fyear  0.080340  1507.618151  ... -2957.022764  2957.183444
state_id::30.0:fyear  0.105872  1510.432567  ... -2962.517541  2962.729284
state_id::31.0:fyear  0.101942  1495.445548  ... -2933.125328  2933.329212
state_id::32.0:fyear  0.030512  1479.595788  ... -2902.108397  2902.169421
state_id::33.0:fyear  0.101982  1519.907816  ... -2981.106566  2981.310530
state_id::34.0:fyear  0.101584  1516.110928  ... -2973.659595  2973.862762
state_id::36.0:fyear  0.101891  1500.852796  ... -2943.731371  2943.935153
state_id::38.0:fyear  0.096372  1456.601032  ... -2856.939695  2857.132438
state_id::39.0:fyear  0.101941  1493.982492  ... -2930.255631  2930.459513
state_id::40.0:fyear  0.110237  1524.763386  ... -2990.622222  2990.842696
state_id::41.0:fyear  0.101395  1511.994459  ... -2965.585576  2965.788367
state_id::43.0:fyear  0.102351  1511.726382  ... -2965.058802  2965.263505
state_id::44.0:fyear  0.099860  1495.891499  ... -2934.002115  2934.201835
state_id::45.0:fyear  0.108455  1500.198817  ... -2942.442068  2942.658978
state_id::47.0:fyear  0.101359  1491.443286  ... -2925.275712  2925.478430
state_id::48.0:fyear  0.100121  1499.875053  ... -2941.815357  2942.015600
state_id::50.0:fyear  0.100353  1483.272317  ... -2909.249849  2909.450556

[43 rows x 6 columns]
