Paper: 0005
KeyVar: ln_at_adj
Mechanism: NMAR
Proportion: 5pct
Method: Reg
Iteration: 11
---
FocalIV: ad_law2
Coef: -0.010839
SE: 0.003374
pval: 0.001340
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...        2.5%       97.5%
Coefficient                                 ...                        
ad_law2              -0.010839    0.003374  ...   -0.017456   -0.004222
ln_at_adj             0.000657    0.001118  ...   -0.001536    0.002850
ppent_at             -0.136871    0.018886  ...   -0.173914   -0.099827
div_payer             0.026587    0.004936  ...    0.016906    0.036268
state_inc_growth      0.001996    0.000389  ...    0.001234    0.002759
state_id::1.0:fyear   0.078271  359.094913  ... -704.264988  704.421531
state_id::3.0:fyear   0.082424  370.196342  ... -726.035626  726.200475
state_id::4.0:fyear   0.077843  406.601510  ... -797.446773  797.602460
state_id::5.0:fyear   0.079984  381.734363  ... -748.669207  748.829175
state_id::6.0:fyear   0.078240  407.848515  ... -799.892301  800.048782
state_id::7.0:fyear   0.078270  350.667887  ... -687.735879  687.892420
state_id::10.0:fyear  0.080712  339.032415  ... -664.911154  665.072578
state_id::11.0:fyear  0.079152  346.297175  ... -679.162108  679.320412
state_id::12.0:fyear  0.099991  331.060240  ... -649.254929  649.454912
state_id::14.0:fyear  0.078260  475.360842  ... -932.313686  932.470206
state_id::15.0:fyear  0.079106  444.232197  ... -871.255859  871.414071
state_id::17.0:fyear  0.084332  407.041400  ... -798.303103  798.471767
state_id::18.0:fyear  0.078592  376.121738  ... -737.661770  737.818954
state_id::19.0:fyear  0.070876  413.419236  ... -810.826303  810.968055
state_id::21.0:fyear  0.083393  371.510296  ... -728.611899  728.778686
state_id::22.0:fyear  0.078248  397.768815  ... -780.121563  780.278059
state_id::23.0:fyear  0.078889  357.365638  ... -700.872500  701.030278
state_id::24.0:fyear  0.080044  421.947267  ... -827.544359  827.704446
state_id::25.0:fyear  0.067055  373.205106  ... -731.952506  732.086616
state_id::26.0:fyear  0.081327  372.516423  ... -730.587423  730.750077
state_id::28.0:fyear  0.134842  455.345152  ... -892.997522  893.267206
state_id::29.0:fyear  0.059410  330.756001  ... -648.698763  648.817583
state_id::30.0:fyear  0.082515  417.942910  ... -819.687581  819.852610
state_id::31.0:fyear  0.078277  364.518783  ... -714.903580  715.060133
state_id::32.0:fyear  0.009150  404.888083  ... -794.154682  794.172981
state_id::33.0:fyear  0.078316  387.079816  ... -759.155661  759.312293
state_id::34.0:fyear  0.077522  385.512238  ... -756.081744  756.236789
state_id::36.0:fyear  0.078224  331.969948  ... -651.061032  651.217481
state_id::38.0:fyear  0.073208  454.891323  ... -892.168997  892.315414
state_id::39.0:fyear  0.078275  402.917543  ... -790.220460  790.377011
state_id::40.0:fyear  0.086525  419.058236  ... -821.871218  822.044267
state_id::41.0:fyear  0.077685  361.314732  ... -708.619616  708.774987
state_id::43.0:fyear  0.078706  341.728326  ... -670.201029  670.358441
state_id::44.0:fyear  0.076043  412.386213  ... -808.794923  808.947010
state_id::45.0:fyear  0.084677  387.845861  ... -760.651852  760.821206
state_id::47.0:fyear  0.077736  418.609113  ... -820.999078  821.154550
state_id::48.0:fyear  0.076419  299.967351  ... -588.291652  588.444490
state_id::50.0:fyear  0.076647  436.871683  ... -856.821108  856.974402

[43 rows x 6 columns]
