Paper: 0005
KeyVar: ln_at_adj
Mechanism: MAR
Proportion: 10pct
Method: LD
Iteration: 7
---
FocalIV: ad_law2
Coef: -0.011714
SE: 0.003657
pval: 0.001385
Nobs: 11881
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011714     0.003657  ...    -0.018886    -0.004541
ln_at_adj             0.006243     0.004171  ...    -0.001938     0.014425
ppent_at             -0.131925     0.020915  ...    -0.172949    -0.090901
div_payer             0.025829     0.004763  ...     0.016487     0.035172
state_inc_growth      0.002114     0.000408  ...     0.001313     0.002914
state_id::1.0:fyear   0.031418  1138.945711  ... -2233.986709  2234.049546
state_id::3.0:fyear   0.036286  1135.227440  ... -2226.688530  2226.761102
state_id::4.0:fyear   0.031091  1138.437761  ... -2232.990703  2233.052884
state_id::5.0:fyear   0.032821  1132.872055  ... -2222.071956  2222.137598
state_id::6.0:fyear   0.030985  1137.159737  ... -2230.483992  2230.545962
state_id::7.0:fyear   0.031391  1125.476552  ... -2207.567263  2207.630045
state_id::10.0:fyear  0.033585  1130.715673  ... -2217.841494  2217.908663
state_id::11.0:fyear  0.032515  1140.224045  ... -2236.493037  2236.558067
state_id::12.0:fyear  0.058289  1137.033892  ... -2230.209844  2230.326422
state_id::14.0:fyear  0.031413  1138.759610  ... -2233.621680  2233.684506
state_id::15.0:fyear  0.032374  1131.638237  ... -2219.652295  2219.717043
state_id::17.0:fyear  0.037515  1128.607295  ... -2213.702025  2213.777055
state_id::18.0:fyear  0.031153  1127.711606  ... -2211.951512  2212.013819
state_id::19.0:fyear  0.024163  1130.379392  ... -2217.191308  2217.239634
state_id::21.0:fyear  0.036705  1136.041178  ... -2228.284241  2228.357651
state_id::22.0:fyear  0.031406  1135.392180  ... -2227.016544  2227.079355
state_id::23.0:fyear  0.032659  1135.331657  ... -2226.896576  2226.961893
state_id::24.0:fyear  0.032297  1124.120922  ... -2204.907317  2204.971911
state_id::25.0:fyear  0.029328  1145.919797  ... -2247.668321  2247.726977
state_id::26.0:fyear  0.034680  1131.588012  ... -2219.551474  2219.620834
state_id::28.0:fyear  0.098191  1146.818813  ... -2249.362860  2249.559242
state_id::29.0:fyear  0.013161  1140.210557  ... -2236.485934  2236.512255
state_id::30.0:fyear  0.036220  1142.704960  ... -2241.355596  2241.428035
state_id::31.0:fyear  0.031426  1139.421987  ... -2234.920906  2234.983758
state_id::33.0:fyear  0.031465  1131.800209  ... -2219.970909  2220.033839
state_id::34.0:fyear  0.031538  1124.590846  ... -2205.829821  2205.892897
state_id::36.0:fyear  0.031362  1131.385779  ... -2219.158117  2219.220841
state_id::38.0:fyear  0.025102  1145.040616  ... -2245.948053  2245.998256
state_id::39.0:fyear  0.031422  1141.788902  ... -2239.563564  2239.626408
state_id::40.0:fyear  0.039707  1131.047292  ... -2218.485837  2218.565250
state_id::41.0:fyear  0.031067  1131.714387  ... -2219.802969  2219.865103
state_id::43.0:fyear  0.031370  1131.887477  ... -2220.142178  2220.204919
state_id::44.0:fyear  0.029240  1140.680151  ... -2237.390955  2237.449435
state_id::45.0:fyear  0.038446  1151.044043  ... -2257.710306  2257.787198
state_id::47.0:fyear  0.030146  1127.830630  ... -2212.185982  2212.246274
state_id::48.0:fyear  0.029448  1130.585112  ... -2217.589539  2217.648435
state_id::50.0:fyear  0.030008  1127.956505  ... -2212.433022  2212.493037

[42 rows x 6 columns]
