Paper: 0005
KeyVar: ppent_at
Mechanism: MAR
Proportion: 10pct
Method: LD
Iteration: 29
---
FocalIV: ad_law2
Coef: -0.010256
SE: 0.003322
pval: 0.002054
Nobs: 11871
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...        2.5%       97.5%
Coefficient                                 ...                        
ad_law2              -0.010256    0.003322  ...   -0.016772   -0.003740
ln_at_adj             0.008084    0.004275  ...   -0.000301    0.016468
ppent_at             -0.139356    0.020548  ...   -0.179660   -0.099052
div_payer             0.026530    0.004703  ...    0.017306    0.035755
state_inc_growth      0.002247    0.000417  ...    0.001428    0.003065
state_id::1.0:fyear   0.025483  208.911514  ... -409.750274  409.801239
state_id::3.0:fyear   0.029688  200.759715  ... -393.756478  393.815854
state_id::4.0:fyear   0.024800  206.807262  ... -405.623507  405.673108
state_id::5.0:fyear   0.027200  207.574100  ... -407.125245  407.179644
state_id::6.0:fyear   0.025591  217.942289  ... -427.463849  427.515031
state_id::7.0:fyear   0.025622  208.831247  ... -409.592691  409.643935
state_id::10.0:fyear  0.028362  190.260667  ... -373.164130  373.220854
state_id::11.0:fyear  0.027162  214.787298  ... -421.273828  421.328151
state_id::12.0:fyear  0.047505  208.874399  ... -409.655451  409.750461
state_id::14.0:fyear  0.025454  203.355812  ... -398.852903  398.903811
state_id::15.0:fyear  0.026135  203.004465  ... -398.163062  398.215332
state_id::17.0:fyear  0.027659  226.880789  ... -444.994471  445.049788
state_id::18.0:fyear  0.026799  202.598608  ... -397.366319  397.419917
state_id::19.0:fyear  0.018523  207.357822  ... -406.709696  406.746742
state_id::21.0:fyear  0.030640  213.020501  ... -417.804812  417.866092
state_id::22.0:fyear  0.025444  217.597790  ... -426.788268  426.839156
state_id::23.0:fyear  0.026170  194.128132  ... -380.752278  380.804617
state_id::24.0:fyear  0.027562  206.374088  ... -404.771084  404.826207
state_id::25.0:fyear  0.009741  190.467174  ... -373.587811  373.607293
state_id::26.0:fyear  0.029067  230.815167  ... -452.710267  452.768401
state_id::28.0:fyear  0.096950  189.226893  ... -371.067816  371.261715
state_id::29.0:fyear  0.006284  209.489658  ... -410.903489  410.916057
state_id::30.0:fyear  0.027725  210.486213  ... -412.836771  412.892220
state_id::31.0:fyear  0.025485  214.974095  ... -421.641902  421.692873
state_id::32.0:fyear -0.041888  202.626057  ... -397.488845  397.405069
state_id::33.0:fyear  0.025510  211.185903  ... -414.211415  414.262435
state_id::34.0:fyear  0.024977  207.769145  ... -407.510045  407.559998
state_id::36.0:fyear  0.025417  219.267636  ... -430.063664  430.114498
state_id::38.0:fyear  0.032623  174.790568  ... -342.815580  342.880826
state_id::39.0:fyear  0.025464  207.256541  ... -406.504096  406.555024
state_id::40.0:fyear  0.034221  222.671623  ... -436.731714  436.800156
state_id::41.0:fyear  0.024771  211.613069  ... -415.050031  415.099573
state_id::43.0:fyear  0.025333  216.522060  ... -424.678356  424.729021
state_id::44.0:fyear  0.023241  202.819654  ... -397.803454  397.849935
state_id::45.0:fyear  0.032231  208.582390  ... -409.097955  409.162417
state_id::47.0:fyear  0.024267  204.754343  ... -401.597280  401.645815
state_id::48.0:fyear  0.023674  205.037484  ... -402.153249  402.200598
state_id::50.0:fyear  0.024201  221.655210  ... -434.748060  434.796462

[43 rows x 6 columns]
