Paper: 0005
KeyVar: ppent_at
Mechanism: MAR
Proportion: 10pct
Method: Mean
Iteration: 8
---
FocalIV: ad_law2
Coef: -0.011674
SE: 0.003051
pval: 0.000135
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011674     0.003051  ...    -0.017659    -0.005690
ln_at_adj             0.004669     0.004485  ...    -0.004127     0.013465
ppent_at             -0.066808     0.009105  ...    -0.084667    -0.048949
div_payer             0.026576     0.003306  ...     0.020091     0.033061
state_inc_growth      0.002056     0.000389  ...     0.001293     0.002819
state_id::1.0:fyear   0.046816  1046.028184  ... -2051.673172  2051.766803
state_id::3.0:fyear   0.050774  1031.815559  ... -2023.792024  2023.893571
state_id::4.0:fyear   0.046170  1051.981489  ... -2063.350861  2063.443201
state_id::5.0:fyear   0.048457  1035.676916  ... -2031.368155  2031.465069
state_id::6.0:fyear   0.046392  1038.832155  ... -2037.559028  2037.651812
state_id::7.0:fyear   0.046823  1052.333534  ... -2064.040721  2064.134368
state_id::10.0:fyear  0.048978  1046.131823  ... -2051.874291  2051.972247
state_id::11.0:fyear  0.046954  1057.778718  ... -2074.720984  2074.814893
state_id::12.0:fyear  0.064097  1019.422077  ... -1999.469648  1999.597843
state_id::14.0:fyear  0.046794  1062.170153  ... -2083.334675  2083.428263
state_id::15.0:fyear  0.047612  1046.192073  ... -2051.993834  2052.089058
state_id::17.0:fyear  0.052733  1046.618513  ... -2052.825149  2052.930616
state_id::18.0:fyear  0.046538  1037.803489  ... -2035.541217  2035.634294
state_id::19.0:fyear  0.039452  1045.952291  ... -2051.531676  2051.610581
state_id::21.0:fyear  0.051459  1023.736017  ... -2007.943815  2008.046732
state_id::22.0:fyear  0.046782  1062.171092  ... -2083.336527  2083.430091
state_id::23.0:fyear  0.047602  1057.608571  ... -2074.386602  2074.481807
state_id::24.0:fyear  0.049139  1032.785059  ... -2025.695274  2025.793552
state_id::25.0:fyear  0.036735  1012.592169  ... -1986.100565  1986.174034
state_id::26.0:fyear  0.050038  1049.693884  ... -2058.859995  2058.960072
state_id::28.0:fyear  0.099003   980.244390  ... -1922.590116  1922.788123
state_id::29.0:fyear  0.029028  1034.293830  ... -2028.674747  2028.732803
state_id::30.0:fyear  0.050746  1038.026414  ... -2035.974262  2036.075755
state_id::31.0:fyear  0.046822  1066.248601  ... -2091.334272  2091.427915
state_id::32.0:fyear -0.044625  1027.715763  ... -2015.845925  2015.756675
state_id::33.0:fyear  0.046856  1046.799476  ... -2053.185973  2053.279685
state_id::34.0:fyear  0.046542  1040.584355  ... -2040.995709  2041.088793
state_id::36.0:fyear  0.046762  1064.058887  ... -2087.039342  2087.132866
state_id::38.0:fyear  0.043231  1028.287543  ... -2016.879580  2016.966041
state_id::39.0:fyear  0.046811  1055.112441  ... -2069.491389  2069.585011
state_id::40.0:fyear  0.055466  1047.104284  ... -2053.775226  2053.886158
state_id::41.0:fyear  0.046475  1069.742079  ... -2098.186861  2098.279812
state_id::43.0:fyear  0.047134  1042.081578  ... -2043.931828  2044.026097
state_id::44.0:fyear  0.044466  1083.319685  ... -2124.820509  2124.909441
state_id::45.0:fyear  0.053311  1023.704799  ... -2007.880729  2007.987352
state_id::47.0:fyear  0.045942  1055.571681  ... -2070.393030  2070.484914
state_id::48.0:fyear  0.044878  1056.135032  ... -2071.499071  2071.588827
state_id::50.0:fyear  0.045545  1037.815369  ... -2035.565511  2035.656601

[43 rows x 6 columns]
