Paper: 0005
KeyVar: ln_at_adj
Mechanism: MAR
Proportion: 1pct
Method: DL
Iteration: 20
---
FocalIV: ad_law2
Coef: -0.010927
SE: 0.003374
pval: 0.001226
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.010927     0.003374  ...    -0.017545    -0.004309
ln_at_adj             0.003045     0.002843  ...    -0.002531     0.008621
ppent_at             -0.137666     0.020525  ...    -0.177924    -0.097409
div_payer             0.026185     0.004405  ...     0.017546     0.034825
state_inc_growth      0.002006     0.000386  ...     0.001249     0.002762
state_id::1.0:fyear   0.083615  2237.525551  ... -4388.689331  4388.856560
state_id::3.0:fyear   0.087742  2235.048502  ... -4383.826618  4384.002101
state_id::4.0:fyear   0.083086  2235.434223  ... -4384.587843  4384.754015
state_id::5.0:fyear   0.085213  2255.971155  ... -4424.867683  4425.038110
state_id::6.0:fyear   0.083566  2242.628615  ... -4398.698733  4398.865866
state_id::7.0:fyear   0.083585  2260.042852  ... -4432.855703  4433.022873
state_id::10.0:fyear  0.085964  2236.185004  ... -4386.057577  4386.229506
state_id::11.0:fyear  0.084430  2222.808140  ... -4359.821190  4359.990049
state_id::12.0:fyear  0.105240  2272.761530  ... -4457.780977  4457.991457
state_id::14.0:fyear  0.083604  2249.354278  ... -4411.890683  4412.057891
state_id::15.0:fyear  0.084425  2235.134552  ... -4383.998717  4384.167567
state_id::17.0:fyear  0.089616  2260.623367  ... -4433.988318  4434.167549
state_id::18.0:fyear  0.083949  2236.972611  ... -4387.604435  4387.772334
state_id::19.0:fyear  0.076118  2250.348947  ... -4413.849154  4414.001389
state_id::21.0:fyear  0.088648  2228.253569  ... -4370.497856  4370.675153
state_id::22.0:fyear  0.083593  2248.846917  ... -4410.895536  4411.062722
state_id::23.0:fyear  0.084258  2229.678654  ... -4373.297465  4373.465982
state_id::24.0:fyear  0.085354  2234.387116  ... -4382.531738  4382.702445
state_id::25.0:fyear  0.072603  2222.212095  ... -4358.663910  4358.809115
state_id::26.0:fyear  0.086691  2243.081044  ... -4399.583022  4399.756404
state_id::28.0:fyear  0.139587  2239.967961  ... -4393.423998  4393.703173
state_id::29.0:fyear  0.064891  2229.906767  ... -4373.764263  4373.894045
state_id::30.0:fyear  0.087748  2251.441001  ... -4415.979521  4416.155017
state_id::31.0:fyear  0.083620  2221.685863  ... -4357.620720  4357.787960
state_id::32.0:fyear  0.014493  2254.108387  ... -4421.284696  4421.313682
state_id::33.0:fyear  0.083660  2229.884181  ... -4373.701193  4373.868512
state_id::34.0:fyear  0.082943  2217.596445  ... -4349.600248  4349.766135
state_id::36.0:fyear  0.083567  2239.553340  ... -4392.666764  4392.833898
state_id::38.0:fyear  0.078452  2229.078608  ... -4372.126317  4372.283222
state_id::39.0:fyear  0.083618  2261.044215  ... -4434.819783  4434.987020
state_id::40.0:fyear  0.091876  2233.452118  ... -4380.691271  4380.875024
state_id::41.0:fyear  0.082998  2234.535972  ... -4382.826066  4382.992062
state_id::43.0:fyear  0.083983  2257.344468  ... -4427.562586  4427.730551
state_id::44.0:fyear  0.081330  2248.001987  ... -4409.240518  4409.403178
state_id::45.0:fyear  0.090062  2237.005941  ... -4387.663697  4387.843822
state_id::47.0:fyear  0.082973  2229.201764  ... -4372.363359  4372.529306
state_id::48.0:fyear  0.081738  2223.508316  ... -4361.197236  4361.360712
state_id::50.0:fyear  0.082011  2230.659167  ... -4375.222932  4375.386953

[43 rows x 6 columns]
