Paper: 0005
KeyVar: ln_at_adj
Mechanism: MAR
Proportion: 1pct
Method: Iter
Iteration: 11
---
FocalIV: ad_law2
Coef: -0.011110
SE: nan
pval: nan
Nobs: 13633
Sign: -1
Significant: False
---
                      Estimate   Std. Error  ...          2.5%         97.5%
Coefficient                                  ...                            
ad_law2              -0.011110          NaN  ...           NaN           NaN
ln_at_adj             0.003011          NaN  ...           NaN           NaN
ppent_at             -0.119771     0.025844  ...     -0.170462     -0.069081
div_payer             0.030756          NaN  ...           NaN           NaN
state_inc_growth      0.002040     0.000382  ...      0.001291      0.002789
state_id::1.0:fyear   0.291530  7115.516986  ... -13956.096934  13956.679994
state_id::3.0:fyear   0.295540  7503.411932  ... -14716.910804  14717.501883
state_id::4.0:fyear   0.290790  6611.592111  ... -12967.698472  12968.280051
state_id::5.0:fyear   0.293474  6882.499893  ... -13499.054822  13499.641771
state_id::6.0:fyear   0.292132  7393.659755  ... -14501.646086  14502.230349
state_id::7.0:fyear   0.291640  7165.800437  ... -14054.722880  14055.306161
state_id::10.0:fyear  0.294476  6893.456879  ... -13520.544875  13521.133828
state_id::11.0:fyear  0.292102  7294.507328  ... -14307.168357  14307.752562
state_id::12.0:fyear  0.313509  7388.616763  ... -14491.733374  14492.360391
state_id::14.0:fyear  0.291518  6768.905589  ... -13276.252696  13276.835733
state_id::15.0:fyear  0.292064  6377.121415  ... -12507.805932  12508.390059
state_id::17.0:fyear  0.297534  7727.773236  ... -15156.971495  15157.566563
state_id::18.0:fyear  0.291657  6929.958828  ... -13592.142685  13592.725998
state_id::19.0:fyear  0.283890  6769.506412  ... -13277.438781  13278.006561
state_id::21.0:fyear  0.296582  7339.336157  ... -14395.091226  14395.684391
state_id::22.0:fyear  0.291507  6980.129872  ... -13690.548416  13691.131430
state_id::23.0:fyear  0.292321  7927.347535  ... -15548.422115  15549.006758
state_id::24.0:fyear  0.293564  7653.865535  ... -15012.012762  15012.599890
state_id::25.0:fyear  0.281595  8199.392530  ... -16082.022409  16082.585599
state_id::26.0:fyear  0.294734  7028.700768  ... -13785.812237  13786.401704
state_id::28.0:fyear  0.347024  7605.322843  ... -14916.747574  14917.441622
state_id::29.0:fyear  0.272831  6736.413547  ... -13212.541431  13213.087093
state_id::30.0:fyear  0.295442  6987.222535  ... -13704.456042  13705.046927
state_id::31.0:fyear  0.291536  5704.589301  ... -11188.700700  11189.283772
state_id::32.0:fyear  0.222038  7865.899744  ... -15427.968585  15428.412662
state_id::33.0:fyear  0.291574  7112.894422  ... -13950.952988  13951.536136
state_id::34.0:fyear  0.290821  6779.814727  ... -13297.650597  13298.232239
state_id::36.0:fyear  0.291517  6045.728854  ... -11857.812483  11858.395517
state_id::38.0:fyear  0.316691  6992.385516  ... -13714.561475  13715.194856
state_id::39.0:fyear  0.291539  6467.399977  ... -12684.878999  12685.462077
state_id::40.0:fyear  0.299736  6916.702143  ... -13566.132920  13566.732393
state_id::41.0:fyear  0.290965  7302.438365  ... -14322.725445  14323.307376
state_id::43.0:fyear  0.291496  7675.105992  ... -15053.675902  15054.258893
state_id::44.0:fyear  0.289024  6633.545150  ... -13010.758969  13011.337017
state_id::45.0:fyear  0.297705  7284.258751  ... -14287.061176  14287.656587
state_id::47.0:fyear  0.290740  7273.892678  ... -14266.736106  14267.317585
state_id::48.0:fyear  0.290408  6754.496499  ... -13247.991789  13248.572606
state_id::50.0:fyear  0.289556  4582.590844  ...  -8988.012786   8988.591898

[43 rows x 6 columns]
