Paper: 0005
KeyVar: ppent_at
Mechanism: MAR
Proportion: 20pct
Method: Reg
Iteration: 22
---
FocalIV: ad_law2
Coef: -0.011861
SE: 0.003695
pval: 0.001354
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.011861    0.003695  ...    -0.019109    -0.004613
ln_at_adj             0.004575    0.004252  ...    -0.003765     0.012915
ppent_at             -0.024199    0.006108  ...    -0.036179    -0.012219
div_payer             0.026785    0.004589  ...     0.017785     0.035785
state_inc_growth      0.002041    0.000397  ...     0.001262     0.002820
state_id::1.0:fyear   0.038769  638.545030  ... -1252.428060  1252.505597
state_id::3.0:fyear   0.042519  623.043601  ... -1222.019208  1222.104246
state_id::4.0:fyear   0.038640  668.641315  ... -1311.460201  1311.537480
state_id::5.0:fyear   0.040373  622.015898  ... -1220.005579  1220.086325
state_id::6.0:fyear   0.038339  605.838428  ... -1188.276500  1188.353179
state_id::7.0:fyear   0.038805  643.099128  ... -1261.360607  1261.438217
state_id::10.0:fyear  0.040733  633.295709  ... -1242.129876  1242.211341
state_id::11.0:fyear  0.038545  618.252738  ... -1212.626200  1212.703290
state_id::12.0:fyear  0.058836  560.522068  ... -1099.370748  1099.488419
state_id::14.0:fyear  0.038740  646.385664  ... -1267.807010  1267.884490
state_id::15.0:fyear  0.039581  622.081353  ... -1220.134757  1220.213919
state_id::17.0:fyear  0.045202  631.144626  ... -1237.906189  1237.996592
state_id::18.0:fyear  0.038305  623.513989  ... -1222.946059  1223.022669
state_id::19.0:fyear  0.031668  589.205029  ... -1155.657781  1155.721117
state_id::21.0:fyear  0.043076  613.203511  ... -1202.717919  1202.804072
state_id::22.0:fyear  0.038726  647.689147  ... -1270.363725  1270.441178
state_id::23.0:fyear  0.039635  659.109432  ... -1292.763005  1292.842274
state_id::24.0:fyear  0.041235  635.026835  ... -1245.524870  1245.607341
state_id::25.0:fyear  0.029010  627.664351  ... -1231.096034  1231.154054
state_id::26.0:fyear  0.042145  605.615198  ... -1187.834842  1187.919132
state_id::28.0:fyear  0.089640  611.119363  ... -1198.583428  1198.762708
state_id::29.0:fyear  0.021744  595.222935  ... -1167.471457  1167.514945
state_id::30.0:fyear  0.042547  661.347494  ... -1297.149911  1297.235006
state_id::31.0:fyear  0.038775  659.364799  ... -1293.264750  1293.342300
state_id::32.0:fyear -0.066397  611.413066  ... -1199.315546  1199.182752
state_id::33.0:fyear  0.038804  625.762845  ... -1227.356554  1227.434163
state_id::34.0:fyear  0.038572  573.479944  ... -1124.807088  1124.884232
state_id::36.0:fyear  0.038711  653.960413  ... -1282.664443  1282.741864
state_id::38.0:fyear  0.035861  610.955655  ... -1198.316104  1198.387826
state_id::39.0:fyear  0.038757  665.198945  ... -1304.708086  1304.785601
state_id::40.0:fyear  0.047681  633.751150  ... -1243.016247  1243.111608
state_id::41.0:fyear  0.038636  637.019798  ... -1249.436544  1249.513815
state_id::43.0:fyear  0.038997  629.834457  ... -1235.342578  1235.420572
state_id::44.0:fyear  0.036382  638.391073  ... -1252.128468  1252.201232
state_id::45.0:fyear  0.045248  627.680157  ... -1231.110799  1231.201295
state_id::47.0:fyear  0.038053  649.012420  ... -1272.959918  1273.036023
state_id::48.0:fyear  0.036807  618.326045  ... -1212.771725  1212.845339
state_id::50.0:fyear  0.037555  664.977272  ... -1304.274491  1304.349602

[43 rows x 6 columns]
