Paper: 0005
KeyVar: ln_at_adj
Mechanism: MAR
Proportion: 30pct
Method: LD
Iteration: 23
---
FocalIV: ad_law2
Coef: -0.012423
SE: 0.003829
pval: 0.001203
Nobs: 9112
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.012423    0.003829  ... -0.019933 -0.004912
ln_at_adj             0.007885    0.004789  ... -0.001509  0.017279
ppent_at             -0.123520    0.025381  ... -0.173308 -0.073731
div_payer             0.025496    0.005206  ...  0.015284  0.035708
state_inc_growth      0.002074    0.000493  ...  0.001107  0.003041
state_id::1.0:fyear   0.000784    0.001320  ... -0.001806  0.003374
state_id::3.0:fyear   0.007420    0.008761  ... -0.009767  0.024606
state_id::4.0:fyear   0.000977    0.007526  ... -0.013786  0.015739
state_id::5.0:fyear   0.002563    0.001734  ... -0.000838  0.005965
state_id::6.0:fyear  -0.000534    0.002843  ... -0.006111  0.005043
state_id::7.0:fyear   0.001537    0.001761  ... -0.001917  0.004992
state_id::10.0:fyear  0.001756    0.002170  ... -0.002501  0.006014
state_id::11.0:fyear  0.002016    0.002325  ... -0.002544  0.006577
state_id::12.0:fyear  0.024244    0.023035  ... -0.020943  0.069430
state_id::14.0:fyear  0.000815    0.001322  ... -0.001777  0.003408
state_id::15.0:fyear  0.001829    0.001805  ... -0.001712  0.005371
state_id::17.0:fyear  0.010018    0.003697  ...  0.002767  0.017270
state_id::18.0:fyear -0.000783    0.005193  ... -0.010969  0.009403
state_id::19.0:fyear -0.007818    0.004297  ... -0.016248  0.000612
state_id::21.0:fyear  0.005553    0.001847  ...  0.001931  0.009176
state_id::22.0:fyear  0.000812    0.001322  ... -0.001781  0.003405
state_id::23.0:fyear  0.001636    0.001932  ... -0.002154  0.005427
state_id::24.0:fyear  0.002391    0.001891  ... -0.001317  0.006100
state_id::25.0:fyear -0.021798    0.011720  ... -0.044788  0.001193
state_id::26.0:fyear  0.004364    0.001593  ...  0.001239  0.007490
state_id::28.0:fyear  0.073578    0.003247  ...  0.067209  0.079947
state_id::29.0:fyear -0.016405    0.004766  ... -0.025755 -0.007056
state_id::30.0:fyear  0.004464    0.003809  ... -0.003007  0.011935
state_id::31.0:fyear  0.000795    0.001321  ... -0.001796  0.003385
state_id::33.0:fyear  0.000865    0.001321  ... -0.001726  0.003457
state_id::34.0:fyear -0.000639    0.002340  ... -0.005229  0.003950
state_id::36.0:fyear  0.000781    0.001321  ... -0.001811  0.003372
state_id::38.0:fyear -0.003378    0.002924  ... -0.009113  0.002358
state_id::39.0:fyear  0.000795    0.001322  ... -0.001798  0.003388
state_id::40.0:fyear  0.007815    0.002070  ...  0.003753  0.011876
state_id::41.0:fyear  0.000700    0.002672  ... -0.004541  0.005942
state_id::43.0:fyear  0.001789    0.003653  ... -0.005378  0.008956
state_id::44.0:fyear -0.001927    0.001870  ... -0.005595  0.001741
state_id::45.0:fyear  0.004922    0.002060  ...  0.000881  0.008964
state_id::47.0:fyear -0.001141    0.002504  ... -0.006054  0.003772
state_id::48.0:fyear -0.002034    0.001569  ... -0.005111  0.001043

[41 rows x 6 columns]
