Paper: 0005
KeyVar: ln_at_adj
Mechanism: MAR
Proportion: 30pct
Method: LD
Iteration: 8
---
FocalIV: ad_law2
Coef: -0.008982
SE: 0.003800
pval: 0.018242
Nobs: 9131
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...          2.5%     97.5%
Coefficient                                 ...                        
ad_law2              -0.008982    0.003800  ... -1.643658e-02 -0.001527
ln_at_adj             0.009295    0.004793  ... -1.062772e-04  0.018696
ppent_at             -0.140465    0.022915  ... -1.854149e-01 -0.095515
div_payer             0.030578    0.005376  ...  2.003356e-02  0.041123
state_inc_growth      0.001764    0.000457  ...  8.677737e-04  0.002661
state_id::1.0:fyear   0.002371    0.001244  ... -6.780540e-05  0.004811
state_id::3.0:fyear   0.005476    0.006809  ... -7.880554e-03  0.018833
state_id::4.0:fyear  -0.001029    0.005024  ... -1.088307e-02  0.008826
state_id::5.0:fyear   0.003361    0.001643  ...  1.376160e-04  0.006585
state_id::6.0:fyear   0.001472    0.003102  ... -4.611683e-03  0.007556
state_id::7.0:fyear   0.001984    0.001718  ... -1.386158e-03  0.005355
state_id::10.0:fyear  0.004887    0.002000  ...  9.639175e-04  0.008810
state_id::11.0:fyear  0.001777    0.002403  ... -2.936747e-03  0.006491
state_id::12.0:fyear  0.055979    0.028098  ...  8.611719e-04  0.111096
state_id::14.0:fyear  0.002367    0.001245  ... -7.453593e-05  0.004809
state_id::15.0:fyear  0.002388    0.001744  ... -1.033642e-03  0.005809
state_id::17.0:fyear  0.008389    0.004506  ... -4.509527e-04  0.017229
state_id::18.0:fyear  0.002155    0.004545  ... -6.761157e-03  0.011070
state_id::19.0:fyear -0.005289    0.005069  ... -1.523269e-02  0.004655
state_id::21.0:fyear  0.007656    0.002080  ...  3.574778e-03  0.011736
state_id::22.0:fyear  0.003390    0.002483  ... -1.480629e-03  0.008261
state_id::23.0:fyear  0.003104    0.001980  ... -7.798859e-04  0.006988
state_id::24.0:fyear  0.003788    0.001862  ...  1.359297e-04  0.007439
state_id::25.0:fyear -0.012519    0.002765  ... -1.794189e-02 -0.007095
state_id::26.0:fyear  0.005726    0.001605  ...  2.577531e-03  0.008874
state_id::28.0:fyear  0.034816    0.003071  ...  2.879223e-02  0.040840
state_id::29.0:fyear -0.027837    0.015297  ... -5.784380e-02  0.002169
state_id::30.0:fyear  0.009594    0.003344  ...  3.034167e-03  0.016155
state_id::31.0:fyear  0.002388    0.001244  ... -5.187511e-05  0.004828
state_id::32.0:fyear -0.062171    0.009340  ... -8.049136e-02 -0.043850
state_id::33.0:fyear  0.002440    0.001244  ... -3.652297e-08  0.004880
state_id::34.0:fyear  0.001184    0.002032  ... -2.802721e-03  0.005170
state_id::36.0:fyear  0.002335    0.001244  ... -1.052014e-04  0.004775
state_id::38.0:fyear  0.009521    0.006192  ... -2.624642e-03  0.021666
state_id::39.0:fyear  0.002405    0.001245  ... -3.692524e-05  0.004847
state_id::40.0:fyear  0.010785    0.001556  ...  7.732219e-03  0.013839
state_id::41.0:fyear  0.001610    0.001762  ... -1.845374e-03  0.005065
state_id::43.0:fyear  0.002320    0.003899  ... -5.328811e-03  0.009969
state_id::44.0:fyear  0.000185    0.001834  ... -3.412465e-03  0.003783
state_id::45.0:fyear  0.009848    0.001600  ...  6.709401e-03  0.012986
state_id::47.0:fyear  0.000287    0.002393  ... -4.406845e-03  0.004981
state_id::48.0:fyear -0.000554    0.001309  ... -3.121336e-03  0.002014

[42 rows x 6 columns]
