Paper: 0005
KeyVar: ln_at_adj
Mechanism: MAR
Proportion: 30pct
Method: Reg
Iteration: 3
---
FocalIV: ad_law2
Coef: -0.010711
SE: 0.003608
pval: 0.003038
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.010711    0.003608  ...    -0.017789    -0.003633
ln_at_adj            -0.001098    0.000533  ...    -0.002142    -0.000053
ppent_at             -0.135291    0.023879  ...    -0.182129    -0.088454
div_payer             0.027395    0.004699  ...     0.018179     0.036611
state_inc_growth      0.001997    0.000388  ...     0.001235     0.002758
state_id::1.0:fyear   0.098370  781.825376  ... -1533.405484  1533.602223
state_id::3.0:fyear   0.102542  747.832989  ... -1466.727272  1466.932356
state_id::4.0:fyear   0.097995  852.565761  ... -1672.158907  1672.354898
state_id::5.0:fyear   0.100143  779.892187  ... -1529.611877  1529.812163
state_id::6.0:fyear   0.098296  771.900417  ... -1513.938343  1514.134935
state_id::7.0:fyear   0.098398  849.084837  ... -1665.330879  1665.527675
state_id::10.0:fyear  0.100811  778.337265  ... -1526.561322  1526.762944
state_id::11.0:fyear  0.099313  764.070652  ... -1498.579708  1498.778335
state_id::12.0:fyear  0.119902  799.228099  ... -1567.518356  1567.758159
state_id::14.0:fyear  0.098357  823.437217  ... -1615.024643  1615.221357
state_id::15.0:fyear  0.099221  803.048758  ... -1575.033033  1575.231474
state_id::17.0:fyear  0.104521  779.898013  ... -1529.618927  1529.827968
state_id::18.0:fyear  0.098683  836.022742  ... -1639.710074  1639.907440
state_id::19.0:fyear  0.091097  767.448634  ... -1505.213635  1505.395829
state_id::21.0:fyear  0.103527  786.079999  ... -1541.745516  1541.952570
state_id::22.0:fyear  0.098345  747.436054  ... -1465.952905  1466.149595
state_id::23.0:fyear  0.098975  797.871378  ... -1564.878156  1565.076106
state_id::24.0:fyear  0.100156  746.462186  ... -1464.040909  1464.241222
state_id::25.0:fyear  0.087115  801.229806  ... -1571.477373  1571.651602
state_id::26.0:fyear  0.101406  774.561406  ... -1519.154604  1519.357416
state_id::28.0:fyear  0.154641  850.260762  ... -1667.581143  1667.890425
state_id::29.0:fyear  0.079228  852.866519  ... -1672.767592  1672.926049
state_id::30.0:fyear  0.102640  818.940191  ... -1606.199710  1606.404990
state_id::31.0:fyear  0.098375  802.958464  ... -1574.856773  1575.053522
state_id::32.0:fyear  0.029672  810.772673  ... -1590.252579  1590.311923
state_id::33.0:fyear  0.098414  738.832099  ... -1449.076693  1449.273520
state_id::34.0:fyear  0.097606  836.001313  ... -1639.669118  1639.864331
state_id::36.0:fyear  0.098322  711.915057  ... -1396.280611  1396.477255
state_id::38.0:fyear  0.093410  809.461531  ... -1587.617115  1587.803935
state_id::39.0:fyear  0.098373  739.541904  ... -1450.468973  1450.665719
state_id::40.0:fyear  0.106588  816.954137  ... -1602.300236  1602.513413
state_id::41.0:fyear  0.097798  838.072755  ... -1643.731936  1643.927532
state_id::43.0:fyear  0.098805  773.809187  ... -1517.681773  1517.879383
state_id::44.0:fyear  0.096152  765.756759  ... -1501.890070  1502.082373
state_id::45.0:fyear  0.104710  796.098377  ... -1561.394785  1561.604205
state_id::47.0:fyear  0.097897  789.559097  ... -1548.575190  1548.770984
state_id::48.0:fyear  0.096536  764.693137  ... -1499.803454  1499.996526
state_id::50.0:fyear  0.096741  816.415679  ... -1601.253930  1601.447412

[43 rows x 6 columns]
