Paper: 0005
KeyVar: ppent_at
Mechanism: MAR
Proportion: 30pct
Method: LD
Iteration: 9
---
FocalIV: ad_law2
Coef: -0.010396
SE: 0.003806
pval: 0.006390
Nobs: 9138
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.010396     0.003806  ...    -0.017862    -0.002929
ln_at_adj             0.005188     0.004376  ...    -0.003396     0.013771
ppent_at             -0.140678     0.023911  ...    -0.187581    -0.093775
div_payer             0.028522     0.001994  ...     0.024609     0.032434
state_inc_growth      0.002445     0.000477  ...     0.001509     0.003381
state_id::1.0:fyear   0.020413  1267.957103  ... -2487.210294  2487.251120
state_id::3.0:fyear   0.026859  1215.373222  ... -2384.055056  2384.108774
state_id::4.0:fyear   0.017546  1257.251810  ... -2466.213608  2466.248700
state_id::5.0:fyear   0.021452  1312.251153  ... -2574.096676  2574.139580
state_id::6.0:fyear   0.020118  1275.180409  ... -2501.379861  2501.420096
state_id::7.0:fyear   0.020504  1250.481765  ... -2452.930496  2452.971504
state_id::10.0:fyear  0.023764  1260.801843  ... -2473.171152  2473.218679
state_id::11.0:fyear  0.022021  1255.513413  ... -2462.799083  2462.843126
state_id::12.0:fyear  0.039377  1281.107340  ... -2512.986898  2513.065652
state_id::14.0:fyear  0.020450  1259.019899  ... -2469.678994  2469.719894
state_id::15.0:fyear  0.021459  1267.730301  ... -2486.764352  2486.807271
state_id::17.0:fyear  0.027178  1192.262900  ... -2338.721419  2338.775775
state_id::18.0:fyear  0.019869  1250.452694  ... -2452.874107  2452.913845
state_id::19.0:fyear  0.011956  1263.252088  ... -2477.989372  2478.013284
state_id::21.0:fyear  0.024712  1277.189628  ... -2505.316560  2505.365985
state_id::22.0:fyear  0.020437  1225.408888  ... -2403.747488  2403.788361
state_id::23.0:fyear  0.021433  1284.135789  ... -2518.945461  2518.988326
state_id::24.0:fyear  0.022168  1224.424708  ... -2401.815186  2401.859522
state_id::25.0:fyear  0.015553  1278.142730  ... -2507.195328  2507.226434
state_id::26.0:fyear  0.022789  1220.698371  ... -2394.504964  2394.550542
state_id::28.0:fyear  0.079822  1267.640488  ... -2486.529812  2486.689455
state_id::29.0:fyear -0.019589  1297.408440  ... -2545.022180  2544.983002
state_id::30.0:fyear  0.019643  1149.185881  ... -2254.228867  2254.268153
state_id::31.0:fyear  0.020443  1192.809305  ... -2339.799985  2339.840870
state_id::32.0:fyear -0.047141  1214.955551  ... -2383.309750  2383.215467
state_id::33.0:fyear  0.020496  1211.254618  ... -2375.982346  2376.023338
state_id::34.0:fyear  0.018801  1236.112343  ... -2424.745074  2424.782675
state_id::36.0:fyear  0.020431  1205.079366  ... -2363.869007  2363.909869
state_id::38.0:fyear  0.016276  1210.142975  ... -2373.805962  2373.838513
state_id::39.0:fyear  0.020448  1264.428268  ... -2480.288079  2480.328974
state_id::40.0:fyear  0.028085  1224.547024  ... -2402.049203  2402.105373
state_id::41.0:fyear  0.021998  1208.862167  ... -2371.287801  2371.331798
state_id::43.0:fyear  0.019660  1267.591159  ... -2486.493210  2486.532530
state_id::44.0:fyear  0.017806  1238.059093  ... -2428.564822  2428.600435
state_id::45.0:fyear  0.027202  1272.820220  ... -2496.743018  2496.797423
state_id::47.0:fyear  0.018795  1229.107860  ... -2411.005052  2411.042641
state_id::48.0:fyear  0.017440  1279.962366  ... -2510.762848  2510.797728
state_id::50.0:fyear  0.018173  1258.505461  ... -2468.672148  2468.708494

[43 rows x 6 columns]
