Paper: 0005
KeyVar: state_inc_growth
Mechanism: MAR
Proportion: 30pct
Method: LD
Iteration: 7
---
FocalIV: ad_law2
Coef: -0.010862
SE: 0.003806
pval: 0.004380
Nobs: 9132
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.010862    0.003806  ... -0.018329 -0.003396
ln_at_adj             0.005841    0.004930  ... -0.003830  0.015511
ppent_at             -0.138030    0.024195  ... -0.185492 -0.090568
div_payer             0.029695    0.005292  ...  0.019314  0.040075
state_inc_growth      0.001706    0.000456  ...  0.000812  0.002600
state_id::1.0:fyear   0.001501    0.001149  ... -0.000753  0.003754
state_id::3.0:fyear   0.006912    0.008096  ... -0.008969  0.022793
state_id::4.0:fyear  -0.000860    0.003607  ... -0.007935  0.006216
state_id::5.0:fyear   0.003353    0.001611  ...  0.000192  0.006514
state_id::6.0:fyear   0.001915    0.002799  ... -0.003575  0.007406
state_id::7.0:fyear   0.001785    0.001673  ... -0.001497  0.005067
state_id::10.0:fyear  0.002942    0.002317  ... -0.001604  0.007488
state_id::11.0:fyear  0.001781    0.002303  ... -0.002738  0.006299
state_id::12.0:fyear  0.027998    0.030747  ... -0.032316  0.088312
state_id::14.0:fyear  0.001473    0.001150  ... -0.000783  0.003729
state_id::15.0:fyear  0.002876    0.001822  ... -0.000697  0.006450
state_id::17.0:fyear  0.007595    0.004468  ... -0.001169  0.016359
state_id::18.0:fyear  0.001433    0.004394  ... -0.007186  0.010052
state_id::19.0:fyear -0.005143    0.004744  ... -0.014448  0.004162
state_id::21.0:fyear  0.005244    0.001514  ...  0.002275  0.008214
state_id::22.0:fyear  0.001489    0.002379  ... -0.003177  0.006155
state_id::23.0:fyear  0.002229    0.001688  ... -0.001083  0.005541
state_id::24.0:fyear  0.003289    0.001708  ... -0.000061  0.006638
state_id::25.0:fyear  0.000368    0.005106  ... -0.009648  0.010383
state_id::26.0:fyear  0.004888    0.001486  ...  0.001974  0.007803
state_id::28.0:fyear  0.060977    0.011339  ...  0.038733  0.083221
state_id::29.0:fyear -0.007320    0.003153  ... -0.013505 -0.001135
state_id::30.0:fyear  0.004767    0.002095  ...  0.000657  0.008876
state_id::31.0:fyear  0.001495    0.001149  ... -0.000759  0.003750
state_id::32.0:fyear -0.064220    0.009748  ... -0.083341 -0.045098
state_id::33.0:fyear  0.001535    0.001149  ... -0.000719  0.003790
state_id::34.0:fyear  0.001862    0.001888  ... -0.001843  0.005566
state_id::36.0:fyear  0.001445    0.001149  ... -0.000809  0.003699
state_id::38.0:fyear -0.012293    0.004584  ... -0.021286 -0.003301
state_id::39.0:fyear  0.001486    0.001150  ... -0.000770  0.003742
state_id::40.0:fyear  0.006840    0.002380  ...  0.002171  0.011509
state_id::41.0:fyear  0.001349    0.001717  ... -0.002019  0.004716
state_id::43.0:fyear  0.001295    0.003872  ... -0.006301  0.008890
state_id::44.0:fyear -0.000835    0.001893  ... -0.004548  0.002878
state_id::45.0:fyear  0.008648    0.001938  ...  0.004846  0.012450
state_id::47.0:fyear  0.000088    0.002047  ... -0.003926  0.004103
state_id::48.0:fyear  0.000013    0.001705  ... -0.003331  0.003357

[42 rows x 6 columns]
