Paper: 0005
KeyVar: ln_at_adj
Mechanism: MAR
Proportion: 40pct
Method: Mean
Iteration: 2
---
FocalIV: ad_law2
Coef: -0.010852
SE: 0.003563
pval: 0.002356
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...        2.5%       97.5%
Coefficient                                 ...                        
ad_law2              -0.010852    0.003563  ...   -0.017839   -0.003864
ln_at_adj             0.001225    0.000738  ...   -0.000224    0.002673
ppent_at             -0.136941    0.020350  ...   -0.176856   -0.097025
div_payer             0.026639    0.004472  ...    0.017868    0.035410
state_inc_growth      0.001996    0.000385  ...    0.001241    0.002752
state_id::1.0:fyear   0.161906  414.335944  ... -812.533341  812.857153
state_id::3.0:fyear   0.166079  430.508032  ... -844.249753  844.581912
state_id::4.0:fyear   0.161493  437.839658  ... -858.634886  858.957873
state_id::5.0:fyear   0.163608  429.052852  ... -841.397977  841.725194
state_id::6.0:fyear   0.161855  420.827004  ... -825.265219  825.588929
state_id::7.0:fyear   0.161907  413.439355  ... -810.774734  811.098548
state_id::10.0:fyear  0.164334  414.292959  ... -812.446600  812.775269
state_id::11.0:fyear  0.162796  437.608749  ... -858.180669  858.506262
state_id::12.0:fyear  0.184065  390.873765  ... -766.491517  766.859646
state_id::14.0:fyear  0.161895  391.045839  ... -766.851200  767.174989
state_id::15.0:fyear  0.162723  435.019700  ... -853.102477  853.427924
state_id::17.0:fyear  0.167956  376.567810  ... -738.447349  738.783262
state_id::18.0:fyear  0.162196  399.600297  ... -783.629959  783.954352
state_id::19.0:fyear  0.154460  408.831753  ... -801.744644  802.053564
state_id::21.0:fyear  0.167012  375.427005  ... -736.210671  736.544695
state_id::22.0:fyear  0.161883  432.687404  ... -848.528658  848.852425
state_id::23.0:fyear  0.162524  438.186794  ... -859.314743  859.639791
state_id::24.0:fyear  0.163686  420.290495  ... -824.211057  824.538429
state_id::25.0:fyear  0.150725  420.713737  ... -825.054182  825.355632
state_id::26.0:fyear  0.164992  425.243874  ... -833.925510  834.255494
state_id::28.0:fyear  0.219001  380.441899  ... -745.995099  746.433101
state_id::29.0:fyear  0.143048  403.999523  ... -792.277925  792.564021
state_id::30.0:fyear  0.166113  436.347995  ... -855.704460  856.036685
state_id::31.0:fyear  0.161911  401.764610  ... -787.875414  788.199236
state_id::32.0:fyear  0.092908  375.346191  ... -736.126264  736.312079
state_id::33.0:fyear  0.161951  401.459186  ... -787.276303  787.600206
state_id::34.0:fyear  0.161155  427.496695  ... -838.348120  838.670430
state_id::36.0:fyear  0.161859  410.856358  ... -805.708387  806.032105
state_id::38.0:fyear  0.156759  370.365954  ... -726.293976  726.607494
state_id::39.0:fyear  0.161910  414.920064  ... -813.679054  814.002875
state_id::40.0:fyear  0.170134  412.682574  ... -809.282126  809.622394
state_id::41.0:fyear  0.161329  425.403548  ... -834.242363  834.565022
state_id::43.0:fyear  0.162341  406.216546  ... -796.607191  796.931874
state_id::44.0:fyear  0.159680  419.144775  ... -821.967803  822.287163
state_id::45.0:fyear  0.168281  408.996825  ... -802.054602  802.391165
state_id::47.0:fyear  0.161325  409.290320  ... -802.637232  802.959882
state_id::48.0:fyear  0.160027  425.026796  ... -833.504689  833.824743
state_id::50.0:fyear  0.160270  348.271489  ... -682.953489  683.274029

[43 rows x 6 columns]
