Paper: 0005
KeyVar: ln_at_adj
Mechanism: MAR
Proportion: 50pct
Method: Iter
Iteration: 15
---
FocalIV: ad_law2
Coef: -0.010600
SE: 0.002747
pval: 0.000119
Nobs: 13633
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.010600     0.002747  ...    -0.015988    -0.005211
ln_at_adj            -0.002123     0.000336  ...    -0.002782    -0.001463
ppent_at             -0.120512     0.022170  ...    -0.163995    -0.077028
div_payer             0.032428     0.006273  ...     0.020125     0.044731
state_inc_growth      0.001923     0.000389  ...     0.001161     0.002686
state_id::1.0:fyear   0.219660  2483.194490  ... -4870.322706  4870.762026
state_id::3.0:fyear   0.223962  2437.346570  ... -4780.392206  4780.840131
state_id::4.0:fyear   0.219177  2367.415690  ... -4643.234431  4643.672785
state_id::5.0:fyear   0.221863  2511.826637  ... -4926.479651  4926.923376
state_id::6.0:fyear   0.219745  2358.796390  ... -4626.327952  4626.767441
state_id::7.0:fyear   0.219981  2412.946459  ... -4732.537765  4732.977726
state_id::10.0:fyear  0.222334  2395.772248  ... -4698.849881  4699.294549
state_id::11.0:fyear  0.220499  2490.959017  ... -4885.551224  4885.992222
state_id::12.0:fyear  0.241467  2502.346351  ... -4907.865396  4908.348330
state_id::14.0:fyear  0.219646  2427.379442  ... -4760.846979  4761.286270
state_id::15.0:fyear  0.220400  2508.478589  ... -4919.914244  4920.355045
state_id::17.0:fyear  0.225731  2434.122451  ... -4774.066644  4774.518106
state_id::18.0:fyear  0.219782  2388.340319  ... -4684.275432  4684.714997
state_id::19.0:fyear  0.213253  2465.382187  ... -4835.392029  4835.818534
state_id::21.0:fyear  0.224898  2433.291264  ... -4772.437186  4772.886982
state_id::22.0:fyear  0.219633  2408.950251  ... -4724.699942  4725.139209
state_id::23.0:fyear  0.220318  2440.117095  ... -4785.829963  4786.270600
state_id::24.0:fyear  0.221694  2376.938953  ... -4661.910860  4662.354249
state_id::25.0:fyear  0.207534  2447.952526  ... -4801.211176  4801.626244
state_id::26.0:fyear  0.223105  2440.547678  ... -4786.671724  4787.117934
state_id::28.0:fyear  0.277529  2537.295744  ... -4976.379138  4976.934197
state_id::29.0:fyear  0.200744  2467.872541  ... -4840.289122  4840.690610
state_id::30.0:fyear  0.223833  2488.280113  ... -4880.293484  4880.741149
state_id::31.0:fyear  0.219666  2452.135472  ... -4809.403483  4809.842815
state_id::32.0:fyear  0.151440  2481.088903  ... -4866.261023  4866.563904
state_id::33.0:fyear  0.219703  2394.194442  ... -4695.757800  4696.197206
state_id::34.0:fyear  0.219001  2453.252395  ... -4811.594883  4812.032885
state_id::36.0:fyear  0.219632  2387.518701  ... -4682.664060  4683.103324
state_id::38.0:fyear  0.231977  2395.783897  ... -4698.863086  4699.327040
state_id::39.0:fyear  0.219666  2421.537918  ... -4749.389383  4749.828715
state_id::40.0:fyear  0.227864  2460.211767  ... -4825.236145  4825.691873
state_id::41.0:fyear  0.219089  2501.463691  ... -4906.156521  4906.594699
state_id::43.0:fyear  0.219974  2467.016192  ... -4838.590248  4839.030196
state_id::44.0:fyear  0.217698  2426.062032  ... -4758.264957  4758.700353
state_id::45.0:fyear  0.225884  2370.288886  ... -4648.863217  4649.314985
state_id::47.0:fyear  0.219054  2463.914998  ... -4832.508480  4832.946589
state_id::48.0:fyear  0.218182  2362.807425  ... -4634.196767  4634.633131
state_id::50.0:fyear  0.217904  2402.061717  ... -4711.190487  4711.626295

[43 rows x 6 columns]
