Paper: 0005
KeyVar: ln_at_adj
Mechanism: MAR
Proportion: 50pct
Method: LD
Iteration: 2
---
FocalIV: ad_law2
Coef: -0.008935
SE: 0.004087
pval: 0.028980
Nobs: 6355
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...        2.5%       97.5%
Coefficient                                 ...                        
ad_law2              -0.008935    0.004087  ...   -0.016953   -0.000917
ln_at_adj             0.010211    0.005125  ...    0.000155    0.020267
ppent_at             -0.128554    0.026312  ...   -0.180175   -0.076933
div_payer             0.024311    0.005955  ...    0.012628    0.035993
state_inc_growth      0.001917    0.000524  ...    0.000888    0.002946
state_id::1.0:fyear   0.009088  149.607924  ... -293.506115  293.524291
state_id::3.0:fyear   0.017024  155.847719  ... -305.740007  305.774056
state_id::4.0:fyear   0.010914  139.274353  ... -273.230896  273.252724
state_id::5.0:fyear   0.008900  137.654035  ... -270.054015  270.071815
state_id::6.0:fyear   0.009180  141.611343  ... -277.817561  277.835920
state_id::7.0:fyear   0.008077  160.306250  ... -314.496128  314.512283
state_id::10.0:fyear  0.013115  152.359330  ... -298.900059  298.926289
state_id::11.0:fyear  0.011686  162.643232  ... -319.077437  319.100809
state_id::12.0:fyear  0.027667  152.259155  ... -298.688975  298.744309
state_id::14.0:fyear  0.008997  150.536444  ... -295.327866  295.345860
state_id::15.0:fyear  0.011303  146.874335  ... -288.140883  288.163488
state_id::17.0:fyear  0.001077  172.331184  ... -338.094802  338.096956
state_id::18.0:fyear  0.007584  154.658228  ... -303.415790  303.430957
state_id::19.0:fyear  0.003641  143.820049  ... -282.156351  282.163634
state_id::21.0:fyear  0.014419  148.503745  ... -291.334500  291.363338
state_id::22.0:fyear  0.009302  140.308512  ... -275.261419  275.280024
state_id::23.0:fyear  0.010353  157.388217  ... -308.768975  308.789681
state_id::24.0:fyear  0.010161  125.759118  ... -246.716163  246.736485
state_id::26.0:fyear  0.012849  129.944727  ... -254.925204  254.950902
state_id::28.0:fyear  0.080711  165.435039  ... -324.485648  324.647070
state_id::29.0:fyear -0.023357  134.261577  ... -263.430620  263.383906
state_id::30.0:fyear  0.016044  116.108339  ... -227.776453  227.808541
state_id::31.0:fyear  0.009101  136.185388  ... -267.172481  267.190682
state_id::33.0:fyear  0.009091  145.528168  ... -285.502053  285.520236
state_id::34.0:fyear  0.007637  164.729725  ... -323.174967  323.190241
state_id::36.0:fyear  0.009012  132.237069  ... -259.426378  259.444403
state_id::38.0:fyear  0.003524  168.541895  ... -330.658163  330.665211
state_id::39.0:fyear  0.009036  167.028934  ... -327.684379  327.702450
state_id::40.0:fyear  0.019327  157.273462  ... -308.534865  308.573519
state_id::41.0:fyear  0.007197  141.799695  ... -278.189071  278.203465
state_id::43.0:fyear  0.007198  112.219253  ... -220.155317  220.169714
state_id::44.0:fyear  0.006845  142.697217  ... -279.950269  279.963959
state_id::45.0:fyear  0.014802  169.446402  ... -332.421432  332.451037
state_id::47.0:fyear  0.005955  134.560024  ... -263.986832  263.998742
state_id::48.0:fyear  0.007412  138.774445  ... -272.253631  272.268454
state_id::50.0:fyear  0.006328  149.160178  ... -292.630443  292.643099

[41 rows x 6 columns]
