Paper: 0005
KeyVar: ln_at_adj
Mechanism: MAR
Proportion: 50pct
Method: Mean
Iteration: 15
---
FocalIV: ad_law2
Coef: -0.010811
SE: 0.003320
pval: 0.001151
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.010811    0.003320  ...    -0.017322    -0.004299
ln_at_adj             0.000881    0.000955  ...    -0.000991     0.002754
ppent_at             -0.136658    0.020718  ...    -0.177296    -0.096021
div_payer             0.026676    0.004863  ...     0.017137     0.036215
state_inc_growth      0.001999    0.000388  ...     0.001238     0.002760
state_id::1.0:fyear   0.068256  886.281178  ... -1738.319425  1738.455937
state_id::3.0:fyear   0.072329  906.507256  ... -1777.987599  1778.132257
state_id::4.0:fyear   0.067808  904.980732  ... -1774.997934  1775.133551
state_id::5.0:fyear   0.069974  909.998640  ... -1784.838096  1784.978044
state_id::6.0:fyear   0.068252  913.398738  ... -1791.508907  1791.645411
state_id::7.0:fyear   0.068253  913.933755  ... -1792.558310  1792.694816
state_id::10.0:fyear  0.070681  911.539007  ... -1787.858727  1788.000088
state_id::11.0:fyear  0.069134  896.903107  ... -1759.152829  1759.291097
state_id::12.0:fyear  0.089953  895.321977  ... -1756.030716  1756.210622
state_id::14.0:fyear  0.068244  902.855260  ... -1770.828510  1770.964999
state_id::15.0:fyear  0.069081  898.985002  ... -1763.236394  1763.374557
state_id::17.0:fyear  0.074319  913.152569  ... -1791.019994  1791.168632
state_id::18.0:fyear  0.068573  899.145576  ... -1763.551857  1763.689004
state_id::19.0:fyear  0.060844  914.548651  ... -1793.771801  1793.893488
state_id::21.0:fyear  0.073389  900.136592  ... -1765.490862  1765.637639
state_id::22.0:fyear  0.068233  897.665370  ... -1760.648863  1760.785329
state_id::23.0:fyear  0.068871  899.435441  ... -1764.120114  1764.257856
state_id::24.0:fyear  0.070032  920.763852  ... -1805.953359  1806.093423
state_id::25.0:fyear  0.057335  924.515496  ... -1813.324681  1813.439351
state_id::26.0:fyear  0.071307  919.306937  ... -1803.094431  1803.237045
state_id::28.0:fyear  0.124543  914.702035  ... -1794.008955  1794.258042
state_id::29.0:fyear  0.049505  901.494100  ... -1768.177416  1768.276426
state_id::30.0:fyear  0.072520  907.410871  ... -1779.759794  1779.904835
state_id::31.0:fyear  0.068261  884.788716  ... -1735.392045  1735.528568
state_id::32.0:fyear -0.000847  898.024939  ... -1761.423216  1761.421522
state_id::33.0:fyear  0.068301  911.305821  ... -1787.403725  1787.540327
state_id::34.0:fyear  0.067488  921.578353  ... -1807.553497  1807.688474
state_id::36.0:fyear  0.068209  910.950248  ... -1786.706382  1786.842801
state_id::38.0:fyear  0.063285  919.880361  ... -1804.227191  1804.353761
state_id::39.0:fyear  0.068260  914.751884  ... -1794.163013  1794.299533
state_id::40.0:fyear  0.076504  882.621199  ... -1731.132348  1731.285355
state_id::41.0:fyear  0.067663  897.322721  ... -1759.977346  1760.112673
state_id::43.0:fyear  0.068692  909.769767  ... -1784.390457  1784.527840
state_id::44.0:fyear  0.066025  914.169582  ... -1793.023098  1793.155148
state_id::45.0:fyear  0.074627  902.613093  ... -1770.347132  1770.496385
state_id::47.0:fyear  0.067736  904.011382  ... -1773.096684  1773.232156
state_id::48.0:fyear  0.066362  912.721054  ... -1790.181560  1790.314284
state_id::50.0:fyear  0.066635  912.226522  ... -1789.211293  1789.344562

[43 rows x 6 columns]
