Paper: 0005
KeyVar: ln_at_adj
Mechanism: MAR
Proportion: 50pct
Method: RF
Iteration: 8
---
FocalIV: ad_law2
Coef: -0.010765
SE: 0.003425
pval: 0.001700
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.010765    0.003425  ... -0.017482 -0.004048
ln_at_adj            -0.001254    0.000449  ... -0.002134 -0.000373
ppent_at             -0.134948    0.020492  ... -0.175141 -0.094755
div_payer             0.027807    0.004635  ...  0.018715  0.036898
state_inc_growth      0.001989    0.000386  ...  0.001232  0.002747
state_id::1.0:fyear   0.001632    0.001129  ... -0.000583  0.003846
state_id::3.0:fyear   0.005808    0.008011  ... -0.009906  0.021522
state_id::4.0:fyear   0.001225    0.004755  ... -0.008102  0.010552
state_id::5.0:fyear   0.003410    0.001542  ...  0.000385  0.006435
state_id::6.0:fyear   0.001582    0.002695  ... -0.003705  0.006868
state_id::7.0:fyear   0.001634    0.001613  ... -0.001529  0.004797
state_id::10.0:fyear  0.004056    0.001957  ...  0.000218  0.007893
state_id::11.0:fyear  0.002518    0.001944  ... -0.001295  0.006331
state_id::12.0:fyear  0.023353    0.010974  ...  0.001828  0.044879
state_id::14.0:fyear  0.001618    0.001130  ... -0.000598  0.003834
state_id::15.0:fyear  0.002484    0.001715  ... -0.000881  0.005848
state_id::17.0:fyear  0.007750    0.003156  ...  0.001561  0.013940
state_id::18.0:fyear  0.001948    0.003718  ... -0.005344  0.009241
state_id::19.0:fyear -0.005677    0.004478  ... -0.014460  0.003106
state_id::21.0:fyear  0.006755    0.001700  ...  0.003421  0.010089
state_id::22.0:fyear  0.001607    0.001130  ... -0.000610  0.003823
state_id::23.0:fyear  0.002262    0.001802  ... -0.001274  0.005797
state_id::24.0:fyear  0.003422    0.001895  ... -0.000295  0.007139
state_id::25.0:fyear -0.009937    0.008477  ... -0.026566  0.006691
state_id::26.0:fyear  0.004665    0.001395  ...  0.001929  0.007402
state_id::28.0:fyear  0.057667    0.011400  ...  0.035308  0.080027
state_id::29.0:fyear -0.017723    0.003014  ... -0.023635 -0.011811
state_id::30.0:fyear  0.005846    0.002713  ...  0.000525  0.011167
state_id::31.0:fyear  0.001636    0.001129  ... -0.000578  0.003851
state_id::32.0:fyear -0.067057    0.008241  ... -0.083221 -0.050892
state_id::33.0:fyear  0.001675    0.001129  ... -0.000540  0.003890
state_id::34.0:fyear  0.000830    0.002241  ... -0.003565  0.005225
state_id::36.0:fyear  0.001584    0.001129  ... -0.000631  0.003799
state_id::38.0:fyear -0.003330    0.003945  ... -0.011067  0.004408
state_id::39.0:fyear  0.001634    0.001130  ... -0.000582  0.003851
state_id::40.0:fyear  0.009899    0.001503  ...  0.006952  0.012846
state_id::41.0:fyear  0.001087    0.001717  ... -0.002281  0.004455
state_id::43.0:fyear  0.002122    0.003330  ... -0.004409  0.008654
state_id::44.0:fyear -0.000574    0.001684  ... -0.003877  0.002729
state_id::45.0:fyear  0.007900    0.002080  ...  0.003820  0.011980
state_id::47.0:fyear  0.001168    0.002113  ... -0.002976  0.005313
state_id::48.0:fyear -0.000194    0.001444  ... -0.003026  0.002637

[42 rows x 6 columns]
