Paper: 0005
KeyVar: ppent_at
Mechanism: MAR
Proportion: 50pct
Method: Mean
Iteration: 14
---
FocalIV: ad_law2
Coef: -0.011946
SE: 0.003442
pval: 0.000533
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.011946    0.003442  ... -0.018697 -0.005195
ln_at_adj             0.004140    0.004120  ... -0.003942  0.012221
ppent_at             -0.024725    0.005530  ... -0.035573 -0.013878
div_payer             0.026906    0.004643  ...  0.017798  0.036014
state_inc_growth      0.002073    0.000393  ...  0.001302  0.002844
state_id::1.0:fyear   0.001190    0.001177  ... -0.001118  0.003498
state_id::3.0:fyear   0.005018    0.007479  ... -0.009651  0.019687
state_id::4.0:fyear   0.001331    0.005325  ... -0.009114  0.011776
state_id::5.0:fyear   0.002811    0.001587  ... -0.000302  0.005923
state_id::6.0:fyear   0.001006    0.002917  ... -0.004715  0.006728
state_id::7.0:fyear   0.001212    0.001622  ... -0.001969  0.004392
state_id::10.0:fyear  0.003179    0.002115  ... -0.000969  0.007327
state_id::11.0:fyear  0.000826    0.002048  ... -0.003191  0.004843
state_id::12.0:fyear  0.022127    0.011495  ... -0.000420  0.044673
state_id::14.0:fyear  0.001161    0.001177  ... -0.001148  0.003470
state_id::15.0:fyear  0.001928    0.001828  ... -0.001658  0.005515
state_id::17.0:fyear  0.007535    0.002868  ...  0.001910  0.013159
state_id::18.0:fyear  0.000822    0.004277  ... -0.007567  0.009211
state_id::19.0:fyear -0.005980    0.004085  ... -0.013993  0.002032
state_id::21.0:fyear  0.005577    0.001759  ...  0.002128  0.009026
state_id::22.0:fyear  0.001148    0.001178  ... -0.001162  0.003458
state_id::23.0:fyear  0.002069    0.001820  ... -0.001502  0.005639
state_id::24.0:fyear  0.003649    0.001818  ...  0.000083  0.007215
state_id::25.0:fyear -0.008269    0.008830  ... -0.025588  0.009049
state_id::26.0:fyear  0.004606    0.001469  ...  0.001724  0.007488
state_id::28.0:fyear  0.051092    0.011107  ...  0.029306  0.072878
state_id::29.0:fyear -0.016151    0.002735  ... -0.021515 -0.010786
state_id::30.0:fyear  0.005008    0.002749  ... -0.000385  0.010401
state_id::31.0:fyear  0.001197    0.001177  ... -0.001112  0.003505
state_id::32.0:fyear -0.109283    0.005163  ... -0.119409 -0.099157
state_id::33.0:fyear  0.001226    0.001177  ... -0.001083  0.003534
state_id::34.0:fyear  0.000996    0.002296  ... -0.003508  0.005499
state_id::36.0:fyear  0.001131    0.001177  ... -0.001177  0.003440
state_id::38.0:fyear -0.001110    0.003690  ... -0.008347  0.006128
state_id::39.0:fyear  0.001179    0.001178  ... -0.001131  0.003489
state_id::40.0:fyear  0.010052    0.001623  ...  0.006868  0.013236
state_id::41.0:fyear  0.000955    0.002240  ... -0.003438  0.005348
state_id::43.0:fyear  0.001201    0.003316  ... -0.005303  0.007706
state_id::44.0:fyear -0.001185    0.001713  ... -0.004544  0.002175
state_id::45.0:fyear  0.007693    0.002004  ...  0.003763  0.011623
state_id::47.0:fyear  0.000434    0.002152  ... -0.003786  0.004654
state_id::48.0:fyear -0.000881    0.001381  ... -0.003590  0.001828

[42 rows x 6 columns]
