Paper: 0005
KeyVar: ppent_at
Mechanism: MAR
Proportion: 50pct
Method: Mean
Iteration: 8
---
FocalIV: ad_law2
Coef: -0.011954
SE: 0.002832
pval: 0.000026
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.011954    0.002832  ...    -0.017508    -0.006400
ln_at_adj             0.004035    0.004343  ...    -0.004483     0.012553
ppent_at             -0.020957    0.005457  ...    -0.031661    -0.010253
div_payer             0.026784    0.004748  ...     0.017471     0.036097
state_inc_growth      0.002046    0.000392  ...     0.001277     0.002816
state_id::1.0:fyear   0.038566  728.349703  ... -1428.574608  1428.651741
state_id::3.0:fyear   0.042389  729.778867  ... -1431.374002  1431.458781
state_id::4.0:fyear   0.038194  742.939920  ... -1457.192794  1457.269182
state_id::5.0:fyear   0.040159  670.512781  ... -1315.129446  1315.209765
state_id::6.0:fyear   0.038310  741.118858  ... -1453.620776  1453.697397
state_id::7.0:fyear   0.038606  670.781646  ... -1315.658361  1315.735574
state_id::10.0:fyear  0.040542  639.214771  ... -1253.739942  1253.821025
state_id::11.0:fyear  0.038249  661.791315  ... -1298.024739  1298.101236
state_id::12.0:fyear  0.059595  696.907863  ... -1366.882342  1367.001533
state_id::14.0:fyear  0.038537  709.412550  ... -1391.430575  1391.507649
state_id::15.0:fyear  0.039379  667.469403  ... -1309.160828  1309.239586
state_id::17.0:fyear  0.045058  745.690764  ... -1462.581542  1462.671657
state_id::18.0:fyear  0.038200  700.994653  ... -1374.919725  1374.996125
state_id::19.0:fyear  0.031394  681.275154  ... -1336.247945  1336.310734
state_id::21.0:fyear  0.043029  750.351619  ... -1471.725551  1471.811608
state_id::22.0:fyear  0.038524  739.437993  ... -1450.323649  1450.400696
state_id::23.0:fyear  0.039475  677.200892  ... -1328.248451  1328.327401
state_id::24.0:fyear  0.041094  723.601191  ... -1419.258167  1419.340354
state_id::25.0:fyear  0.028334  690.426396  ... -1354.200605  1354.257273
state_id::26.0:fyear  0.041930  706.836959  ... -1386.375319  1386.459179
state_id::28.0:fyear  0.088709  710.744466  ... -1393.992874  1394.170291
state_id::29.0:fyear  0.021603  686.807038  ... -1347.108188  1347.151394
state_id::30.0:fyear  0.042383  681.276860  ... -1336.240302  1336.325068
state_id::31.0:fyear  0.038572  706.625864  ... -1385.964626  1386.041771
state_id::32.0:fyear -0.072388  682.160991  ... -1338.089241  1337.944466
state_id::33.0:fyear  0.038601  727.127189  ... -1426.176688  1426.253890
state_id::34.0:fyear  0.038390  713.236019  ... -1398.930221  1399.007002
state_id::36.0:fyear  0.038506  691.901584  ... -1357.083922  1357.160934
state_id::38.0:fyear  0.035808  699.904757  ... -1372.784352  1372.855968
state_id::39.0:fyear  0.038553  684.580484  ... -1342.723988  1342.801094
state_id::40.0:fyear  0.047506  676.194387  ... -1326.266221  1326.361233
state_id::41.0:fyear  0.038399  698.457284  ... -1369.942632  1370.019430
state_id::43.0:fyear  0.038632  731.849104  ... -1435.438402  1435.515666
state_id::44.0:fyear  0.036262  688.487190  ... -1350.389043  1350.461567
state_id::45.0:fyear  0.045064  673.788737  ... -1321.550129  1321.640256
state_id::47.0:fyear  0.037797  705.436414  ... -1383.632370  1383.707964
state_id::48.0:fyear  0.036524  720.607867  ... -1413.391514  1413.464561
state_id::50.0:fyear  0.037381  703.573269  ... -1379.978341  1380.053102

[43 rows x 6 columns]
