Paper: 0005
KeyVar: ppent_at
Mechanism: MAR
Proportion: 50pct
Method: Reg
Iteration: 21
---
FocalIV: ad_law2
Coef: -0.011924
SE: 0.003097
pval: 0.000123
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011924     0.003097  ...    -0.017998    -0.005849
ln_at_adj             0.004039     0.004202  ...    -0.004202     0.012280
ppent_at             -0.002372     0.003558  ...    -0.009351     0.004608
div_payer             0.027033     0.004833  ...     0.017554     0.036511
state_inc_growth      0.002062     0.000394  ...     0.001290     0.002835
state_id::1.0:fyear   0.056053  2215.848000  ... -4346.193600  4346.305706
state_id::3.0:fyear   0.059885  2216.049511  ... -4346.585019  4346.704790
state_id::4.0:fyear   0.056058  2207.612993  ... -4330.041136  4330.153252
state_id::5.0:fyear   0.057659  2206.164947  ... -4327.199281  4327.314599
state_id::6.0:fyear   0.055799  2209.844112  ... -4334.417597  4334.529194
state_id::7.0:fyear   0.056117  2215.063933  ... -4344.655637  4344.767871
state_id::10.0:fyear  0.058011  2207.025037  ... -4328.885943  4329.001966
state_id::11.0:fyear  0.055655  2209.182895  ... -4333.120804  4333.232114
state_id::12.0:fyear  0.076831  2202.849434  ... -4320.676934  4320.830597
state_id::14.0:fyear  0.056024  2224.071788  ... -4362.324084  4362.436131
state_id::15.0:fyear  0.056807  2206.019674  ... -4326.915189  4327.028803
state_id::17.0:fyear  0.062603  2210.376743  ... -4335.455516  4335.580722
state_id::18.0:fyear  0.055626  2218.069982  ... -4350.552308  4350.663561
state_id::19.0:fyear  0.048985  2203.215097  ... -4321.422006  4321.519975
state_id::21.0:fyear  0.060376  2206.668414  ... -4328.184083  4328.304835
state_id::22.0:fyear  0.056010  2219.097600  ... -4352.567535  4352.679554
state_id::23.0:fyear  0.056974  2212.082449  ... -4338.806783  4338.920731
state_id::24.0:fyear  0.058633  2214.908110  ... -4344.347484  4344.464750
state_id::25.0:fyear  0.046681  2215.056640  ... -4344.650768  4344.744131
state_id::26.0:fyear  0.059448  2223.733932  ... -4361.657976  4361.776872
state_id::28.0:fyear  0.105577  2221.404719  ... -4357.043239  4357.254393
state_id::29.0:fyear  0.039560  2211.560739  ... -4337.800894  4337.880014
state_id::30.0:fyear  0.059904  2207.649727  ... -4330.109341  4330.229150
state_id::31.0:fyear  0.056060  2215.784805  ... -4346.069641  4346.181760
state_id::32.0:fyear -0.056246  2219.457140  ... -4353.385005  4353.272514
state_id::33.0:fyear  0.056088  2215.475879  ... -4345.463674  4345.575850
state_id::34.0:fyear  0.055950  2197.958039  ... -4311.103644  4311.215545
state_id::36.0:fyear  0.055993  2216.407609  ... -4347.291299  4347.403286
state_id::38.0:fyear  0.054072  2227.011733  ... -4368.092558  4368.200701
state_id::39.0:fyear  0.056040  2214.116808  ... -4342.797986  4342.910067
state_id::40.0:fyear  0.065024  2216.587192  ... -4347.634510  4347.764558
state_id::41.0:fyear  0.055852  2227.877211  ... -4369.788360  4369.900063
state_id::43.0:fyear  0.056112  2207.128449  ... -4329.090679  4329.202902
state_id::44.0:fyear  0.053678  2214.995591  ... -4344.524028  4344.631384
state_id::45.0:fyear  0.062552  2224.302818  ... -4362.770708  4362.895812
state_id::47.0:fyear  0.055327  2204.658715  ... -4324.247231  4324.357886
state_id::48.0:fyear  0.054030  2220.103002  ... -4354.541549  4354.649608
state_id::50.0:fyear  0.054899  2229.797349  ... -4373.555545  4373.665343

[43 rows x 6 columns]
