Paper: 0005
KeyVar: state_inc_growth
Mechanism: MAR
Proportion: 50pct
Method: RF
Iteration: 5
---
FocalIV: ad_law2
Coef: -0.011028
SE: 0.003513
pval: 0.001723
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011028     0.003513  ...    -0.017918    -0.004138
ln_at_adj             0.005034     0.004059  ...    -0.002926     0.012995
ppent_at             -0.138617     0.020971  ...    -0.179751    -0.097484
div_payer             0.025950     0.004726  ...     0.016680     0.035219
state_inc_growth      0.000794     0.000197  ...     0.000407     0.001181
state_id::1.0:fyear   0.070470  1361.471034  ... -2670.373778  2670.514718
state_id::3.0:fyear   0.074556  1388.662135  ... -2723.703415  2723.852527
state_id::4.0:fyear   0.070034  1358.948447  ... -2665.426310  2665.566378
state_id::5.0:fyear   0.071981  1378.460117  ... -2703.695341  2703.839303
state_id::6.0:fyear   0.070300  1371.756146  ... -2690.547583  2690.688183
state_id::7.0:fyear   0.070097  1357.419976  ... -2662.428242  2662.568437
state_id::10.0:fyear  0.072823  1353.169842  ... -2654.089133  2654.234779
state_id::11.0:fyear  0.071260  1387.253244  ... -2720.943257  2721.085776
state_id::12.0:fyear  0.090853  1333.577481  ... -2615.641854  2615.823560
state_id::14.0:fyear  0.070460  1395.731596  ... -2737.573838  2737.714758
state_id::15.0:fyear  0.071224  1360.746284  ... -2668.951470  2669.093918
state_id::17.0:fyear  0.076243  1404.955735  ... -2755.660652  2755.813139
state_id::18.0:fyear  0.070818  1365.330931  ... -2677.944388  2678.086023
state_id::19.0:fyear  0.062970  1356.139680  ... -2659.924146  2660.050086
state_id::21.0:fyear  0.075264  1360.096633  ... -2667.673179  2667.823706
state_id::22.0:fyear  0.070450  1375.470771  ... -2697.833448  2697.974347
state_id::23.0:fyear  0.071149  1397.133968  ... -2740.323819  2740.466116
state_id::24.0:fyear  0.072238  1370.426789  ... -2687.938189  2688.082665
state_id::25.0:fyear  0.059775  1365.378401  ... -2678.048541  2678.168090
state_id::26.0:fyear  0.073530  1371.443652  ... -2689.931413  2690.078474
state_id::28.0:fyear  0.122456  1339.066555  ... -2626.376744  2626.621655
state_id::29.0:fyear  0.049344  1353.576886  ... -2654.911005  2655.009692
state_id::30.0:fyear  0.074388  1355.022696  ... -2657.721830  2657.870606
state_id::31.0:fyear  0.070476  1359.560792  ... -2666.626947  2666.767899
state_id::32.0:fyear -0.004941  1388.371225  ... -2723.212310  2723.202428
state_id::33.0:fyear  0.070515  1402.132904  ... -2750.129567  2750.270597
state_id::34.0:fyear  0.069976  1369.381797  ... -2685.890762  2686.030714
state_id::36.0:fyear  0.070422  1389.496323  ... -2725.343759  2725.484604
state_id::38.0:fyear  0.065472  1357.670729  ... -2662.924705  2663.055650
state_id::39.0:fyear  0.070474  1381.082947  ... -2708.841373  2708.982320
state_id::40.0:fyear  0.078788  1376.039141  ... -2698.939934  2699.097510
state_id::41.0:fyear  0.069955  1342.633644  ... -2633.425876  2633.565786
state_id::43.0:fyear  0.070860  1353.129370  ... -2654.011713  2654.153433
state_id::44.0:fyear  0.068291  1365.715026  ... -2678.700295  2678.836878
state_id::45.0:fyear  0.076992  1369.133928  ... -2685.397566  2685.551550
state_id::47.0:fyear  0.069778  1372.994777  ... -2692.977606  2693.117161
state_id::48.0:fyear  0.068674  1380.825158  ... -2708.337534  2708.474882
state_id::50.0:fyear  0.068825  1375.879242  ... -2698.636263  2698.773914

[43 rows x 6 columns]
