Paper: 0005
KeyVar: state_inc_growth
Mechanism: MAR
Proportion: 50pct
Method: Reg
Iteration: 2
---
FocalIV: ad_law2
Coef: -0.011062
SE: 0.003456
pval: 0.001396
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...        2.5%       97.5%
Coefficient                                 ...                        
ad_law2              -0.011062    0.003456  ...   -0.017840   -0.004284
ln_at_adj             0.005160    0.004148  ...   -0.002976    0.013295
ppent_at             -0.138243    0.021166  ...   -0.179760   -0.096726
div_payer             0.025866    0.004579  ...    0.016886    0.034847
state_inc_growth      0.000757    0.000203  ...    0.000359    0.001154
state_id::1.0:fyear   0.092919         NaN  ...         NaN         NaN
state_id::3.0:fyear   0.096931         NaN  ...         NaN         NaN
state_id::4.0:fyear   0.092108         NaN  ...         NaN         NaN
state_id::5.0:fyear   0.094414         NaN  ...         NaN         NaN
state_id::6.0:fyear   0.092676         NaN  ...         NaN         NaN
state_id::7.0:fyear   0.092519         NaN  ...         NaN         NaN
state_id::10.0:fyear  0.095292   80.514076  ... -157.828267  158.018850
state_id::11.0:fyear  0.093734  101.580009  ... -199.149397  199.336865
state_id::12.0:fyear  0.112912  102.708226  ... -201.343149  201.568973
state_id::14.0:fyear  0.092909         NaN  ...         NaN         NaN
state_id::15.0:fyear  0.093608         NaN  ...         NaN         NaN
state_id::17.0:fyear  0.098883         NaN  ...         NaN         NaN
state_id::18.0:fyear  0.093169         NaN  ...         NaN         NaN
state_id::19.0:fyear  0.085578  247.299320  ... -484.977293  485.148448
state_id::21.0:fyear  0.097856   56.119970  ... -109.978119  110.173831
state_id::22.0:fyear  0.092900         NaN  ...         NaN         NaN
state_id::23.0:fyear  0.093630  113.629201  ... -222.783271  222.970531
state_id::24.0:fyear  0.094706         NaN  ...         NaN         NaN
state_id::25.0:fyear  0.085002         NaN  ...         NaN         NaN
state_id::26.0:fyear  0.096056         NaN  ...         NaN         NaN
state_id::28.0:fyear  0.145027         NaN  ...         NaN         NaN
state_id::29.0:fyear  0.072339   68.723129  ... -134.723981  134.868659
state_id::30.0:fyear  0.096829  123.405290  ... -241.955289  242.148948
state_id::31.0:fyear  0.092924         NaN  ...         NaN         NaN
state_id::32.0:fyear  0.017140         NaN  ...         NaN         NaN
state_id::33.0:fyear  0.092964         NaN  ...         NaN         NaN
state_id::34.0:fyear  0.092429  198.599901  ... -389.449434  389.634292
state_id::36.0:fyear  0.092872         NaN  ...         NaN         NaN
state_id::38.0:fyear  0.087853   65.587800  ... -128.558705  128.734410
state_id::39.0:fyear  0.092923         NaN  ...         NaN         NaN
state_id::40.0:fyear  0.101230         NaN  ...         NaN         NaN
state_id::41.0:fyear  0.092317         NaN  ...         NaN         NaN
state_id::43.0:fyear  0.093382   34.246176  ...  -67.078451   67.265215
state_id::44.0:fyear  0.090764         NaN  ...         NaN         NaN
state_id::45.0:fyear  0.099455         NaN  ...         NaN         NaN
state_id::47.0:fyear  0.092249         NaN  ...         NaN         NaN
state_id::48.0:fyear  0.091182         NaN  ...         NaN         NaN
state_id::50.0:fyear  0.091316         NaN  ...         NaN         NaN

[43 rows x 6 columns]
