Paper: 0005
KeyVar: state_inc_growth
Mechanism: MAR
Proportion: 5pct
Method: Iter
Iteration: 2
---
FocalIV: ad_law2
Coef: -0.011544
SE: 0.002676
pval: 0.000017
Nobs: 13633
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011544     0.002676  ...    -0.016792    -0.006295
ln_at_adj             0.005717     0.003899  ...    -0.001929     0.013364
ppent_at             -0.120129     0.017291  ...    -0.154044    -0.086213
div_payer             0.031038     0.003929  ...     0.023332     0.038745
state_inc_growth      0.001342     0.000344  ...     0.000668     0.002016
state_id::1.0:fyear   0.094654  2261.463612  ... -4435.544348  4435.733656
state_id::3.0:fyear   0.098589  2262.726774  ... -4438.017981  4438.215159
state_id::4.0:fyear   0.093639  2271.410954  ... -4455.056100  4455.243377
state_id::5.0:fyear   0.096395  2240.621756  ... -4394.663351  4394.856142
state_id::6.0:fyear   0.095407  2309.603986  ... -4529.966217  4530.157031
state_id::7.0:fyear   0.094605  2286.137504  ... -4483.939815  4484.129025
state_id::10.0:fyear  0.097054  2248.118924  ... -4409.367653  4409.561760
state_id::11.0:fyear  0.095121  2268.643287  ... -4449.626109  4449.816352
state_id::12.0:fyear  0.115673  2246.645222  ... -4406.458511  4406.689857
state_id::14.0:fyear  0.094644  2272.247978  ... -4456.696834  4456.886122
state_id::15.0:fyear  0.095407  2271.720630  ... -4455.661730  4455.852543
state_id::17.0:fyear  0.100577  2277.588780  ... -4467.166361  4467.367514
state_id::18.0:fyear  0.094898  2310.579725  ... -4531.880541  4532.070338
state_id::19.0:fyear  0.087553  2298.741367  ... -4508.668108  4508.843214
state_id::21.0:fyear  0.099512  2291.179529  ... -4493.824346  4494.023370
state_id::22.0:fyear  0.094634  2248.254811  ... -4409.636601  4409.825869
state_id::23.0:fyear  0.095329  2247.233715  ... -4407.633127  4407.823784
state_id::24.0:fyear  0.096649  2254.176051  ... -4421.248517  4421.441816
state_id::25.0:fyear  0.085098  2216.839853  ... -4348.028779  4348.198975
state_id::26.0:fyear  0.097869  2273.455956  ... -4459.062940  4459.258678
state_id::28.0:fyear  0.145809  2232.137014  ... -4377.971949  4378.263567
state_id::29.0:fyear  0.074867  2303.864834  ... -4518.729972  4518.879707
state_id::30.0:fyear  0.098363  2250.662785  ... -4414.355877  4414.552603
state_id::31.0:fyear  0.094660  2283.264595  ... -4478.304830  4478.494151
state_id::32.0:fyear  0.024049  2297.658876  ... -4506.608414  4506.656511
state_id::33.0:fyear  0.094699  2275.306152  ... -4462.695088  4462.884486
state_id::34.0:fyear  0.094280  2286.220725  ... -4484.103370  4484.291930
state_id::36.0:fyear  0.094641  2238.612820  ... -4390.724775  4390.914057
state_id::38.0:fyear  0.109295  2255.877260  ... -4424.572626  4424.791216
state_id::39.0:fyear  0.094669  2297.465977  ... -4506.159440  4506.348778
state_id::40.0:fyear  0.102922  2296.272648  ... -4503.810589  4504.016432
state_id::41.0:fyear  0.093994  2325.512402  ... -4561.170426  4561.358415
state_id::43.0:fyear  0.094437  2294.238025  ... -4499.828360  4500.017235
state_id::44.0:fyear  0.092568  2256.511301  ... -4425.832961  4426.018098
state_id::45.0:fyear  0.100949  2245.046450  ... -4403.337401  4403.539299
state_id::47.0:fyear  0.093745  2316.088724  ... -4542.687057  4542.874546
state_id::48.0:fyear  0.092692  2286.654607  ... -4484.955976  4485.141360
state_id::50.0:fyear  0.092560  2327.723962  ... -4565.509617  4565.694738

[43 rows x 6 columns]
