Paper: 0005
KeyVar: ppent_at
Mechanism: MCAR
Proportion: 10pct
Method: Reg
Iteration: 4
---
FocalIV: ad_law2
Coef: -0.011706
SE: 0.002658
pval: 0.000011
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011706     0.002658  ...    -0.016920    -0.006491
ln_at_adj             0.004717     0.004354  ...    -0.003823     0.013257
ppent_at             -0.042558     0.008100  ...    -0.058445    -0.026670
div_payer             0.026406     0.004585  ...     0.017414     0.035399
state_inc_growth      0.002034     0.000390  ...     0.001269     0.002800
state_id::1.0:fyear   0.032227  3918.966445  ... -7686.779574  7686.844028
state_id::3.0:fyear   0.036135  4044.280928  ... -7932.572322  7932.644592
state_id::4.0:fyear   0.032311  3977.473287  ... -7801.537063  7801.601686
state_id::5.0:fyear   0.033828  4004.863980  ... -7855.260707  7855.328362
state_id::6.0:fyear   0.031892  3907.951335  ... -7665.174448  7665.238231
state_id::7.0:fyear   0.032245  3904.324878  ... -7658.061022  7658.125512
state_id::10.0:fyear  0.034129  3912.340887  ... -7673.782047  7673.850304
state_id::11.0:fyear  0.032121  3907.235568  ... -7663.770286  7663.834528
state_id::12.0:fyear  0.052944  4019.251823  ... -7883.462460  7883.568348
state_id::14.0:fyear  0.032203  4000.739099  ... -7847.171633  7847.236038
state_id::15.0:fyear  0.032986  3939.973221  ... -7727.982315  7728.048288
state_id::17.0:fyear  0.038554  3994.524211  ... -7834.975160  7835.052269
state_id::18.0:fyear  0.032005  3931.630849  ... -7711.620245  7711.684254
state_id::19.0:fyear  0.024970  3959.479031  ... -7766.249778  7766.299718
state_id::21.0:fyear  0.036720  3982.461757  ... -7811.317233  7811.390672
state_id::22.0:fyear  0.032190  3884.766115  ... -7619.697765  7619.762146
state_id::23.0:fyear  0.033005  3892.399027  ... -7634.668438  7634.734449
state_id::24.0:fyear  0.034627  3982.209919  ... -7810.825359  7810.894613
state_id::25.0:fyear  0.021272  3949.470762  ... -7746.622871  7746.665415
state_id::26.0:fyear  0.035578  3915.975922  ... -7680.910496  7680.981652
state_id::28.0:fyear  0.083192  4032.457388  ... -7909.334116  7909.500501
state_id::29.0:fyear  0.014105  4001.170979  ... -7848.036835  7848.065046
state_id::30.0:fyear  0.036084  3899.899682  ... -7649.377433  7649.449601
state_id::31.0:fyear  0.032233  3903.992241  ... -7657.408586  7657.473053
state_id::32.0:fyear -0.067531  3932.825750  ... -7714.063506  7713.928443
state_id::33.0:fyear  0.032264  3953.240145  ... -7754.005292  7754.069821
state_id::34.0:fyear  0.031946  3862.451608  ... -7575.929476  7575.993368
state_id::36.0:fyear  0.032168  3954.012835  ... -7755.520971  7755.585307
state_id::38.0:fyear  0.028745  4021.392010  ... -7887.684506  7887.741996
state_id::39.0:fyear  0.032219  3952.748400  ... -7753.040810  7753.105247
state_id::40.0:fyear  0.041195  3825.384449  ... -7503.215273  7503.297663
state_id::41.0:fyear  0.031931  3841.089361  ... -7534.028756  7534.092619
state_id::43.0:fyear  0.032269  3958.841310  ... -7764.991627  7765.056166
state_id::44.0:fyear  0.029801  3834.355357  ... -7520.822550  7520.882152
state_id::45.0:fyear  0.038692  4009.922022  ... -7865.176883  7865.254267
state_id::47.0:fyear  0.031527  3883.286939  ... -7616.797115  7616.860170
state_id::48.0:fyear  0.030188  4011.989668  ... -7869.240947  7869.301324
state_id::50.0:fyear  0.030925  3984.681016  ... -7815.675967  7815.737817

[43 rows x 6 columns]
