Paper: 0005
KeyVar: ln_at_adj
Mechanism: MCAR
Proportion: 1pct
Method: Iter
Iteration: 8
---
FocalIV: ad_law2
Coef: -0.010768
SE: 0.003395
pval: 0.001545
Nobs: 13633
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.010768    0.003395  ... -0.017427 -0.004108
ln_at_adj             0.002315    0.002900  ... -0.003373  0.008002
ppent_at             -0.115817    0.019388  ... -0.153845 -0.077789
div_payer             0.030917    0.004847  ...  0.021411  0.040424
state_inc_growth      0.001750    0.000389  ...  0.000988  0.002512
state_id::1.0:fyear   0.002146    0.001111  ... -0.000032  0.004324
state_id::3.0:fyear   0.006119    0.007875  ... -0.009327  0.021566
state_id::4.0:fyear   0.001405    0.005061  ... -0.008521  0.011331
state_id::5.0:fyear   0.004128    0.001545  ...  0.001097  0.007159
state_id::6.0:fyear   0.002544    0.002702  ... -0.002755  0.007844
state_id::7.0:fyear   0.002321    0.001598  ... -0.000813  0.005455
state_id::10.0:fyear  0.005443    0.001947  ...  0.001624  0.009262
state_id::11.0:fyear  0.002697    0.001950  ... -0.001128  0.006521
state_id::12.0:fyear  0.023703    0.011167  ...  0.001799  0.045607
state_id::14.0:fyear  0.002133    0.001111  ... -0.000047  0.004313
state_id::15.0:fyear  0.002907    0.001702  ... -0.000431  0.006246
state_id::17.0:fyear  0.008140    0.003057  ...  0.002145  0.014136
state_id::18.0:fyear  0.002063    0.003720  ... -0.005232  0.009359
state_id::19.0:fyear -0.004670    0.004182  ... -0.012873  0.003532
state_id::21.0:fyear  0.008578    0.002115  ...  0.004429  0.012727
state_id::22.0:fyear  0.002122    0.001112  ... -0.000058  0.004302
state_id::23.0:fyear  0.002658    0.001779  ... -0.000831  0.006147
state_id::24.0:fyear  0.004151    0.001857  ...  0.000509  0.007793
state_id::25.0:fyear -0.007606    0.008382  ... -0.024047  0.008835
state_id::26.0:fyear  0.005303    0.001377  ...  0.002602  0.008005
state_id::28.0:fyear  0.057064    0.011874  ...  0.033774  0.080355
state_id::29.0:fyear -0.016944    0.003287  ... -0.023391 -0.010497
state_id::30.0:fyear  0.006070    0.002602  ...  0.000967  0.011173
state_id::31.0:fyear  0.002152    0.001111  ... -0.000027  0.004331
state_id::32.0:fyear -0.069056    0.007791  ... -0.084336 -0.053775
state_id::33.0:fyear  0.002189    0.001111  ...  0.000011  0.004368
state_id::34.0:fyear  0.001506    0.002247  ... -0.002902  0.005913
state_id::36.0:fyear  0.002129    0.001111  ... -0.000051  0.004308
state_id::38.0:fyear  0.031062    0.006660  ...  0.017999  0.044124
state_id::39.0:fyear  0.002148    0.001112  ... -0.000032  0.004328
state_id::40.0:fyear  0.010393    0.001467  ...  0.007515  0.013271
state_id::41.0:fyear  0.001510    0.001818  ... -0.002055  0.005075
state_id::43.0:fyear  0.002345    0.003411  ... -0.004346  0.009035
state_id::44.0:fyear  0.000053    0.001704  ... -0.003289  0.003394
state_id::45.0:fyear  0.008410    0.002037  ...  0.004415  0.012406
state_id::47.0:fyear  0.001240    0.002121  ... -0.002920  0.005401
state_id::48.0:fyear  0.000198    0.001392  ... -0.002533  0.002928

[42 rows x 6 columns]
