Paper: 0005
KeyVar: state_inc_growth
Mechanism: MCAR
Proportion: 1pct
Method: RF
Iteration: 13
---
FocalIV: ad_law2
Coef: -0.011057
SE: 0.003543
pval: 0.001837
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.011057    0.003543  ...    -0.018007    -0.004107
ln_at_adj             0.005230    0.004207  ...    -0.003022     0.013482
ppent_at             -0.138082    0.020352  ...    -0.178001    -0.098163
div_payer             0.025871    0.004455  ...     0.017133     0.034610
state_inc_growth      0.001916    0.000374  ...     0.001181     0.002650
state_id::1.0:fyear   0.051168  821.164415  ... -1610.613865  1610.716201
state_id::3.0:fyear   0.055194  826.599960  ... -1621.271337  1621.381725
state_id::4.0:fyear   0.050516  821.838047  ... -1611.935807  1612.036839
state_id::5.0:fyear   0.052681  834.056814  ... -1635.900024  1636.005386
state_id::6.0:fyear   0.051104  835.602349  ... -1638.933076  1639.035284
state_id::7.0:fyear   0.051100  836.352087  ... -1640.403646  1640.505846
state_id::10.0:fyear  0.053454  844.132474  ... -1655.662058  1655.768966
state_id::11.0:fyear  0.051906  831.424378  ... -1630.737433  1630.841245
state_id::12.0:fyear  0.073141  827.823285  ... -1623.652869  1623.799151
state_id::14.0:fyear  0.051158  825.952035  ... -1620.004506  1620.106823
state_id::15.0:fyear  0.052020  836.934731  ... -1641.545549  1641.649588
state_id::17.0:fyear  0.057118  810.460766  ... -1589.613346  1589.727583
state_id::18.0:fyear  0.051507  834.520377  ... -1636.810450  1636.913464
state_id::19.0:fyear  0.043606  825.601478  ... -1619.324463  1619.411676
state_id::21.0:fyear  0.056060  817.161116  ... -1602.756743  1602.868862
state_id::22.0:fyear  0.051148  813.016817  ... -1594.632858  1594.735153
state_id::23.0:fyear  0.051846  841.554279  ... -1650.606691  1650.710383
state_id::24.0:fyear  0.052888  838.113315  ... -1643.856403  1643.962180
state_id::25.0:fyear  0.040383  816.796154  ... -1602.056567  1602.137333
state_id::26.0:fyear  0.054280  814.435143  ... -1597.411688  1597.520248
state_id::28.0:fyear  0.106430  837.819215  ... -1643.226001  1643.438861
state_id::29.0:fyear  0.032405  818.241725  ... -1604.899948  1604.964757
state_id::30.0:fyear  0.055195  825.977391  ... -1620.050205  1620.160594
state_id::31.0:fyear  0.051173  819.161602  ... -1606.685462  1606.787809
state_id::32.0:fyear -0.018187  859.910989  ... -1686.682315  1686.645941
state_id::33.0:fyear  0.051213  825.460571  ... -1619.040475  1619.142901
state_id::34.0:fyear  0.050602  818.877105  ... -1606.128010  1606.229213
state_id::36.0:fyear  0.051121  823.263649  ... -1614.731435  1614.833676
state_id::38.0:fyear  0.045919  829.652844  ... -1627.268662  1627.360499
state_id::39.0:fyear  0.051171  823.399297  ... -1614.997450  1615.099792
state_id::40.0:fyear  0.059459  824.916510  ... -1617.965086  1618.084003
state_id::41.0:fyear  0.050568  821.847095  ... -1611.953501  1612.054637
state_id::43.0:fyear  0.051482  827.046565  ... -1622.151039  1622.254002
state_id::44.0:fyear  0.048863  817.408075  ... -1603.248333  1603.346059
state_id::45.0:fyear  0.057733  831.603959  ... -1631.083843  1631.199310
state_id::47.0:fyear  0.050444  823.413722  ... -1615.026471  1615.127360
state_id::48.0:fyear  0.049304  817.053839  ... -1602.553080  1602.651688
state_id::50.0:fyear  0.049590  846.084007  ... -1659.493738  1659.592918

[43 rows x 6 columns]
