Paper: 0005
KeyVar: ln_at_adj
Mechanism: MCAR
Proportion: 20pct
Method: DL
Iteration: 19
---
FocalIV: ad_law2
Coef: -0.010757
SE: 0.003222
pval: 0.000859
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.010757     0.003222  ...    -0.017076    -0.004439
ln_at_adj            -0.000795     0.000650  ...    -0.002069     0.000480
ppent_at             -0.136360     0.021206  ...    -0.177955    -0.094765
div_payer             0.027038     0.004422  ...     0.018364     0.035713
state_inc_growth      0.001997     0.000386  ...     0.001241     0.002753
state_id::1.0:fyear   0.418631  1470.608513  ... -2884.092275  2884.929537
state_id::3.0:fyear   0.422765  1447.133504  ... -2838.043310  2838.888840
state_id::4.0:fyear   0.418322  1456.888369  ... -2857.181340  2858.017983
state_id::5.0:fyear   0.420401  1465.812208  ... -2874.682838  2875.523640
state_id::6.0:fyear   0.418625  1441.090965  ... -2826.195370  2827.032620
state_id::7.0:fyear   0.418656  1455.549947  ... -2854.555771  2855.393083
state_id::10.0:fyear  0.421107  1473.021759  ... -2888.823236  2889.665450
state_id::11.0:fyear  0.419555  1449.754745  ... -2843.187927  2844.027038
state_id::12.0:fyear  0.440259  1443.440203  ... -2830.781626  2831.662144
state_id::14.0:fyear  0.418619  1472.567259  ... -2887.934250  2888.771488
state_id::15.0:fyear  0.419455  1457.014118  ... -2857.426855  2858.265766
state_id::17.0:fyear  0.424731  1440.815778  ... -2825.649502  2826.498964
state_id::18.0:fyear  0.418912  1463.581073  ... -2870.308088  2871.145913
state_id::19.0:fyear  0.411251  1425.180812  ... -2794.995927  2795.818430
state_id::21.0:fyear  0.423808  1468.587197  ... -2880.122407  2880.970024
state_id::22.0:fyear  0.418606  1452.478144  ... -2848.530662  2849.367875
state_id::23.0:fyear  0.419247  1462.288411  ... -2867.772274  2868.610768
state_id::24.0:fyear  0.420436  1470.868323  ... -2884.600072  2885.440943
state_id::25.0:fyear  0.407294  1447.103470  ... -2837.999872  2838.814460
state_id::26.0:fyear  0.421672  1453.958444  ... -2851.431116  2852.274459
state_id::28.0:fyear  0.474752  1433.324256  ... -2810.905307  2811.854811
state_id::29.0:fyear  0.399662  1432.490598  ... -2809.345226  2810.144551
state_id::30.0:fyear  0.422953  1455.318262  ... -2854.097038  2854.942943
state_id::31.0:fyear  0.418637  1464.130186  ... -2871.385417  2872.222691
state_id::32.0:fyear  0.348605  1460.937748  ... -2865.193672  2865.890882
state_id::33.0:fyear  0.418676  1471.603347  ... -2886.043538  2886.880889
state_id::34.0:fyear  0.417862  1453.205255  ... -2849.957591  2850.793314
state_id::36.0:fyear  0.418584  1463.364554  ... -2869.883728  2870.720896
state_id::38.0:fyear  0.413586  1422.049257  ... -2788.851234  2789.678405
state_id::39.0:fyear  0.418635  1449.970841  ... -2843.612708  2844.449978
state_id::40.0:fyear  0.426843  1450.554766  ... -2844.749834  2845.603520
state_id::41.0:fyear  0.418043  1454.404036  ... -2852.308747  2853.144833
state_id::43.0:fyear  0.419121  1450.320542  ... -2844.298139  2845.136380
state_id::44.0:fyear  0.416430  1457.061298  ... -2857.522421  2858.355281
state_id::45.0:fyear  0.424986  1446.204974  ... -2836.219833  2837.069805
state_id::47.0:fyear  0.418153  1435.958749  ... -2816.129308  2816.965613
state_id::48.0:fyear  0.416795  1454.026691  ... -2851.569854  2852.403445
state_id::50.0:fyear  0.416998  1464.147564  ... -2871.421141  2872.255137

[43 rows x 6 columns]
