Paper: 0005
KeyVar: ppent_at
Mechanism: MCAR
Proportion: 20pct
Method: RF
Iteration: 13
---
FocalIV: ad_law2
Coef: -0.011944
SE: 0.003111
pval: 0.000128
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011944     0.003111  ...    -0.018045    -0.005843
ln_at_adj             0.004398     0.004432  ...    -0.004295     0.013091
ppent_at             -0.031379     0.003112  ...    -0.037483    -0.025275
div_payer             0.026912     0.004689  ...     0.017715     0.036108
state_inc_growth      0.002049     0.000394  ...     0.001277     0.002821
state_id::1.0:fyear   0.061959  1568.677428  ... -3076.802396  3076.926314
state_id::3.0:fyear   0.065899  1572.222143  ... -3083.751197  3083.882995
state_id::4.0:fyear   0.061777  1583.319160  ... -3105.521435  3105.644989
state_id::5.0:fyear   0.063611  1587.538897  ... -3113.796357  3113.923578
state_id::6.0:fyear   0.061825  1577.534784  ... -3094.175689  3094.299340
state_id::7.0:fyear   0.062010  1567.814454  ... -3075.109675  3075.233695
state_id::10.0:fyear  0.063882  1599.314434  ... -3136.893077  3137.020841
state_id::11.0:fyear  0.061819  1594.449968  ... -3127.353789  3127.477427
state_id::12.0:fyear  0.085434  1592.135902  ... -3122.791277  3122.962144
state_id::14.0:fyear  0.061931  1564.238783  ... -3068.096295  3068.220157
state_id::15.0:fyear  0.062645  1609.090272  ... -3156.069021  3156.194310
state_id::17.0:fyear  0.068382  1588.578724  ... -3115.831141  3115.967906
state_id::18.0:fyear  0.061609  1592.957487  ... -3124.426590  3124.549808
state_id::19.0:fyear  0.054676  1585.004072  ... -3108.833388  3108.942741
state_id::21.0:fyear  0.066280  1563.608587  ... -3066.855856  3066.988416
state_id::22.0:fyear  0.061918  1562.004011  ... -3063.712941  3063.836777
state_id::23.0:fyear  0.062877  1578.714116  ... -3096.487824  3096.613579
state_id::24.0:fyear  0.064455  1580.273968  ... -3099.545802  3099.674711
state_id::25.0:fyear  0.053074  1565.044230  ... -3069.684987  3069.791134
state_id::26.0:fyear  0.065345  1563.221561  ... -3066.097662  3066.228351
state_id::28.0:fyear  0.112777  1554.986439  ... -3049.897544  3050.123098
state_id::29.0:fyear  0.044997  1571.854526  ... -3083.051040  3083.141034
state_id::30.0:fyear  0.066094  1596.124141  ... -3130.633302  3130.765490
state_id::31.0:fyear  0.061965  1574.902232  ... -3089.011961  3089.135891
state_id::32.0:fyear -0.055817  1559.524312  ... -3058.966897  3058.855264
state_id::33.0:fyear  0.061994  1584.221508  ... -3107.291118  3107.415107
state_id::34.0:fyear  0.061827  1583.279701  ... -3105.443988  3105.567643
state_id::36.0:fyear  0.061900  1574.170718  ... -3087.577206  3087.701006
state_id::38.0:fyear  0.058389  1579.192722  ... -3097.431069  3097.547847
state_id::39.0:fyear  0.061946  1578.251124  ... -3095.580624  3095.704517
state_id::40.0:fyear  0.070994  1569.117215  ... -3077.655977  3077.797965
state_id::41.0:fyear  0.061683  1590.309085  ... -3119.231838  3119.355205
state_id::43.0:fyear  0.061953  1571.178752  ... -3081.708596  3081.832501
state_id::44.0:fyear  0.059657  1575.646785  ... -3090.474663  3090.593977
state_id::45.0:fyear  0.068414  1585.171283  ... -3109.147625  3109.284452
state_id::47.0:fyear  0.061309  1578.826858  ... -3096.710529  3096.833146
state_id::48.0:fyear  0.059977  1600.151731  ... -3138.539289  3138.659242
state_id::50.0:fyear  0.060792  1556.379102  ... -3052.681153  3052.802736

[43 rows x 6 columns]
