Paper: 0005
KeyVar: ppent_at
Mechanism: MCAR
Proportion: 20pct
Method: Reg
Iteration: 26
---
FocalIV: ad_law2
Coef: -0.012000
SE: 0.003405
pval: 0.000436
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.012000    0.003405  ...    -0.018678    -0.005322
ln_at_adj             0.004225    0.004443  ...    -0.004490     0.012940
ppent_at             -0.012913    0.005718  ...    -0.024127    -0.001698
div_payer             0.026885    0.004595  ...     0.017873     0.035897
state_inc_growth      0.002070    0.000394  ...     0.001297     0.002844
state_id::1.0:fyear   0.051978  537.516577  ... -1054.253749  1054.357705
state_id::3.0:fyear   0.055733  556.054128  ... -1090.610260  1090.721727
state_id::4.0:fyear   0.051853  545.683701  ... -1070.273185  1070.376891
state_id::5.0:fyear   0.053600  580.273554  ... -1138.117310  1138.224509
state_id::6.0:fyear   0.051770  578.180860  ... -1134.014449  1134.117989
state_id::7.0:fyear   0.052031  546.759684  ... -1072.383482  1072.487544
state_id::10.0:fyear  0.053991  575.090405  ... -1127.950489  1128.058471
state_id::11.0:fyear  0.051691  560.773858  ... -1099.871764  1099.975146
state_id::12.0:fyear  0.073150  598.592712  ... -1174.029660  1174.175961
state_id::14.0:fyear  0.051951  541.699932  ... -1062.459170  1062.563071
state_id::15.0:fyear  0.052736  576.046584  ... -1129.827232  1129.932703
state_id::17.0:fyear  0.058555  601.920633  ... -1180.571770  1180.688880
state_id::18.0:fyear  0.051650  562.616706  ... -1103.486437  1103.589736
state_id::19.0:fyear  0.044810  580.806185  ... -1139.170823  1139.260443
state_id::21.0:fyear  0.056465  591.028593  ... -1159.209793  1159.322723
state_id::22.0:fyear  0.051938  556.081478  ... -1090.667702  1090.771578
state_id::23.0:fyear  0.052894  596.618625  ... -1170.177868  1170.283656
state_id::24.0:fyear  0.054556  566.576926  ... -1111.251258  1111.360371
state_id::25.0:fyear  0.042237  598.691894  ... -1174.255113  1174.339588
state_id::26.0:fyear  0.055366  579.736932  ... -1137.062993  1137.173725
state_id::28.0:fyear  0.101121  631.718902  ... -1238.976676  1239.178918
state_id::29.0:fyear  0.035303  582.354946  ... -1142.218130  1142.288735
state_id::30.0:fyear  0.055840  551.077282  ... -1080.848376  1080.960057
state_id::31.0:fyear  0.051984  543.670236  ... -1066.323766  1066.427735
state_id::32.0:fyear -0.056727  576.626671  ... -1131.074499  1130.961044
state_id::33.0:fyear  0.052014  554.739511  ... -1088.035440  1088.139468
state_id::34.0:fyear  0.051738  606.500421  ... -1189.561559  1189.665035
state_id::36.0:fyear  0.051919  551.193935  ... -1081.081105  1081.184944
state_id::38.0:fyear  0.049966  560.377851  ... -1099.096745  1099.196676
state_id::39.0:fyear  0.051966  550.325632  ... -1079.377934  1079.481866
state_id::40.0:fyear  0.060792  603.684312  ... -1184.028880  1184.150463
state_id::41.0:fyear  0.051808  573.227898  ... -1124.299481  1124.403096
state_id::43.0:fyear  0.051935  602.204305  ... -1181.134794  1181.238664
state_id::44.0:fyear  0.049593  617.983596  ... -1212.087246  1212.186433
state_id::45.0:fyear  0.058484  542.373356  ... -1063.773517  1063.890484
state_id::47.0:fyear  0.051205  587.754180  ... -1152.792491  1152.894902
state_id::48.0:fyear  0.050039  551.297436  ... -1081.285996  1081.386074
state_id::50.0:fyear  0.050800  549.117544  ... -1077.009510  1077.111111

[43 rows x 6 columns]
