Paper: 0005
KeyVar: state_inc_growth
Mechanism: MCAR
Proportion: 20pct
Method: Mean
Iteration: 17
---
FocalIV: ad_law2
Coef: -0.011096
SE: 0.003296
pval: 0.000778
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011096     0.003296  ...    -0.017560    -0.004632
ln_at_adj             0.005117     0.004488  ...    -0.003686     0.013919
ppent_at             -0.138776     0.019723  ...    -0.177461    -0.100091
div_payer             0.026004     0.004529  ...     0.017120     0.034888
state_inc_growth      0.000819     0.000330  ...     0.000173     0.001465
state_id::1.0:fyear   0.051542  1279.763761  ... -2510.128763  2510.231847
state_id::3.0:fyear   0.055535  1278.996891  ... -2508.620601  2508.731670
state_id::4.0:fyear   0.050947  1275.967057  ... -2502.682350  2502.784244
state_id::5.0:fyear   0.053064  1298.443166  ... -2546.765780  2546.871908
state_id::6.0:fyear   0.051410  1277.737059  ... -2506.153640  2506.256460
state_id::7.0:fyear   0.051197  1263.915289  ... -2479.043275  2479.145669
state_id::10.0:fyear  0.053920  1277.324018  ... -2505.340974  2505.448814
state_id::11.0:fyear  0.052284  1294.886845  ... -2539.791048  2539.895616
state_id::12.0:fyear  0.072734  1302.197938  ... -2554.110872  2554.256340
state_id::14.0:fyear  0.051532  1292.557416  ... -2535.222763  2535.325828
state_id::15.0:fyear  0.052276  1296.669400  ... -2543.287431  2543.391983
state_id::17.0:fyear  0.057389  1283.787003  ... -2518.014265  2518.129043
state_id::18.0:fyear  0.051823  1280.571715  ... -2511.713234  2511.816881
state_id::19.0:fyear  0.044088  1287.404074  ... -2525.122235  2525.210411
state_id::21.0:fyear  0.056479  1270.344351  ... -2491.648214  2491.761173
state_id::22.0:fyear  0.051523  1303.168402  ... -2556.035590  2556.138635
state_id::23.0:fyear  0.052245  1266.373997  ... -2483.864836  2483.969325
state_id::24.0:fyear  0.053295  1274.421019  ... -2499.647540  2499.754131
state_id::25.0:fyear  0.041211  1333.896692  ... -2616.317610  2616.400033
state_id::26.0:fyear  0.054646  1279.501206  ... -2509.610672  2509.719964
state_id::28.0:fyear  0.104670  1310.248470  ... -2569.869574  2570.078913
state_id::29.0:fyear  0.031009  1278.320544  ... -2507.318511  2507.380530
state_id::30.0:fyear  0.055477  1299.737420  ... -2549.301969  2549.412923
state_id::31.0:fyear  0.051547  1297.720214  ... -2545.349270  2545.452364
state_id::32.0:fyear -0.018630  1325.846679  ... -2600.587829  2600.550570
state_id::33.0:fyear  0.051587  1319.785288  ... -2588.628555  2588.731730
state_id::34.0:fyear  0.051025  1258.569865  ... -2468.558717  2468.660766
state_id::36.0:fyear  0.051495  1285.709046  ... -2521.790132  2521.893123
state_id::38.0:fyear  0.046506  1305.372857  ... -2560.364513  2560.457525
state_id::39.0:fyear  0.051546  1313.390939  ... -2576.086464  2576.189555
state_id::40.0:fyear  0.059824  1270.470172  ... -2491.891659  2492.011308
state_id::41.0:fyear  0.051013  1247.728381  ... -2447.293804  2447.395831
state_id::43.0:fyear  0.051969  1300.946575  ... -2551.677162  2551.781100
state_id::44.0:fyear  0.049354  1258.655528  ... -2468.728410  2468.827118
state_id::45.0:fyear  0.058019  1278.578356  ... -2507.797185  2507.913223
state_id::47.0:fyear  0.050884  1281.540650  ... -2513.614682  2513.716451
state_id::48.0:fyear  0.049693  1308.216178  ... -2565.938331  2566.037717
state_id::50.0:fyear  0.049921  1299.632738  ... -2549.102196  2549.202039

[43 rows x 6 columns]
