Paper: 0005
KeyVar: state_inc_growth
Mechanism: MCAR
Proportion: 20pct
Method: Reg
Iteration: 3
---
FocalIV: ad_law2
Coef: -0.010861
SE: 0.003545
pval: 0.002226
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...         2.5%        97.5%
Coefficient                                 ...                          
ad_law2              -0.010861    0.003545  ...    -0.017815    -0.003906
ln_at_adj             0.005104    0.003971  ...    -0.002685     0.012892
ppent_at             -0.138200    0.020436  ...    -0.178284    -0.098115
div_payer             0.025766    0.004516  ...     0.016907     0.034625
state_inc_growth      0.000971    0.000265  ...     0.000452     0.001490
state_id::1.0:fyear   0.161593  610.800094  ... -1197.886370  1198.209556
state_id::3.0:fyear   0.165519  609.393945  ... -1195.124365  1195.455403
state_id::4.0:fyear   0.161058  626.798505  ... -1229.266834  1229.588949
state_id::5.0:fyear   0.163107  626.044634  ... -1227.786111  1228.112326
state_id::6.0:fyear   0.161392  605.314896  ... -1187.127683  1187.450466
state_id::7.0:fyear   0.161268  606.049483  ... -1188.568653  1188.891190
state_id::10.0:fyear  0.163963  630.477096  ... -1236.479266  1236.807192
state_id::11.0:fyear  0.162305  602.888847  ... -1182.368218  1182.692827
state_id::12.0:fyear  0.182591  649.257570  ... -1273.297417  1273.662599
state_id::14.0:fyear  0.161584  616.635961  ... -1209.333084  1209.656252
state_id::15.0:fyear  0.162290  585.052123  ... -1147.382562  1147.707142
state_id::17.0:fyear  0.167476  622.237369  ... -1220.314020  1220.648972
state_id::18.0:fyear  0.161892  602.885960  ... -1182.362968  1182.686751
state_id::19.0:fyear  0.154134  623.392119  ... -1222.592334  1222.900602
state_id::21.0:fyear  0.166474  631.676955  ... -1238.830208  1239.163155
state_id::22.0:fyear  0.161573  620.776030  ... -1217.453592  1217.776739
state_id::23.0:fyear  0.162294  616.742200  ... -1209.540754  1209.865342
state_id::24.0:fyear  0.163283  623.726736  ... -1223.239518  1223.566084
state_id::25.0:fyear  0.151107  624.225624  ... -1224.230231  1224.532445
state_id::26.0:fyear  0.164702  612.050645  ... -1200.336142  1200.665546
state_id::28.0:fyear  0.215379  637.922816  ... -1251.032185  1251.462942
state_id::29.0:fyear  0.141063  628.666938  ... -1232.951648  1233.233775
state_id::30.0:fyear  0.165546  601.271643  ... -1179.192928  1179.524019
state_id::31.0:fyear  0.161598  607.348526  ... -1191.116319  1191.439515
state_id::32.0:fyear  0.090926  624.321147  ... -1224.477775  1224.659627
state_id::33.0:fyear  0.161639  631.517642  ... -1238.522559  1238.845836
state_id::34.0:fyear  0.161050  587.097529  ... -1151.395744  1151.717845
state_id::36.0:fyear  0.161547  604.265787  ... -1185.069762  1185.392855
state_id::38.0:fyear  0.156181  635.612814  ... -1246.560453  1246.872814
state_id::39.0:fyear  0.161598  607.832451  ... -1192.065509  1192.388706
state_id::40.0:fyear  0.169837  621.980218  ... -1219.807272  1220.146946
state_id::41.0:fyear  0.161216  626.347224  ... -1228.381513  1228.703946
state_id::43.0:fyear  0.161984  627.452152  ... -1230.547996  1230.871964
state_id::44.0:fyear  0.159399  629.677129  ... -1234.914743  1235.233541
state_id::45.0:fyear  0.168062  607.188123  ... -1190.795236  1191.131359
state_id::47.0:fyear  0.161000  591.414874  ... -1159.864010  1160.186009
state_id::48.0:fyear  0.159673  604.442816  ... -1185.418868  1185.738214
state_id::50.0:fyear  0.159953  631.373852  ... -1238.242209  1238.562114

[43 rows x 6 columns]
