Paper: 0005
KeyVar: state_inc_growth
Mechanism: MCAR
Proportion: 30pct
Method: DL
Iteration: 18
---
FocalIV: ad_law2
Coef: -0.010971
SE: 0.003371
pval: 0.001157
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.010971     0.003371  ...    -0.017583    -0.004360
ln_at_adj             0.005232     0.003975  ...    -0.002566     0.013029
ppent_at             -0.138713     0.020399  ...    -0.178724    -0.098701
div_payer             0.025884     0.004497  ...     0.017063     0.034706
state_inc_growth      0.000868     0.000230  ...     0.000418     0.001318
state_id::1.0:fyear   0.063167  2190.006738  ... -4295.504458  4295.630793
state_id::3.0:fyear   0.067097  2182.474848  ... -4280.727176  4280.861370
state_id::4.0:fyear   0.062498  2232.065633  ... -4378.001143  4378.126139
state_id::5.0:fyear   0.064688  2198.035611  ... -4311.251094  4311.380471
state_id::6.0:fyear   0.062988  2195.847090  ... -4306.960141  4307.086116
state_id::7.0:fyear   0.062826  2164.554462  ... -4245.581678  4245.707330
state_id::10.0:fyear  0.065593  2191.098224  ... -4297.642918  4297.774103
state_id::11.0:fyear  0.063867  2197.515583  ... -4310.231911  4310.359646
state_id::12.0:fyear  0.084287  2213.622541  ... -4341.804328  4341.972901
state_id::14.0:fyear  0.063157  2195.447127  ... -4306.175467  4306.301782
state_id::15.0:fyear  0.063928  2200.171443  ... -4315.441161  4315.569018
state_id::17.0:fyear  0.069083  2208.025049  ... -4330.840387  4330.978552
state_id::18.0:fyear  0.063473  2208.630027  ... -4332.032624  4332.159570
state_id::19.0:fyear  0.055783  2212.177550  ... -4338.998569  4339.110135
state_id::21.0:fyear  0.068118  2187.887003  ... -4291.341774  4291.478010
state_id::22.0:fyear  0.063147  2199.077790  ... -4313.296806  4313.423100
state_id::23.0:fyear  0.063862  2211.535443  ... -4337.731036  4337.858760
state_id::24.0:fyear  0.064957  2190.103453  ... -4295.692370  4295.822283
state_id::25.0:fyear  0.053558  2221.822588  ... -4357.918960  4358.026076
state_id::26.0:fyear  0.066308  2209.996902  ... -4334.710833  4334.843449
state_id::28.0:fyear  0.117834  2209.981028  ... -4334.628170  4334.863838
state_id::29.0:fyear  0.042455  2216.972607  ... -4348.417115  4348.502026
state_id::30.0:fyear  0.067107  2216.156795  ... -4346.792296  4346.926510
state_id::31.0:fyear  0.063173  2177.532288  ... -4271.036563  4271.162908
state_id::32.0:fyear -0.004096  2192.338342  ... -4300.145025  4300.136832
state_id::33.0:fyear  0.063212  2196.154366  ... -4307.562619  4307.689044
state_id::34.0:fyear  0.062734  2227.966732  ... -4369.961158  4370.086625
state_id::36.0:fyear  0.063122  2181.509127  ... -4278.836946  4278.963190
state_id::38.0:fyear  0.057816  2219.394947  ... -4353.153028  4353.268661
state_id::39.0:fyear  0.063171  2200.791098  ... -4316.657333  4316.783676
state_id::40.0:fyear  0.071517  2222.020951  ... -4358.290080  4358.433114
state_id::41.0:fyear  0.062606  2227.220321  ... -4368.497245  4368.622456
state_id::43.0:fyear  0.063529  2204.072260  ... -4323.092779  4323.219838
state_id::44.0:fyear  0.061007  2188.677605  ... -4292.899603  4293.021617
state_id::45.0:fyear  0.069696  2213.744386  ... -4342.057911  4342.197303
state_id::47.0:fyear  0.062545  2192.250846  ... -4299.906765  4300.031854
state_id::48.0:fyear  0.061379  2196.781341  ... -4308.794228  4308.916985
state_id::50.0:fyear  0.061578  2195.403589  ... -4306.091649  4306.214804

[43 rows x 6 columns]
