Paper: 0005
KeyVar: ppent_at
Mechanism: MCAR
Proportion: 40pct
Method: Mean
Iteration: 16
---
FocalIV: ad_law2
Coef: -0.011674
SE: 0.003290
pval: 0.000399
Nobs: 13263
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.011674     0.003290  ...    -0.018127    -0.005221
ln_at_adj             0.004380     0.004197  ...    -0.003852     0.012613
ppent_at             -0.035613     0.006603  ...    -0.048564    -0.022661
div_payer             0.026789     0.004724  ...     0.017523     0.036055
state_inc_growth      0.002035     0.000391  ...     0.001267     0.002802
state_id::1.0:fyear   0.072372  1568.393414  ... -3076.234908  3076.379651
state_id::3.0:fyear   0.076407  1568.000537  ... -3075.460268  3075.613083
state_id::4.0:fyear   0.071813  1577.304877  ... -3093.714753  3093.858379
state_id::5.0:fyear   0.073931  1576.420569  ... -3091.978120  3092.125982
state_id::6.0:fyear   0.072284  1595.048226  ... -3128.516772  3128.661339
state_id::7.0:fyear   0.072400  1564.716854  ... -3069.023533  3069.168332
state_id::10.0:fyear  0.074433  1572.717548  ... -3084.714369  3084.863235
state_id::11.0:fyear  0.072177  1574.308687  ... -3087.837547  3087.981901
state_id::12.0:fyear  0.094990  1565.896641  ... -3071.315023  3071.505003
state_id::14.0:fyear  0.072344  1581.246463  ... -3101.445401  3101.590088
state_id::15.0:fyear  0.073192  1566.030273  ... -3071.598932  3071.745316
state_id::17.0:fyear  0.078773  1570.217025  ... -3079.805408  3079.962953
state_id::18.0:fyear  0.071976  1580.263432  ... -3099.517614  3099.661566
state_id::19.0:fyear  0.065048  1553.812216  ... -3047.642109  3047.772204
state_id::21.0:fyear  0.076763  1561.930469  ... -3063.553847  3063.707374
state_id::22.0:fyear  0.072330  1572.203685  ... -3083.708561  3083.853222
state_id::23.0:fyear  0.073284  1577.794961  ... -3094.674552  3094.821120
state_id::24.0:fyear  0.074837  1566.397712  ... -3072.317996  3072.467670
state_id::25.0:fyear  0.063033  1568.680826  ... -3076.807987  3076.934053
state_id::26.0:fyear  0.075779  1566.711137  ... -3072.931818  3073.083376
state_id::28.0:fyear  0.122580  1546.619114  ... -3033.475748  3033.720909
state_id::29.0:fyear  0.054510  1578.382661  ... -3095.846063  3095.955083
state_id::30.0:fyear  0.076163  1588.260588  ... -3115.199357  3115.351682
state_id::31.0:fyear  0.072379  1560.410347  ... -3060.576606  3060.721363
state_id::32.0:fyear -0.037098  1573.799064  ... -3086.947228  3086.873032
state_id::33.0:fyear  0.072409  1578.234643  ... -3095.537835  3095.682653
state_id::34.0:fyear  0.072094  1581.884132  ... -3102.696399  3102.840587
state_id::36.0:fyear  0.072315  1561.817753  ... -3063.337209  3063.481839
state_id::38.0:fyear  0.069340  1552.829205  ... -3045.709701  3045.848381
state_id::39.0:fyear  0.072362  1574.451812  ... -3088.118094  3088.262817
state_id::40.0:fyear  0.081193  1564.103651  ... -3067.811979  3067.974366
state_id::41.0:fyear  0.072090  1611.273661  ... -3160.342158  3160.486338
state_id::43.0:fyear  0.072264  1583.831505  ... -3106.515881  3106.660409
state_id::44.0:fyear  0.070036  1557.505471  ... -3054.881213  3055.021285
state_id::45.0:fyear  0.078905  1578.844041  ... -3096.726637  3096.884447
state_id::47.0:fyear  0.071666  1588.109994  ... -3114.908472  3115.051805
state_id::48.0:fyear  0.070269  1567.871570  ... -3075.213444  3075.353983
state_id::50.0:fyear  0.071084  1567.746572  ... -3074.967454  3075.109623

[43 rows x 6 columns]
