Paper: 0005
KeyVar: state_inc_growth
Mechanism: MCAR
Proportion: 40pct
Method: Iter
Iteration: 18
---
FocalIV: ad_law2
Coef: -0.011920
SE: 0.003399
pval: 0.000466
Nobs: 13633
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.011920    0.003399  ... -0.018587 -0.005253
ln_at_adj             0.005769    0.004050  ... -0.002174  0.013713
ppent_at             -0.123334    0.019517  ... -0.161614 -0.085054
div_payer             0.029448    0.004670  ...  0.020288  0.038609
state_inc_growth      0.000825    0.000217  ...  0.000400  0.001250
state_id::1.0:fyear   0.001779    0.001078  ... -0.000335  0.003892
state_id::3.0:fyear   0.005524    0.007817  ... -0.009808  0.020856
state_id::4.0:fyear   0.000784    0.005023  ... -0.009068  0.010636
state_id::5.0:fyear   0.003441    0.001481  ...  0.000535  0.006346
state_id::6.0:fyear   0.002095    0.002702  ... -0.003204  0.007394
state_id::7.0:fyear   0.001526    0.001623  ... -0.001657  0.004709
state_id::10.0:fyear  0.004786    0.001918  ...  0.001024  0.008547
state_id::11.0:fyear  0.002088    0.001948  ... -0.001733  0.005909
state_id::12.0:fyear  0.023022    0.010423  ...  0.002579  0.043465
state_id::14.0:fyear  0.001769    0.001078  ... -0.000346  0.003884
state_id::15.0:fyear  0.002581    0.001693  ... -0.000739  0.005901
state_id::17.0:fyear  0.007547    0.003010  ...  0.001643  0.013451
state_id::18.0:fyear  0.001699    0.003608  ... -0.005378  0.008776
state_id::19.0:fyear -0.005448    0.004327  ... -0.013935  0.003040
state_id::21.0:fyear  0.006237    0.001630  ...  0.003040  0.009435
state_id::22.0:fyear  0.001760    0.001079  ... -0.000355  0.003876
state_id::23.0:fyear  0.002331    0.001748  ... -0.001097  0.005759
state_id::24.0:fyear  0.003716    0.001845  ...  0.000098  0.007334
state_id::25.0:fyear -0.007270    0.008206  ... -0.023365  0.008826
state_id::26.0:fyear  0.005028    0.001372  ...  0.002336  0.007719
state_id::28.0:fyear  0.054247    0.012168  ...  0.030381  0.078113
state_id::29.0:fyear -0.018750    0.003073  ... -0.024777 -0.012723
state_id::30.0:fyear  0.005295    0.002480  ...  0.000431  0.010159
state_id::31.0:fyear  0.001786    0.001078  ... -0.000329  0.003900
state_id::32.0:fyear -0.069698    0.007990  ... -0.085369 -0.054027
state_id::33.0:fyear  0.001824    0.001078  ... -0.000290  0.003938
state_id::34.0:fyear  0.001232    0.002282  ... -0.003245  0.005708
state_id::36.0:fyear  0.001775    0.001079  ... -0.000341  0.003891
state_id::38.0:fyear  0.017899    0.006164  ...  0.005810  0.029989
state_id::39.0:fyear  0.001790    0.001079  ... -0.000326  0.003905
state_id::40.0:fyear  0.009893    0.001520  ...  0.006911  0.012874
state_id::41.0:fyear  0.001124    0.001882  ... -0.002567  0.004815
state_id::43.0:fyear  0.001740    0.003501  ... -0.005126  0.008606
state_id::44.0:fyear -0.000629    0.001596  ... -0.003760  0.002501
state_id::45.0:fyear  0.007880    0.002054  ...  0.003851  0.011909
state_id::47.0:fyear  0.000921    0.002091  ... -0.003180  0.005022
state_id::48.0:fyear -0.000784    0.001222  ... -0.003180  0.001612

[42 rows x 6 columns]
