Paper: 0005
KeyVar: state_inc_growth
Mechanism: MCAR
Proportion: 40pct
Method: RF
Iteration: 15
---
FocalIV: ad_law2
Coef: -0.010955
SE: 0.003270
pval: 0.000827
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.010955     0.003270  ...    -0.017370    -0.004541
ln_at_adj             0.005189     0.004179  ...    -0.003007     0.013385
ppent_at             -0.138207     0.021720  ...    -0.180809    -0.095606
div_payer             0.025967     0.004630  ...     0.016886     0.035049
state_inc_growth      0.000841     0.000206  ...     0.000437     0.001245
state_id::1.0:fyear   0.072865  2026.172480  ... -3974.143634  3974.289364
state_id::3.0:fyear   0.076941  2038.367445  ... -3998.059254  3998.213135
state_id::4.0:fyear   0.072314  2036.499775  ... -3994.400558  3994.545185
state_id::5.0:fyear   0.074364  2026.184312  ... -3974.165341  3974.314070
state_id::6.0:fyear   0.072763  2030.033358  ... -3981.716618  3981.862144
state_id::7.0:fyear   0.072504  2036.048091  ... -3993.514417  3993.659424
state_id::10.0:fyear  0.075197  2027.457700  ... -3976.662183  3976.812577
state_id::11.0:fyear  0.073522  2021.406833  ... -3964.795444  3964.942488
state_id::12.0:fyear  0.093992  2030.735293  ... -3983.072192  3983.260175
state_id::14.0:fyear  0.072856  2031.305205  ... -3984.211177  3984.356889
state_id::15.0:fyear  0.073542  2032.486950  ... -3986.528413  3986.675496
state_id::17.0:fyear  0.078834  2028.053930  ... -3977.828017  3977.985686
state_id::18.0:fyear  0.073186  2028.881954  ... -3979.457784  3979.604157
state_id::19.0:fyear  0.065519  2029.957338  ... -3981.574753  3981.705791
state_id::21.0:fyear  0.077721  2029.598743  ... -3980.859188  3981.014630
state_id::22.0:fyear  0.072846  2036.125012  ... -3993.664951  3993.810643
state_id::23.0:fyear  0.073572  2025.018050  ... -3971.878580  3972.025724
state_id::24.0:fyear  0.074677  2042.049351  ... -4005.283357  4005.432711
state_id::25.0:fyear  0.062598  2006.517399  ... -3935.601631  3935.726828
state_id::26.0:fyear  0.075969  2031.269207  ... -3984.137454  3984.289393
state_id::28.0:fyear  0.123912  2009.439421  ... -3941.271688  3941.519513
state_id::29.0:fyear  0.052176  2030.360076  ... -3982.378042  3982.482394
state_id::30.0:fyear  0.076858  2045.632615  ... -4012.309534  4012.463251
state_id::31.0:fyear  0.072870  2027.154855  ... -3976.070499  3976.216239
state_id::32.0:fyear  0.003249  2025.011915  ... -3971.936870  3971.943368
state_id::33.0:fyear  0.072910  2019.604453  ... -3961.260795  3961.406615
state_id::34.0:fyear  0.072339  2028.756667  ... -3979.212888  3979.357566
state_id::36.0:fyear  0.072819  2016.143423  ... -3954.472283  3954.617920
state_id::38.0:fyear  0.066799  2037.969762  ... -3997.289364  3997.422962
state_id::39.0:fyear  0.072868  2022.265654  ... -3966.480623  3966.626360
state_id::40.0:fyear  0.081124  2019.406014  ... -3960.863354  3961.025602
state_id::41.0:fyear  0.072275  2027.504593  ... -3976.757085  3976.901634
state_id::43.0:fyear  0.073264  2039.205052  ... -3999.705847  3999.852375
state_id::44.0:fyear  0.070684  2033.906559  ... -3989.315750  3989.457117
state_id::45.0:fyear  0.079512  2028.200510  ... -3978.114845  3978.273870
state_id::47.0:fyear  0.072283  2007.628632  ... -3937.771564  3937.916131
state_id::48.0:fyear  0.071070  2017.258653  ... -3956.661488  3956.803628
state_id::50.0:fyear  0.071270  2031.034335  ... -3983.681467  3983.824007

[43 rows x 6 columns]
