Paper: 0005
KeyVar: ln_at_adj
Mechanism: MCAR
Proportion: 50pct
Method: Iter
Iteration: 12
---
FocalIV: ad_law2
Coef: -0.010784
SE: 0.003466
pval: 0.001893
Nobs: 13633
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.010784     0.003466  ...    -0.017581    -0.003986
ln_at_adj            -0.001632     0.000500  ...    -0.002612    -0.000651
ppent_at             -0.118076     0.008702  ...    -0.135145    -0.101008
div_payer             0.032281     0.005543  ...     0.021410     0.043153
state_inc_growth      0.001917     0.000384  ...     0.001163     0.002670
state_id::1.0:fyear   0.041940  3891.143880  ... -7632.055020  7632.138900
state_id::3.0:fyear   0.045881  3852.115965  ... -7555.501653  7555.593415
state_id::4.0:fyear   0.041384  3947.268839  ... -7742.139176  7742.221944
state_id::5.0:fyear   0.044048  3875.844119  ... -7602.043933  7602.132028
state_id::6.0:fyear   0.041936  3856.615111  ... -7564.330231  7564.414104
state_id::7.0:fyear   0.042234  4016.815338  ... -7878.546962  7878.631429
state_id::10.0:fyear  0.044806  3921.415482  ... -7691.426931  7691.516544
state_id::11.0:fyear  0.042634  4039.612013  ... -7923.260002  7923.345271
state_id::12.0:fyear  0.063782  3863.162509  ... -7577.150463  7577.278028
state_id::14.0:fyear  0.041927  3977.312972  ... -7801.067253  7801.151106
state_id::15.0:fyear  0.042600  3969.853886  ... -7786.436314  7786.521514
state_id::17.0:fyear  0.047974  3987.708817  ... -7821.451636  7821.547584
state_id::18.0:fyear  0.041836  3998.839726  ... -7843.289959  7843.373632
state_id::19.0:fyear  0.035144  3849.390336  ... -7550.166336  7550.236624
state_id::21.0:fyear  0.048270  3811.126129  ... -7475.101722  7475.198262
state_id::22.0:fyear  0.041915  4021.399789  ... -7887.539232  7887.623062
state_id::23.0:fyear  0.042636  4000.778508  ... -7847.091890  7847.177162
state_id::24.0:fyear  0.044006  3880.773372  ... -7611.712221  7611.800233
state_id::25.0:fyear  0.031894  3908.998383  ... -7667.084922  7667.148709
state_id::26.0:fyear  0.045299  3868.696129  ... -7588.022599  7588.113198
state_id::28.0:fyear  0.098084  3838.820731  ... -7529.372152  7529.568320
state_id::29.0:fyear  0.022829  3969.388820  ... -7785.543904  7785.589562
state_id::30.0:fyear  0.046036  3941.718164  ... -7731.247419  7731.339491
state_id::31.0:fyear  0.041946  4099.908185  ... -8041.525716  8041.609609
state_id::32.0:fyear -0.030321  3967.756644  ... -7782.395703  7782.335060
state_id::33.0:fyear  0.041984  4005.901927  ... -7857.141626  7857.225594
state_id::34.0:fyear  0.041163  3945.475098  ... -7738.621150  7738.703475
state_id::36.0:fyear  0.041914  3976.156375  ... -7798.798714  7798.882541
state_id::38.0:fyear  0.061533  3966.928721  ... -7780.679958  7780.803024
state_id::39.0:fyear  0.041956  3958.432538  ... -7764.035105  7764.119017
state_id::40.0:fyear  0.050193  3851.992122  ... -7555.254435  7555.354821
state_id::41.0:fyear  0.041368  3805.721996  ... -7464.508947  7464.591683
state_id::43.0:fyear  0.042119  3966.788066  ... -7780.423490  7780.507727
state_id::44.0:fyear  0.040088  3995.727015  ... -7837.186431  7837.266608
state_id::45.0:fyear  0.048064  3992.335376  ... -7830.526088  7830.622216
state_id::47.0:fyear  0.041388  3918.434222  ... -7685.582901  7685.665677
state_id::48.0:fyear  0.041015  3864.682281  ... -7580.154115  7580.236144
state_id::50.0:fyear  0.039665  3738.881150  ... -7333.408889  7333.488219

[43 rows x 6 columns]
