Paper: 0005
KeyVar: ln_at_adj
Mechanism: MCAR
Proportion: 50pct
Method: Reg
Iteration: 17
---
FocalIV: ad_law2
Coef: -0.010806
SE: 0.003425
pval: 0.001633
Nobs: 13235
Sign: -1
Significant: True
---
                      Estimate   Std. Error  ...         2.5%        97.5%
Coefficient                                  ...                          
ad_law2              -0.010806     0.003425  ...    -0.017523    -0.004089
ln_at_adj            -0.001685     0.000410  ...    -0.002489    -0.000882
ppent_at             -0.133977     0.023040  ...    -0.179169    -0.088786
div_payer             0.028487     0.004963  ...     0.018752     0.038221
state_inc_growth      0.002001     0.000388  ...     0.001239     0.002763
state_id::1.0:fyear   1.613503  1414.250541  ... -2772.354601  2775.581607
state_id::3.0:fyear   1.617756  1430.508622  ... -2804.239605  2807.475117
state_id::4.0:fyear   1.613146  1433.938928  ... -2810.972556  2814.198848
state_id::5.0:fyear   1.615305  1423.923701  ... -2791.326125  2794.556735
state_id::6.0:fyear   1.613422  1418.018785  ... -2779.745868  2782.972713
state_id::7.0:fyear   1.613523  1432.098464  ... -2807.362218  2810.589264
state_id::10.0:fyear  1.616028  1404.193425  ... -2752.625643  2755.857699
state_id::11.0:fyear  1.614442  1426.601723  ... -2796.579769  2799.808653
state_id::12.0:fyear  1.634883  1410.327042  ... -2764.637513  2767.907279
state_id::14.0:fyear  1.613490  1393.298922  ... -2731.259262  2734.486243
state_id::15.0:fyear  1.614319  1430.782771  ... -2804.780769  2808.009407
state_id::17.0:fyear  1.619711  1428.470313  ... -2800.239629  2803.479050
state_id::18.0:fyear  1.613761  1418.426395  ... -2780.545031  2783.772553
state_id::19.0:fyear  1.606139  1430.185725  ... -2803.617878  2806.830156
state_id::21.0:fyear  1.618787  1433.601657  ... -2810.305377  2813.542951
state_id::22.0:fyear  1.613478  1412.797699  ... -2769.504963  2772.731919
state_id::23.0:fyear  1.614119  1420.251137  ... -2784.123796  2787.352034
state_id::24.0:fyear  1.615311  1411.816157  ... -2767.577893  2770.808516
state_id::25.0:fyear  1.602847  1434.379712  ... -2811.847426  2815.053119
state_id::26.0:fyear  1.616559  1421.542460  ... -2786.654210  2789.887328
state_id::28.0:fyear  1.669976  1404.508868  ... -2753.190418  2756.530370
state_id::29.0:fyear  1.594343  1421.310563  ... -2786.221574  2789.410259
state_id::30.0:fyear  1.617868  1423.417416  ... -2790.330515  2793.566251
state_id::31.0:fyear  1.613508  1429.660754  ... -2802.580811  2805.807827
state_id::32.0:fyear  1.538133  1415.374089  ... -2774.633744  2777.710010
state_id::33.0:fyear  1.613547  1406.720573  ... -2757.584974  2760.812069
state_id::34.0:fyear  1.612608  1401.238393  ... -2746.832943  2750.058159
state_id::36.0:fyear  1.613456  1397.670041  ... -2739.832986  2743.059897
state_id::38.0:fyear  1.609042  1442.376750  ... -2827.526943  2830.745028
state_id::39.0:fyear  1.613505  1398.080481  ... -2740.637991  2743.865002
state_id::40.0:fyear  1.621727  1419.907620  ... -2783.442400  2786.685853
state_id::41.0:fyear  1.612987  1432.246642  ... -2807.653396  2810.879370
state_id::43.0:fyear  1.613968  1394.815511  ... -2734.233484  2737.461421
state_id::44.0:fyear  1.611300  1422.284483  ... -2788.114902  2791.337502
state_id::45.0:fyear  1.619870  1424.947407  ... -2793.329499  2796.569239
state_id::47.0:fyear  1.613018  1428.912188  ... -2801.113033  2804.339069
state_id::48.0:fyear  1.611740  1421.580990  ... -2786.734602  2789.958083
state_id::50.0:fyear  1.611888  1447.200433  ... -2836.985465  2840.209241

[43 rows x 6 columns]
