Paper: 0005
KeyVar: ppent_at
Mechanism: MCAR
Proportion: 50pct
Method: LD
Iteration: 23
---
FocalIV: ad_law2
Coef: -0.010644
SE: 0.004127
pval: 0.010007
Nobs: 6351
Sign: -1
Significant: True
---
                      Estimate  Std. Error  ...      2.5%     97.5%
Coefficient                                 ...                    
ad_law2              -0.010644    0.004127  ... -0.018740 -0.002549
ln_at_adj             0.004174    0.004889  ... -0.005417  0.013765
ppent_at             -0.118272    0.026117  ... -0.169508 -0.067036
div_payer             0.029109    0.005949  ...  0.017438  0.040779
state_inc_growth      0.002401    0.000572  ...  0.001279  0.003524
state_id::1.0:fyear   0.003873    0.001745  ...  0.000449  0.007296
state_id::3.0:fyear   0.004127    0.008919  ... -0.013369  0.021624
state_id::4.0:fyear  -0.000892    0.004785  ... -0.010280  0.008496
state_id::5.0:fyear   0.005124    0.002094  ...  0.001016  0.009233
state_id::6.0:fyear   0.003013    0.002958  ... -0.002790  0.008817
state_id::7.0:fyear   0.004119    0.002077  ...  0.000045  0.008193
state_id::10.0:fyear  0.007074    0.002540  ...  0.002091  0.012057
state_id::11.0:fyear  0.005277    0.003143  ... -0.000890  0.011444
state_id::12.0:fyear -0.008517    0.009450  ... -0.027055  0.010022
state_id::14.0:fyear  0.003829    0.001746  ...  0.000404  0.007254
state_id::15.0:fyear  0.003296    0.002744  ... -0.002087  0.008679
state_id::17.0:fyear  0.008639    0.009364  ... -0.009732  0.027011
state_id::18.0:fyear  0.004032    0.003826  ... -0.003473  0.011537
state_id::19.0:fyear -0.002455    0.005542  ... -0.013328  0.008419
state_id::21.0:fyear  0.009945    0.002657  ...  0.004732  0.015158
state_id::22.0:fyear  0.003806    0.001746  ...  0.000381  0.007232
state_id::23.0:fyear  0.003951    0.002471  ... -0.000897  0.008799
state_id::24.0:fyear  0.004019    0.002589  ... -0.001061  0.009099
state_id::25.0:fyear -0.002713    0.002997  ... -0.008592  0.003166
state_id::26.0:fyear  0.006030    0.002032  ...  0.002044  0.010016
state_id::28.0:fyear  0.045893    0.009346  ...  0.027558  0.064227
state_id::29.0:fyear -0.001236    0.002149  ... -0.005451  0.002980
state_id::30.0:fyear  0.008650    0.004235  ...  0.000343  0.016957
state_id::31.0:fyear  0.003892    0.001745  ...  0.000469  0.007316
state_id::33.0:fyear  0.003907    0.001745  ...  0.000483  0.007331
state_id::34.0:fyear  0.001663    0.002668  ... -0.003572  0.006898
state_id::36.0:fyear  0.003818    0.001745  ...  0.000394  0.007242
state_id::38.0:fyear  0.007406    0.011901  ... -0.015943  0.030754
state_id::39.0:fyear  0.003855    0.001746  ...  0.000430  0.007281
state_id::40.0:fyear  0.011537    0.002092  ...  0.007433  0.015642
state_id::41.0:fyear  0.001908    0.002281  ... -0.002567  0.006383
state_id::43.0:fyear  0.007471    0.004980  ... -0.002299  0.017242
state_id::44.0:fyear  0.001552    0.002118  ... -0.002604  0.005708
state_id::45.0:fyear  0.008611    0.002254  ...  0.004189  0.013032
state_id::47.0:fyear  0.005106    0.002753  ... -0.000296  0.010508
state_id::48.0:fyear  0.002853    0.002022  ... -0.001114  0.006820

[41 rows x 6 columns]
